COMPANY NAME,INDUSTRY,ADDRESS,CITY,STATE,ZIP,COUNTY,number,WEBSITE URL,CEO,CONTACT TITLE,NUMBER OF EMPLOYEES,EMPLOYEE SIZE,SALES,SALES RANGE,SIC CODE,SIC DESCRIPTION,NAICS CODE,LATITUDE,LONGITUDE
"Agilent Technologies, Inc. Common Stock",Professional Services,1140 Scenic Drive # 100,Modesto,CA,95350,Stanislaus,214-808-1234,athertoncpas.com,Linda Stanley,,22,,3806000,,8721,"Accounting, Auditing, and Bookkeeping Services",541211,37.648247,120.97759
Alcoa Inc. Common Stock,Warehousing & Storage,1845 South 4th St,El Centro,CA,92243,Imperial,214-808-1235,elcentrointerstate.com,Steve Gray,Owner,,4-Jan,,"$100,000 - $500,000",4225,General Warehousing and Storage,531130,32.77682,115.55223
Alcoa Inc. $3.75 Preferred Stock,Legal,688 North Arrowhead Avenue,San Bernardino,CA,92401,San Bernardino,214-808-1236,robertgrantlaw.com,Robert Grant,Owner,,4-Jan,,"$100,000 - $500,000",8111,Legal Services,541110,34.11173,117.2897
Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1,Other Business Services,1401 E. Juana,San Leandro,CA,94577,Alameda,918-354-8895,ghaspwaterdamagerestoration.com/mold-testing/ca/mold-inspection-in-san-leandro-ca/,Terrence Gentry,,,4-Jan,,Unknown,,"Business Services, NEC",,37.72969,122.13375
"AAC Holdings, Inc. Common Stock",Legal,427 Yale Avenue,Claremont,CA,91711,Los Angeles,918-354-8896,paulbrisson.com,Paul Brisson,,,4-Jan,,Unknown,,Legal Services,,34.09795,117.71788
WCM BNY Mellon Focused Growth ADR ETF,Professional Services,2834 North Naomi St,Burbank,CA,91504,Los Angeles,918-354-8897,aetlab.com,Cyrus Razmara,Executive Director,35,,5005000,,8734,Testing Laboratories,541380,34.20341,118.33993
Altisource Asset Management Corp Com,Professional Services,31977 Hilltop Boulevard # D,Running Springs,CA,92382,San Bernardino,214-808-1240,brsltd.org,Victor Cintron,CEO,,4-Jan,,Unknown,8734,Testing Laboratories,541380,34.2055,117.10594
"Aaron's, Inc. Common Stock",Advertising & Marketing,2830 F St,Eureka,CA,95501,Humboldt,214-808-1241,coxrasmussen.com,Alicia Cox,Owner,5,,1045000,,7311,Advertising Agencies,541810,40.7823,124.16364
Advance Auto Parts Inc Advance Auto Parts Inc W/I,Professional Services,5303 Betsy Ross Drive,Santa Clara,CA,95054,Santa Clara,214-808-1242,promo-line.com,Aldad Matityahu,Owner,50,,10500000,,8743,Public Relations Services,237130,37.407364,121.981933
"American Assets Trust, Inc. Common Stock",Insurance,655 University Avenue,Sacramento,CA,95825,Sacramento,214-808-1243,perryfn.com,Jeff Perry,President,10,,1960000,,6411,"Insurance Agents, Brokers, and Service",524210,38.567118,121.419366
"Almaden Minerals, Ltd. Ordinary Shares (Canada)",Other Business Services,14000 Jamboree Road,Irvine,CA,92606,Orange,682-632-5966,irvinecompany.com,,,,4-Jan,,$500.000 - $999.999,7361,Employment Agencies,561311,33.71906,117.795533
Advantage Oil & Gas Ltd  Ordinary Shares,Other Business Services,4570 Eucalyptus Avenue,Chino,CA,91710,San Bernardino,214-808-1245,rainchainsworld.com,Junelia Dicousta,,,4-Jan,,Unknown,,"Business Services, NEC",,33.98903,117.70332
Allianceberstein Holding L.P.  Units,Other Business Services,311 California St # 400,San Francisco,CA,94104,San Francisco,214-808-1246,jmoorepartners.com,James A Moore,,,4-Jan,,"$100,000 - $500,000",7389,"Business Services, NEC",522320,37.793116,122.400138
ABB Ltd Common Stock,Professional Services,3652 Viaduct Lujosa,Escondido,CA,92025,San Diego,918-354-8897,resourcetrends.com,John Ruetten,,1,,135000,,8748,"Business Consulting Services, NEC",541910,33.070376,117.047896
AbbVie Inc. Common Stock,Real Estate,330 Pythian Road,Santa Rosa,CA,95409,Sonoma,918-354-8898,torvickrealestate.com,Kathy Torvick,President,2,,268000,,6531,Real Estate Agents and Managers,531210,38.43004,122.58205
AmerisourceBergen Corporation (Holding Co) Common Stock,Legal,100 West San Fernando St # 300,San Jose,CA,95113,Santa Clara,918-354-8899,zilkakotab.com,Dominic Kotab,,2,,334000,,8111,Legal Services,541110,37.33344,121.89096
Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Legal,15700 Winchester Boulevard,Los Gatos,CA,95030,Santa Clara,918-354-8900,receiversinc.com,Gregory Sterling,Owner,2,,334000,,8111,Legal Services,541110,37.240097,121.97673
Asbury Automotive Group Inc Common Stock,Other Business Services,4500 Woodman Ave. Suite A,Sherman Oaks,CA,91423,Los Angeles,918-354-8901,ziegelgroup.com,Ziegel Group,,,4-Jan,,Unknown,,"Business Services, NEC",,34.1530858,118.4308629
ABM Industries Incorporated Common Stock,Other Business Services,248 Rickenbacker Circle,Livermore,CA,94551,Alameda,214-808-1252,clarkpest.com,Dave Erichsen,,,4-Jan,,Unknown,7342,Disinfecting and Pest Control Services,561710,37.691842,121.80377
Arbor Realty Trust Common Stock,Legal,8911 Research Drive,Irvine,CA,92618,Orange,214-808-1253,shimokaji.com,Michael Shimokaji,Owner,,4-Jan,,$500.000 - $999.999,8111,Legal Services,541110,33.64267,117.73773
Arbor Realty Trust Preferred Series A,Professional Services,4270 North Blackstone Avenue # 110,Fresno,CA,93726,Fresno,214-808-1254,chcfresno.org,John Shore,Executive Director,,4-Jan,,"$1,000,000 - $2,500,000",8748,"Business Consulting Services, NEC",531390,36.795286,119.790412
Arbor Realty Trust Cumulative Redeemable Preferred Series B,Other Business Services,27700 Medical Center Road,Mission Viejo,CA,92691,Orange,214-808-1255,mission4health.com,Richard Kozak,,2000,,212000000,,7389,"Business Services, NEC",561499,33.56184,117.6673
Arbor Realty Trust Cumulative Redeemable Preferred Series C,Professional Services,13701 Riverside Drive # 604,Sherman Oaks,CA,91423,Los Angeles,214-808-1256,levineandassociates.com,Larry Levine,Owner,2,,420000,,8743,Public Relations Services,541820,34.157666,118.431299
Arbor Realty Trust 7.375% Senior Notes due 2021,Printing & Publishing,12400 High Bluff Drive # 100,San Diego,CA,92130,San Diego,214-808-1257,amnhealthcare.com,Susan Salka,CEO,1700,,705843000,,7363,Help Supply Services,561330,32.94463,117.24058
Abbott Laboratories Common Stock,Legal,3419 West Shaw Avenue,Fresno,CA,93711,Fresno,918-354-8897,gltlaw.com,Gerald Lee Tahajian,,9,,1503000,,8111,Legal Services,541110,36.80813,119.85418
Barrick Gold Corporation Common Stock,Professional Services,"1030 15th Street, Suite 100",Sacramento,CA,95814,Sacramento,214-808-1259,adt.com,Florene Barefield,,,4-Jan,,Unknown,,"Business Consulting Services, NEC",,33.75782937,117.87
American Campus Communities Inc Common Stock,Other Business Services,701 First Ave.,Sunnyvale,CA,94089,Santa Clara,682-632-5966,justmyweight.com,Craig Depew,,,4-Jan,,Unknown,,"Business Services, NEC",,37.41487,122.01817
Acco Brands Corporation Common Stock,Other Business Services,925 Blcaom Hill Road # 1525,San Jose,CA,95123,Santa Clara,214-808-1261,ethanallen.com,Richard Bloomfield,,20,,6120000,,7389,"Business Services, NEC",541410,37.25062,121.862878
Accuvest Global Opportunities ETF,Transportation & Shipping,2558 Merced Avenue,South El Monte,CA,91733,Los Angeles,214-808-1262,vulcan.com,Joe Garbiero,Owner,,4-Jan,,"$1,000,000 - $2,500,000",3592,"Carburetors, Pistons, Piston Rings, and Valves",332710,34.05889,118.05125
Ace Limited Common Stock,Other Business Services,909 North Sepulveda Boulevard,El Segundo,CA,90245,Los Angeles,214-808-1263,loanapp.com,Monica Lezama,,,4-Jan,0,"$1,000,000 - $2,500,000",7389,"Business Services, NEC",561499,33.930061,118.39625
Alliancebernstein Income Fund,Legal,400 South Hope St # 1060,Los Angeles,CA,90071,Los Angeles,214-808-1264,omm.com,Gina Marie Durham,,1500,,0,"$100,000 - $500,000",8111,Legal Services,541110,34.052214,118.253655
Aluminum Corporation of China Limited American Depositary Shares,Printing & Publishing,9840 Sixth St.,Rancho Cucamonga,CA,91730,San Bernardino,214-808-1265,safariprinting.com,Shelley Drummond,,2,,414000,,,Printing and Writing Paper,,34.0859906,117.5897076
