ID,SKU,units,inventory_month
397,8325461,717,8/7/20
398,8325462,187,8/7/20
399,8325463,407,8/7/20
400,8325464,114,8/7/20
401,8325465,162,8/7/20
402,8325466,370,8/7/20
403,8325467,516,8/7/20
404,8325468,332,8/7/20
405,8325469,895,8/7/20
406,8325470,744,8/7/20
407,8325471,30,8/7/20
408,8325472,490,8/7/20
409,8325473,739,8/7/20
410,8325474,719,8/7/20
411,8325475,622,8/7/20
412,8325476,841,8/7/20
413,8325477,697,8/7/20
414,8325478,217,8/7/20
415,8325479,96,8/7/20
416,8325480,443,8/7/20
417,8325481,957,8/7/20
418,8325482,980,8/7/20
419,8325483,791,8/7/20
420,8325484,833,8/7/20
421,8325485,579,8/7/20
422,8325486,13,8/7/20
423,8325487,252,8/7/20
424,8325488,688,8/7/20
425,8325489,746,8/7/20
426,8325490,862,8/7/20
427,8325491,228,8/7/20
428,8325492,291,8/7/20
429,8325493,863,8/7/20
430,8325494,701,8/7/20
431,8325495,489,8/7/20
432,8325496,801,8/7/20
433,8325497,260,8/7/20
434,8325498,156,8/7/20
435,8325499,465,8/7/20
436,8325500,802,8/7/20
437,8325501,73,8/7/20
438,8325502,933,8/7/20
439,8325503,53,8/7/20
440,8325504,875,8/7/20
441,8325505,973,8/7/20
442,8325506,310,8/7/20
443,8325507,731,8/7/20
444,8325508,839,8/7/20
445,8325509,931,8/7/20
446,8325510,612,8/7/20
447,8325511,361,8/7/20
448,8325512,474,8/7/20
449,8325513,111,8/7/20
450,8325514,682,8/7/20
451,8325515,158,8/7/20
452,8325516,387,8/7/20
453,8325517,75,8/7/20
454,8325518,584,8/7/20
455,8325519,679,8/7/20
456,8325520,444,8/7/20
457,8325521,862,8/7/20
458,8325522,619,8/7/20
459,8325523,878,8/7/20
460,8325524,962,8/7/20
461,8325525,330,8/7/20
462,8325526,181,8/7/20
463,8325527,213,8/7/20
464,8325528,559,8/7/20
465,8325529,401,8/7/20
466,8325530,132,8/7/20
467,8325531,374,8/7/20
468,8325532,533,8/7/20
469,8325533,46,8/7/20
470,8325534,184,8/7/20
471,8325535,589,8/7/20
472,8325536,408,8/7/20
473,8325537,371,8/7/20
474,8325538,607,8/7/20
475,8325539,925,8/7/20
476,8325540,35,8/7/20
477,8325541,744,8/7/20
478,8325542,932,8/7/20
479,8325543,543,8/7/20
480,8325544,695,8/7/20
481,8325545,851,8/7/20
482,8325546,849,8/7/20
483,8325547,22,8/7/20
484,8325548,359,8/7/20
485,8325549,321,8/7/20
486,8325550,933,8/7/20
487,8325551,347,8/7/20
488,8325552,960,8/7/20
489,8325553,570,8/7/20
490,8325554,380,8/7/20
491,8325555,740,8/7/20
492,8325556,74,8/7/20
493,8325557,801,8/7/20
494,8325558,839,8/7/20
495,8325559,715,8/7/20
