Retailer country,Order method type,Retailer type,Product line,Product type,Product,Year,Quarter,Revenue,Quantity,Gross margin
United States,Telephone,Sports Store,Personal Accessories,Watches,Venue,2013,Q1 2013,20878,286,0.42009771
United States,Telephone,Sports Store,Personal Accessories,Watches,Infinity,2013,Q1 2013,10828,45,0.45202808
United States,Telephone,Sports Store,Personal Accessories,Watches,TX,2013,Q1 2013,26160,140,0.46884174
United States,Telephone,Sports Store,Personal Accessories,Watches,Legend,2013,Q1 2013,8106,30,0.44433753
United States,Telephone,Sports Store,Personal Accessories,Eyewear,Bella,2013,Q1 2013,7950,106,0.4148
United States,Telephone,Sports Store,Personal Accessories,Eyewear,Cat Eye,2013,Q1 2013,6709.05,153,0.34435576
United States,Telephone,Sports Store,Personal Accessories,Eyewear,Dante,2013,Q1 2013,7469.08,164,0.43974358
United States,Telephone,Sports Store,Personal Accessories,Eyewear,Fairway,2013,Q1 2013,9007.05,447,0.4
United States,Telephone,Sports Store,Personal Accessories,Eyewear,Inferno,2013,Q1 2013,12085,176,0.42534299
United States,Telephone,Sports Store,Personal Accessories,Eyewear,Zone,2013,Q1 2013,38828.8,1267,0.32060095
United States,Telephone,Sports Store,Personal Accessories,Eyewear,Hawk Eye,2013,Q1 2013,17253,426,0.4339454
United States,Telephone,Sports Store,Personal Accessories,Eyewear,Retro,2013,Q1 2013,14409.5,230,0.44261772
United States,Telephone,Sports Store,Personal Accessories,Knives,Pocket Gizmo,2013,Q1 2013,3650.7,283,0.63410853
United States,Telephone,Sports Store,Personal Accessories,Navigation,Trail Scout,2013,Q1 2013,8330,35,0.35579832
United States,Web,Golf Shop,Personal Accessories,Watches,Mountain Man Digital,2013,Q1 2013,9193.54,223,0.51487675
United States,Web,Golf Shop,Personal Accessories,Watches,Mountain Man Deluxe,2013,Q1 2013,13014.96,168,0.49657932
United States,Web,Golf Shop,Personal Accessories,Watches,Mountain Man Combination,2013,Q1 2013,1274.13,13,0.54086318
United States,Web,Golf Shop,Personal Accessories,Watches,Venue,2013,Q1 2013,55553,761,0.41694814
United States,Web,Golf Shop,Personal Accessories,Watches,Infinity,2013,Q1 2013,134541,586,0.46166373
United States,Web,Golf Shop,Personal Accessories,Watches,Lux,2013,Q1 2013,53171.2,310,0.47595127
United States,Web,Golf Shop,Personal Accessories,Watches,Sam,2013,Q1 2013,20923.4,466,0.38708241
United States,Web,Golf Shop,Personal Accessories,Watches,TX,2013,Q1 2013,142568,752,0.45419014
