Machine_ID,Line_ID,T_Sensor_ID,Op_Temp,F_Sensor_ID,Frequency,Timestamp
0xa00031,a002,0xa00031tm_,83.81919845,0xa00031fr_,62.57562435,2019-10-01T09:28:57
0xa00013,a004,0xa00013tm_,80.751498,0xa00013fr_,61.54200347,2019-10-01T00:03:39
0xa00009,a003,0xa00009tm_,81.4309054,0xa00009fr_,57.76126764,2019-10-01T19:14:22
0xa00004,a002,0xa00004tm_,78.62713514,0xa00004fr_,58.14968185,2019-10-01T20:27:52
0xa00026,a003,0xa00026tm_,82.55130423,0xa00026fr_,64.33705556,2019-10-01T12:17:39
0xa00030,a002,0xa00030tm_,82.69587014,0xa00030fr_,55.46730732,2019-10-01T00:19:09
0xa00018,a000,0xa00018tm_,81.23256117,0xa00018fr_,57.48810474,2019-10-01T23:02:26
0xa00031,a000,0xa00031tm_,82.92148557,0xa00031fr_,58.5328612,2019-10-01T10:40:28
0xa00030,a001,0xa00030tm_,83.4493846,0xa00030fr_,59.42965663,2019-10-01T14:21:39
0xa00031,a000,0xa00031tm_,83.77854456,0xa00031fr_,62.33988014,2019-10-01T16:28:34
0xa00016,a003,0xa00016tm_,81.68038953,0xa00016fr_,55.07384107,2019-10-01T15:28:23
0xa00012,a003,0xa00012tm_,81.11499962,0xa00012fr_,58.36390281,2019-10-01T12:16:49
0xa00009,a001,0xa00009tm_,81.18799996,0xa00009fr_,61.795809,2019-10-01T14:16:54
0xa00020,a004,0xa00020tm_,82,0xa00020fr_,60.18325187,2019-10-01T01:35:43
0xa00001,a001,0xa00001tm_,78.99173988,0xa00001fr_,60.52572208,2019-10-01T10:59:23
0xa00009,a003,0xa00009tm_,81.01987302,0xa00009fr_,60.33213345,2019-10-01T08:07:09
0xa00024,a001,0xa00024tm_,82.30045079,0xa00024fr_,55.7142793,2019-10-01T08:23:22
0xa00030,a003,0xa00030tm_,83.75336031,0xa00030fr_,55.79388867,2019-10-01T18:54:59
0xa00019,a000,0xa00019tm_,81.08864331,0xa00019fr_,64.79206328,2019-10-01T18:52:24
0xa00016,a001,0xa00016tm_,81.99839328,0xa00016fr_,56.9784099,2019-10-01T23:02:47
0xa00010,a001,0xa00010tm_,80.78966375,0xa00010fr_,59.20905084,2019-10-01T13:28:57
0xa00028,a000,0xa00028tm_,82.95046159,0xa00028fr_,64.51924047,2019-10-01T04:38:13
0xa00010,a002,0xa00010tm_,79.3355524,0xa00010fr_,56.80299153,2019-10-01T02:22:41
0xa00016,a002,0xa00016tm_,81.42498909,0xa00016fr_,60.34553875,2019-10-01T07:42:11
0xa00005,a001,0xa00005tm_,79.01943469,0xa00005fr_,57.59198499,2019-10-01T19:39:02
0xa00027,a001,0xa00027tm_,82.98776064,0xa00027fr_,55.74349644,2019-10-01T20:20:22
0xa00005,a004,0xa00005tm_,81.64033232,0xa00005fr_,61.96755573,2019-10-01T06:26:18
0xa00024,a004,0xa00024tm_,82.89620662,0xa00024fr_,62.83592314,2019-10-01T15:31:05
0xa00034,a003,0xa00034tm_,83.74583001,0xa00034fr_,59.43890519,2019-10-01T01:18:00
0xa00017,a002,0xa00017tm_,81.21837673,0xa00017fr_,56.29357371,2019-10-01T13:42:07
0xa00012,a001,0xa00012tm_,80.81962859,0xa00012fr_,62.34351726,2019-10-01T02:05:56
0xa00005,a001,0xa00005tm_,80.13438112,0xa00005fr_,57.70264224,2019-10-01T00:06:48
0xa00017,a002,0xa00017tm_,81.54661462,0xa00017fr_,61.11390759,2019-10-01T09:06:15
0xa00017,a001,0xa00017tm_,81.02364052,0xa00017fr_,56.00321743,2019-10-01T19:35:12
0xa00008,a001,0xa00008tm_,79.11588809,0xa00008fr_,58.1675195,2019-10-01T22:03:04
0xa00013,a001,0xa00013tm_,80.87811922,0xa00013fr_,64.98327474,2019-10-01T03:23:42
0xa00028,a002,0xa00028tm_,83.50248906,0xa00028fr_,55.35948694,2019-10-01T11:05:16
0xa00004,a002,0xa00004tm_,79.59648228,0xa00004fr_,60.35234552,2019-10-01T05:51:33
0xa00020,a004,0xa00020tm_,82,0xa00020fr_,63.46998622,2019-10-01T13:36:43
0xa00031,a001,0xa00031tm_,82.3425683,0xa00031fr_,55.8599775,2019-10-01T23:55:55
0xa00033,a000,0xa00033tm_,82.74490212,0xa00033fr_,62.5968228,2019-10-01T23:16:09
0xa00013,a002,0xa00013tm_,80.14840112,0xa00013fr_,58.73360368,2019-10-01T12:52:18
0xa00013,a003,0xa00013tm_,80.87956872,0xa00013fr_,59.61106262,2019-10-01T15:43:15
0xa00037,a000,0xa00037tm_,84.58671958,0xa00037fr_,61.31879362,2019-10-01T16:19:15
0xa00012,a004,0xa00012tm_,81.87578826,0xa00012fr_,62.2288726,2019-10-01T00:33:15
0xa00009,a004,0xa00009tm_,80.63550128,0xa00009fr_,61.96840196,2019-10-01T16:07:14
0xa00018,a000,0xa00018tm_,81.75026868,0xa00018fr_,64.86620857,2019-10-01T08:22:08
0xa00009,a003,0xa00009tm_,81.81403978,0xa00009fr_,63.64677445,2019-10-01T03:16:25
0xa00002,a002,0xa00002tm_,77.75708203,0xa00002fr_,64.19089997,2019-10-01T17:44:23
0xa00018,a002,0xa00018tm_,81.51919022,0xa00018fr_,58.08465941,2019-10-01T15:31:27
0xa00004,a004,0xa00004tm_,80.73417231,0xa00004fr_,60.68981073,2019-10-01T16:27:31
0xa00009,a002,0xa00009tm_,80.1276247,0xa00009fr_,62.84511832,2019-10-01T13:41:54
0xa00035,a003,0xa00035tm_,83.2565582,0xa00035fr_,60.90972205,2019-10-01T18:24:58
0xa00018,a004,0xa00018tm_,81.59563594,0xa00018fr_,62.68983877,2019-10-01T03:29:49
0xa00027,a000,0xa00027tm_,82.4287737,0xa00027fr_,61.87382866,2019-10-01T08:07:14
0xa00039,a003,0xa00039tm_,85.84693363,0xa00039fr_,59.4692832,2019-10-01T14:11:51
0xa00010,a003,0xa00010tm_,79.78449538,0xa00010fr_,62.48123593,2019-10-01T05:58:25
0xa00036,a004,0xa00036tm_,85.37276094,0xa00036fr_,57.49629015,2019-10-01T17:45:44
0xa00028,a003,0xa00028tm_,83.09253239,0xa00028fr_,61.42151325,2019-10-01T15:33:32
0xa00024,a004,0xa00024tm_,82.80601099,0xa00024fr_,62.23024279,2019-10-01T21:56:43
0xa00018,a001,0xa00018tm_,81.17400109,0xa00018fr_,60.21841276,2019-10-01T05:17:27
