rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
Moody's Investors Service,2017-12-15,Corporate,Block Financial LLC,,Instrument,GTD GLOBAL NOTES,093662AF1,4.125,2020-10-01,650.00,true,Baa3,2015-09-25,NW,Instrument,,Backed Senior Unsecured,,,,,,,,0001042397,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Concho Resources Inc.,SYHS7HRDXLL4I0IQ8776,Instrument,GTD SR GLOBAL NOTES,20605PAE1,5.5,2023-04-01,1550.00,false,B1,2012-08-14,NW,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Gas Natural Fenosa Finance B.V.,2138005FTXOJUBQ5J563,Instrument,GTD EURO MTNS,,2.125,2019-02-08,250.00,true,Baa2,2013-01-25,NW,Instrument,,Backed Senior Unsecured,,,,,,823298031,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Potash Corporation of Saskatchewan Inc.,QKQ43I6KFB8KSER22F66,Instrument,SR NOTES,73755LAK3,5.625,2040-12-01,500.00,true,Baa1,2016-11-04,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Nuverra Environmental Solutions, Inc.",54930020KUQC33JLQV12,Instrument,GTD GLOBAL NOTES,422680AE8,9.875,2018-04-15,250.00,true,Caa2,2014-12-29,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Sanofi,549300E9PC51EN656011,Instrument,EURO MEDIUM TERM NOTES,,3.5,2013-05-17,1500.00,true,WR,2013-05-17,WE,Instrument,,Senior Unsecured,,,,,,821625804,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,SM Energy Company,84BUTVXV5ODI6BXNMH43,Instrument,SR GLOBAL NOTES,78454LAB6,6.625,2019-02-15,350.00,true,Ba3,2013-05-15,UP,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Linn Energy, LLC",,Instrument,GTD GLOBAL NOTES,536022AJ5,6.25,2019-11-01,1800.00,true,WR,2016-05-13,WD,Instrument,,Backed Senior Unsecured,,,,,,,,0001326428,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,NOTES,075887AT6,4.9,2018-04-15,200.00,true,A3,2012-10-03,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Wind Acquisition Holdings Finance S.A.,,Instrument,GTD GLOBAL NOTES,,12.25,2017-07-15,325.00,true,WR,2014-07-15,WE,Instrument,,Backed Senior Unsecured,,,,821895882,NRSRO,821895882,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Petrobras Global Finance B.V.,,Instrument,GTD GLOBAL NOTES,,2.75,2018-01-15,1500.00,true,B2,2016-10-21,UP,Instrument,,Backed Senior Unsecured,,,,823745839,NRSRO,823745839,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Newsan S.A.,,Instrument,ARGENTINE BONDS,,,2016-05-16,150.00,true,A1.ar,2014-06-06,UP,Instrument,,Senior Unsecured,,,,823561850,NRSRO,823561850,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,LIN Television Corporation,,Instrument,SR GLOBAL NOTES,532776AU5,8.375,2018-04-15,200.00,true,WR,2015-01-18,WE,Instrument,,Senior Unsecured,,,,,,,,0000931058,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Leslie's Poolmart, Inc. (Old)",549300MZRH1GJYUMRM83,Instrument,SR SEC DELAYED DRAW TERM LOAN,,,2019-10-15,50.00,false,B2,2012-10-01,NW,Instrument,,Senior Secured Bank Credit Facility,,,,,,823226735,NRSRO,,,,,,,
