rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
Standard & Poor's Ratings Services,2017-12-01,CDO,G-Star 2003-3 Ltd.,549300BEK71XN92FWU60,Instrument,US$450 mil G-Star 2003-3 Ltd,36241WAA0,,,,true,A+ (sf),2012-03-19,,Local Currency LT,Senior Secured,,Affirmation,WatchNeg,,,,,,,,,,,,
Standard & Poor's Ratings Services,2017-12-01,CDO,G-Star 2003-3 Ltd.,549300BEK71XN92FWU60,Instrument,US$450 mil G-Star 2003-3 Ltd,36241WAA0,,,,true,BBB- (sf),2012-08-27,DG,Local Currency LT,Senior Secured,,,NM,,,,,,,,,,,,
Standard & Poor's Ratings Services,2017-12-01,CDO,G-Star 2003-3 Ltd.,549300BEK71XN92FWU60,Instrument,US$450 mil G-Star 2003-3 Ltd,36241WAC6,,,,true,BB- (sf),2010-09-21,HS,Local Currency LT,Senior Secured,,,NM,,,,,,,,,,,,
Standard & Poor's Ratings Services,2017-12-01,CDO,G-Star 2003-3 Ltd.,549300BEK71XN92FWU60,Instrument,US$450 mil G-Star 2003-3 Ltd,36241WAC6,,,,true,B- (sf),2012-03-19,,Local Currency LT,Senior Secured,,Affirmation,WatchNeg,,,,,,,,,,,,
Standard & Poor's Ratings Services,2017-12-01,CDO,G-Star 2003-3 Ltd.,549300BEK71XN92FWU60,Instrument,US$450 mil G-Star 2003-3 Ltd,36241WAC6,,,,true,CCC- (sf),2012-08-27,DG,Local Currency LT,Senior Secured,,,NM,,,,,,,,,,,,
Standard & Poor's Ratings Services,2017-12-01,CDO,G-Star 2003-3 Ltd.,549300BEK71XN92FWU60,Instrument,US$450 mil G-Star 2003-3 Ltd,36241WAE2,,,,true,CC (sf),2010-09-21,HS,Local Currency LT,Senior Secured,,,NM,,,,,,,,,,,,
Standard & Poor's Ratings Services,2017-12-01,CDO,G-Star 2003-3 Ltd.,549300BEK71XN92FWU60,Instrument,US$450 mil G-Star 2003-3 Ltd,36241WAG7,,,,true,D (sf),2011-10-11,DG,Local Currency LT,Senior Secured,,,NM,,,,,,,,,,,,
Standard & Poor's Ratings Services,2017-12-01,CDO,G-Star 2003-3 Ltd.,549300BEK71XN92FWU60,Instrument,US$450 mil G-Star 2003-3 Ltd,36241WAJ1,,,,true,D (sf),2011-10-11,DG,Local Currency LT,Senior Secured,,,NM,,,,,,,,,,,,
Standard & Poor's Ratings Services,2017-12-01,CDO,G-Star 2003-3 Ltd.,549300BEK71XN92FWU60,Instrument,US$450 mil G-Star 2003-3 Ltd,36241T208,,,,true,D (sf),2011-10-11,DG,Local Currency LT,Senior Secured,,,NM,,,,,,,,,,,,
Standard & Poor's Ratings Services,2017-12-01,CDO,Blue Heron Funding V Ltd,,Instrument,US$1 bil Blue Heron Funding V Ltd,09555VAA9,,,,true,D (sf),2011-10-11,DG,Local Currency LT,Senior Secured,,,NM,,YYYYYY89354,NRSRO,,,,,,,,,
