LOAN_IDENTIFIER,ORIGINATION_CHANNEL ,SELLER_NAME ,ORIGINAL_INTEREST_RATE ,ORIGINAL_UPB,ORIGINAL_LOAN_TERM ,ORIGINATION_DATE,FIRST_PAYMENT_DATE ,ORIGINAL_LOAN-TO-VALUE_(LTV) ,ORIGINAL_COMBINED_LOAN-TO-VALUE_(CLTV) ,NUMBER_OF_BORROWERS ,ORIGINAL_DEBT_TO_INCOME_RATIO,BORROWER_CREDIT_SCORE_AT_ORIGINATION ,FIRST_TIME_HOME_BUYER_INDICATOR ,LOAN_PURPOSE ,PROPERTY_TYPE,NUMBER_OF_UNITS,OCCUPANCY_TYPE,PROPERTY_STATE ,ZIP_CODE_SHORT,PRIMARY_MORTGAGE_INSURANCE_PERCENT ,PRODUCT_TYPE,CO-BORROWER_CREDIT_SCORE_AT_ORIGINATION ,MORTGAGE_INSURANCE_TYPE,RELOCATION_MORTGAGE_INDICATOR
100010363569,R,"CITIMORTGAGE, INC.",4.25,250000,360,04/2017,06/2017,61,61,1,34,757,Y,P,CP,1,P,NY,100,,FRM,,,N
100012442387,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.75,257000,360,04/2017,06/2017,95,95,1,43,723,Y,P,PU,1,P,FL,331,30,FRM,,1,N
100012535712,R,OTHER,4.625,242000,360,04/2017,06/2017,90,90,1,30,738,Y,P,SF,1,P,MN,554,25,FRM,,2,N
100017029207,R,QUICKEN LOANS INC.,4.875,636000,360,05/2017,07/2017,69,69,1,44,758,N,P,PU,1,I,CA,913,,FRM,,,N
100017594598,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4,288000,360,06/2017,08/2017,80,80,2,41,735,N,P,PU,1,P,TN,371,,FRM,756,,N
100023610834,C,U.S. BANK N.A.,4.375,156000,360,04/2017,06/2017,95,95,1,37,751,N,P,SF,1,P,WI,541,30,FRM,,1,N
100026020399,R,QUICKEN LOANS INC.,4.25,391000,360,03/2017,05/2017,85,85,2,41,724,N,P,SF,2,P,MA,21,12,FRM,731,1,N
100028443582,R,"WELLS FARGO BANK, N.A.",4.125,347000,360,04/2017,06/2017,95,95,2,43,766,Y,P,SF,1,P,MN,553,30,FRM,799,1,N
100029486418,R,OTHER,3.5,122000,180,04/2017,06/2017,35,35,2,43,678,N,R,SF,1,P,MN,553,,FRM,807,,N
100032955878,C,"NATIONSTAR MORTGAGE, LLC",4.5,138000,360,03/2017,05/2017,95,95,2,27,755,Y,P,PU,1,P,IN,468,30,FRM,688,1,N
