Year,AssignedID,Bank,FIPSStateCode,FIPSCountyCode,MSA,FeatureID,Tract,MinPer,TraMedY,LocMedY,Tractrat,Income,CurAreY,IncRat,UPB,LTV,MortDate,AcquDate,Purpose,Coop,Product,FedGuar,Term,AmorTerm,SellType,NumBor,First,CICA,BoRace,CoRace,BoGender,CoGender,BoAge,CoAge,Occup,NumUnits,Bed1,Bed2,Bed3,Bed4,Aff1,Aff2,Aff3,Aff4,Rent1,Rent2,Rent3,Rent4,RentUt1,RentUt2,RentUt3,RentUt4,Geog,Rate,Amount,Front,Back,BoCreditScore,CoBoCreditScore,PMI,Self,PropType,ArmIndex,ArmMarg,PrepayP,BoEth,Race2,Race3,Race4,Race5,CoEth,Corace2,Corace3,Corace4,Corace5,HOEPA,LienStatus,SpcHsgGoals,FedFinStbltyPlan,AcqTyp,GSEREO
2018,2188002,Cincinnati,39,61,17140,1085865,243.03,8.32,74089,70589,1.0495,41664,77000,0.5411,91900,0.66,2018,2018,1,2,1,0,360,360,1,1,2,9,5,8,2,4,67,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1,0.0488,91900,0.2,0.32,5,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,1,2,4,2
2018,2131407,Atlanta,24,17,47900,9999999999,8509.04,67.24,112623,108141,1.0414,156972,110300,1.4231,495000,1,2017,2018,1,2,1,2,360,360,1,2,1,9,3,3,1,2,61,54,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0375,495000,0.2384,0.455,4,5,0,2,PT07,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2147481,Des Moines,19,77,19780,9999999999,9501,3.17,64327,78488,0.8196,43622,79600,0.548,135200,0.8,2018,2018,1,2,1,0,360,360,1,1,1,9,5,8,2,4,51,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,135200,0.2694,0.4897,5,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2193337,Indianapolis,18,39,21140,2394653,22,55.22,41354,55551,0.74,40500,61100,0.6628,43650,0.9,2018,2018,1,2,1,0,360,360,1,1,2,9,5,8,1,4,23,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0488,43650,0.11,0.35,4,9,0.25,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2143464,Chicago,36,119,35620,9999999999,150,11.62,155417,83298,1.8658,131856,94600,1.3938,200000,0.5,2018,2018,1,2,1,0,360,360,1,2,1,9,5,5,1,2,49,58,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0463,200000,0.2035,0.2035,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2175266,Dallas,40,109,36420,9999999999,1092.01,16.84,130262,65899,1.9767,101592,69400,1.4639,403750,0.85,2018,2018,2,2,1,0,360,360,1,2,2,9,5,5,1,2,32,30,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,403750,0.3253,0.4783,4,5,0.12,2,PT07,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2161076,Topeka,35,49,42140,9999999999,11.02,43.7,62321,66202,0.9414,120984,72000,1.6803,416456,0.94,2018,2018,1,2,1,0,360,360,1,1,1,9,7,8,2,4,33,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0488,416456,0.2738,0.335,5,9,0.3,2,PT01,99,99999,12/31/9999,3,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2143460,Chicago,26,29,99999,9999999999,15,6.2,47344,61488,0.77,172596,63400,2.7223,42000,0.29,2018,2018,1,2,1,0,360,360,1,2,2,9,5,5,1,2,33,33,2,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0463,42000,0.1666,0.2132,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2157225,Topeka,20,73,99999,9999999999,9657,8.21,47500,58330,0.8143,61852,61100,1.0123,59000,0.56,2018,2018,2,2,1,0,123,123,1,2,2,9,5,5,1,2,79,71,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,59000,0.1741,0.3128,5,5,0,1,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2171217,Chicago,55,25,31540,9999999999,109.01,17.09,144375,83743,1.724,107076,91700,1.1677,145000,0.37,2018,2018,1,2,1,0,360,360,1,2,2,9,5,5,1,2,54,53,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,145000,0.1715,0.2258,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
