loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
5000,5000,5000,36 months,15.02%,173.38,C,C3,Supervisor ,10+ years,OWN,62000,Verified,Feb-2019,Current,n,,,debt_consolidation,Debt consolidation,775xx,TX,32.48,0,Apr-2003,0,25,,8,0,1771,42.2%,14,w,4431.97,4431.97,862.73,862.73,568.03,294.7,0,0,0,Jul-2019,173.38,Aug-2019,Jul-2019,0,,1,Individual,,,,0,1210,140057,1,3,2,3,7,56833,95,0,2,1205,90,4200,3,3,5,6,17507,2298,41.1,0,0,122,119,18,3,2,18,,5,,0,2,3,3,3,8,4,4,3,8,0,0,0,3,85.7,0,0,0,174353,58604,3900,88503,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
33675,33675,33675,36 months,16.14%,1186.25,C,C4,Coordinator,10+ years,MORTGAGE,48000,Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,560xx,MN,42.93,0,Oct-1999,0,,,7,0,13603,73.5%,14,w,30682,30682,4714.8,4714.8,2993,1721.8,0,0,0,Jul-2019,1186.25,Aug-2019,Jul-2019,0,,1,Joint App,137000,17.42,Source Verified,0,0,149761,0,2,0,2,14,21401,54,0,0,7990,60,18500,1,0,3,2,21394,4049,76.2,0,0,120,232,39,14,1,39,,2,,0,2,3,2,3,8,4,5,3,7,0,0,0,0,100,50,0,0,180500,35004,17000,40000,42071,Apr-1995,0,1,9,56.1,1,11,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
10000,10000,10000,36 months,12.40%,334.06,B,B4,,< 1 year,MORTGAGE,76000,Not Verified,Mar-2019,Current,n,,,home_improvement,Home improvement,232xx,VA,27.9,0,Aug-2005,0,,,13,0,27741,49.8%,17,f,9062.69,9062.69,1322.46,1322.46,937.31,385.15,0,0,0,Jul-2019,334.06,Aug-2019,Jul-2019,0,,1,Individual,,,,0,324,192276,2,1,0,0,34,18435,62,2,3,5009,54,55700,0,0,1,3,14790,3098,85.1,0,0,34,162,4,4,1,4,,9,,0,4,9,4,4,1,11,15,9,13,0,0,0,2,100,100,0,0,262064,46176,20800,29625,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
38225,38225,38225,36 months,11.71%,1264.33,B,B3,Registered Nurse,8 years,RENT,106000,Not Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,076xx,NJ,36.76,0,Nov-2001,0,63,,17,0,33038,44.4%,24,w,34607.2,34607.2,5007.59,5007.59,3617.8,1389.79,0,0,0,Jul-2019,1264.33,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,67942,1,3,1,2,9,34904,46,1,1,9841,45,74400,0,0,1,3,3997,29892,43.3,0,0,89,208,4,4,0,4,,9,,0,6,9,9,9,7,14,17,9,17,0,0,0,2,95.8,11.1,0,0,150128,67942,52700,75728,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
10000,10000,10000,36 months,7.56%,311.34,A,A3,Assistant manager,10+ years,OWN,176000,Not Verified,Feb-2019,Charged Off,n,,,debt_consolidation,Debt consolidation,390xx,MS,12.16,0,Jun-2002,0,,,3,0,94287,15.7%,19,w,0,0,0,0,0,0,0,0,0,,0,,Jul-2019,0,,1,Individual,,,,0,0,94287,0,0,0,0,101,0,,1,1,91927,16,165000,0,0,0,1,31429,70713,15.7,0,0,147,172,8,8,8,8,,17,,0,2,2,3,6,4,3,7,2,3,0,0,0,1,100,0,0,0,165000,94287,165000,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
40000,40000,40000,36 months,8.81%,1268.46,A,A5,Physicians Assistant,10+ years,MORTGAGE,80000,Verified,Feb-2019,Current,n,,,debt_consolidation,Debt consolidation,014xx,MA,17.67,0,Nov-2003,1,27,,6,0,69254,32.8%,14,w,35053.94,35053.94,6322.72,6322.72,4946.06,1376.66,0,0,0,Jul-2019,1268.46,Aug-2019,Jul-2019,0,,1,Joint App,160000,18.43,Verified,0,0,311949,0,1,0,0,25,19916,62,0,0,16712,44,106000,0,3,1,0,51992,32288,34.1,0,0,157,182,43,25,3,61,27,1,27,0,1,2,2,4,4,4,7,2,6,0,0,0,0,92.9,0,0,0,389034,89170,49000,32034,16712,Nov-2003,3,3,6,48,2,3,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
40000,40000,40000,60 months,8.19%,814.7,A,A4,Registered Nurse,4 years,MORTGAGE,150000,Source Verified,Mar-2019,Current,n,,,credit_card,Credit card refinancing,977xx,OR,19.74,0,Jul-2003,0,58,,11,0,27324,83.1%,23,w,38502.15,38502.15,2425.9,2425.9,1497.85,928.05,0,0,0,Jul-2019,814.7,Aug-2019,Jul-2019,0,,1,Individual,,,,0,7725,444888,0,5,0,2,15,84822,72,0,0,13263,76,32900,1,8,0,3,40444,576,97.9,0,0,168,168,75,15,2,159,,16,,0,3,3,3,4,14,5,7,3,11,0,0,0,0,91.3,100,0,0,487391,112146,27900,109849,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
20000,20000,20000,60 months,11.71%,441.97,B,B3,Financial Advisor,4 years,MORTGAGE,50000,Source Verified,Mar-2019,Current,n,,,credit_card,Credit card refinancing,671xx,KS,18.7,0,Jan-1999,0,30,,15,0,20411,38.8%,38,w,18998.24,18998.24,1754.87,1754.87,1001.76,753.11,0,0,0,Jul-2019,441.97,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,108730,0,1,1,2,8,18023,92,1,2,18458,53,52600,0,11,5,6,8364,24238,43.4,0,0,137,242,8,8,4,125,,8,30,0,2,4,5,10,13,13,21,4,15,0,0,0,3,94.7,25,0,0,143557,38434,42800,19707,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
20000,20000,20000,36 months,7.56%,622.68,A,A3,Senior Travel Agent,< 1 year,OWN,50000,Not Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,641xx,MO,16.32,0,Dec-1991,0,31,,7,0,16988,51.5%,19,w,17994.43,17994.43,2482.32,2482.32,2005.57,476.75,0,0,0,Jul-2019,622.68,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,31122,0,1,0,1,22,14134,76,0,2,8945,60,33000,1,0,0,3,4446,13943,54.9,0,0,45,326,16,16,1,16,63,16,31,0,3,4,4,8,2,6,16,4,7,0,0,0,0,63.2,50,0,0,51729,31122,30900,18729,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
18000,18000,18000,36 months,16.40%,636.39,C,C4,Account Manager,3 years,RENT,91000,Source Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,981xx,WA,35.46,0,Feb-2002,0,,,13,0,22238,87.2%,30,w,16406.14,16406.14,2496.36,2496.36,1593.86,902.5,0,0,0,Jul-2019,636.39,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,81166,0,4,1,3,7,47430,65,0,0,4661,72,25500,1,4,1,3,6244,2153,90.4,0,0,205,144,38,7,0,41,,7,,0,6,8,6,8,16,8,12,8,13,0,0,0,1,100,100,0,0,112697,81166,22500,73208,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
