Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
20000,2019-01-01,Debt consolidation,,38.88%,462xx,IN,< 1 year,0
6000,2019-01-01,Credit card refinancing,,24.8%,724xx,AR,< 1 year,0
15000,2019-01-01,Debt consolidation,,27.16%,681xx,NE,n/a,0
3000,2019-01-01,Car financing,,2.04%,281xx,NC,< 1 year,0
19000,2019-01-01,Car financing,,37674%,769xx,TX,< 1 year,0
14000,2019-01-01,Credit card refinancing,,22.99%,409xx,KY,< 1 year,0
2000,2019-01-01,Other,,10.55%,770xx,TX,< 1 year,0
2500,2019-01-01,Debt consolidation,,12.74%,880xx,NM,4 years,0
5000,2019-01-01,Debt consolidation,,3.81%,100xx,NH,< 1 year,0
1000,2019-01-01,Debt consolidation,,0%,972xx,OR,< 1 year,0
30000,2019-01-01,Home buying,,15.3%,728xx,AR,< 1 year,0
3500,2019-01-01,Credit card refinancing,,14.5%,785xx,TX,< 1 year,0
10000,2019-01-01,Credit card refinancing,,12.4%,762xx,TX,< 1 year,2
10000,2019-01-01,Other,,11.19%,853xx,AZ,< 1 year,0
2500,2019-01-01,Debt consolidation,,0%,441xx,OH,3 years,0
40000,2019-01-01,Debt consolidation,,100%,480xx,MI,< 1 year,0
2000,2019-01-01,Debt consolidation,,2.68%,780xx,TX,< 1 year,0
30000,2019-01-01,Debt consolidation,,31.73%,268xx,WV,< 1 year,0
15000,2019-01-01,Debt consolidation,,56.05%,782xx,TX,< 1 year,0
10000,2019-01-01,Debt consolidation,624,3.08%,754xx,TX,< 1 year,0
3000,2019-01-01,Other,,33.08%,325xx,FL,< 1 year,0
5000,2019-01-01,Other,,6.14%,312xx,GA,< 1 year,0
22000,2019-01-01,Credit card refinancing,,45.06%,720xx,AR,n/a,0
10000,2019-01-01,Major purchase,,25.4%,837xx,ID,< 1 year,0
5000,2019-01-01,Major purchase,747,20.51%,608xx,IL,< 1 year,0
7900,2019-01-01,Major purchase,,12.29%,775xx,TX,< 1 year,0
1000,2019-01-01,Medical expenses,,5.41%,631xx,MO,< 1 year,0
7500,2019-01-01,Credit card refinancing,,11.44%,206xx,MD,< 1 year,0
25000,2019-01-01,Credit card refinancing,,39.07%,207xx,MD,< 1 year,0
20000,2019-01-01,Other,,13.76%,750xx,TX,< 1 year,0
7500,2019-01-01,Debt consolidation,,32.72%,440xx,OH,< 1 year,0
40000,2019-01-01,Debt consolidation,,10.13%,912xx,CA,< 1 year,0
5000,2019-01-01,Other,,42.32%,313xx,GA,< 1 year,0
10000,2019-01-01,Debt consolidation,961,100%,913xx,CA,< 1 year,0
2600,2019-01-01,Debt consolidation,,2.1%,313xx,GA,< 1 year,0
20000,2019-01-01,Debt consolidation,,11.93%,295xx,SC,< 1 year,0
6000,2019-01-01,Other,,20.26%,275xx,NC,< 1 year,0
10000,2019-01-01,Other,,1.25%,928xx,CA,< 1 year,0
11000,2019-01-01,Debt consolidation,,56.18%,300xx,GA,< 1 year,0
30000,2019-01-01,Home buying,,8%,852xx,AZ,< 1 year,0
10000,2019-01-01,Home buying,,52.93%,335xx,FL,< 1 year,0
8000,2019-01-01,Debt consolidation,,37.73%,488xx,MI,< 1 year,0
3000,2019-01-01,Debt consolidation,,1%,172xx,PA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,4.22%,547xx,WI,< 1 year,0
9000,2019-01-01,Credit card refinancing,,51.2%,945xx,CA,< 1 year,0
25000,2019-01-01,Credit card refinancing,,23.78%,985xx,WA,< 1 year,0
2500,2019-01-01,Debt consolidation,,1.62%,770xx,TX,5 years,0
12375,2019-01-01,Car financing,,100%,949xx,CA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,31.59%,327xx,FL,< 1 year,0
15000,2019-01-01,Major purchase,,15.26%,972xx,OR,< 1 year,0
1000,2019-01-01,Other,,9%,656xx,MO,< 1 year,0
40000,2019-01-01,Debt consolidation,,2.14%,483xx,MI,< 1 year,0
30000,2019-01-01,Debt consolidation,,31.81%,322xx,FL,< 1 year,0
2500,2019-01-01,Credit card refinancing,,17.86%,087xx,NJ,< 1 year,0
30000,2019-01-01,Credit card refinancing,,36.5%,286xx,NC,< 1 year,0
5000,2019-01-01,Debt consolidation,,22.6%,535xx,WI,1 year,0
3000,2019-01-01,Home buying,,100%,532xx,WI,< 1 year,0
1500,2019-01-01,Other,,0.76%,401xx,KY,< 1 year,0
40000,2019-01-01,Other,,4.53%,395xx,MS,< 1 year,0
4000,2019-01-01,Credit card refinancing,,25.13%,708xx,LA,< 1 year,0
12000,2019-01-01,Debt consolidation,,9.8%,923xx,CA,< 1 year,0
13000,2019-01-01,Business,,100%,900xx,CA,< 1 year,0
10000,2019-01-01,Debt consolidation,,11.47%,841xx,UT,< 1 year,0
20000,2019-01-01,Debt consolidation,,44%,441xx,OH,< 1 year,0
20000,2019-01-01,Credit card refinancing,,54.7%,838xx,ID,< 1 year,0
1000,2019-01-01,Other,501,100%,330xx,FL,5 years,0
6000,2019-01-01,Credit card refinancing,,20.72%,606xx,IL,< 1 year,0
10000,2019-01-01,Credit card refinancing,,14.91%,913xx,CA,< 1 year,0
1000,2019-01-01,Debt consolidation,,20.44%,077xx,NJ,1 year,0
30000,2019-01-01,Major purchase,,1.26%,128xx,NY,< 1 year,0
21000,2019-01-01,Credit card refinancing,666,5.03%,982xx,WA,< 1 year,0
15500,2019-01-01,Major purchase,,3.92%,264xx,WV,< 1 year,0
1000,2019-01-01,Home buying,,100%,085xx,NJ,< 1 year,0
8000,2019-01-01,Debt consolidation,,18.48%,720xx,AR,< 1 year,0
5000,2019-01-01,Other,,19.15%,853xx,AZ,< 1 year,0
5000,2019-01-01,Debt consolidation,,34.11%,060xx,CT,< 1 year,0
13500,2019-01-01,Major purchase,,8.85%,209xx,MD,< 1 year,0
