Loan ID,Origination Channel,Origination Date,Origination Country,Asset Class,Loan Purpose,Prod Type,Amort Type,Org Mat Date,Cur Mat Date,Currency,Org Amount,Principal Balance,Accrued Interest Balance (On book),UPB,Original Interest Rate,Original Rate Type,Rate Description,Original Interest Rate Reference,Current Rate,Current Rate Type,Current Rate Ref,Start Date of Current Fixed Interest Period,End Date of Current Fixed Interest Period,Interest Cap Rate,Interest Floor Rate,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Last Payment Date,Last Payment Amount,Next Principal Scheduled Repayment Amount,Next Interest Scheduled Repayment Amount,Next Principal Scheduled Repayment Date,Next Interest Scheduled Repayment Date,Interest Payment Frequency,Principal Payment Frequency,Past-Due Principal Amount,Past-Due Interest Amount,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Loan Status,Days in Past-Due,Time in Past-Due
100727283,Branch,2/16/2013,USA,Resi,Mortage,Loan,Linear,2/8/2045,2/13/2045,USD,85000,76500,1000,76514.45,0.04,fixed,,,,fixed,,2/17/2015,2/13/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,90,3
100727284,Branch,2/17/2013,USA,CRE,Mortage,Loan,Linear,2/9/2045,2/14/2045,USD,85000,76500,375,76712.5,0.035,mixed,5 years fixed then variable,,,fixed,,2/18/2015,2/14/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,33.84375,8/30/2019,8/30/2019,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,91,3
100727285,Branch,2/18/2013,USA,Resi,Mortage,Loan,Linear,2/10/2045,2/15/2045,USD,85000,80750,270,76729.5,0.04,variable,,LIBOR,3,fixed,LIBOR,2/19/2015,2/15/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,277.7777778,24.5675,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,95,3
100727286,Branch,2/19/2013,USA,Resi,Mortage,Loan,Linear,2/11/2045,2/16/2045,USD,85000,83300,491.3,76729.5,0.04,fixed,,,,fixed,,2/20/2015,2/16/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,236.1111111,20.310325,8/30/2019,8/30/2019,monthly,monthly,1416.666667,4845,0.04,0.005,0.01,non-performing,97,3
100727287,Branch,2/20/2013,USA,Resi,Mortage,Loan,Linear,2/12/2045,2/17/2045,USD,85000,83300,1000,76729.5,0.04,fixed,,,,fixed,,2/21/2015,2/17/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,3333.333333,11400,0.04,0.005,0.01,non-performing,93,3
100727288,Branch,2/21/2013,USA,Resi,Mortage,Loan,Linear,2/13/2045,2/18/2045,USD,85000,80750,25.5,76729.5,0.0375,mixed,5 years fixed then variable,,,fixed,,2/22/2015,2/18/2045,,,0.03,0.005,0.0075,7/26/2019,0,416.6666667,37.513875,8/30/2019,8/30/2019,monthly,monthly,1250,4500.9,0.04,0.005,0.01,non-performing,360,9
100727289,Branch,2/22/2013,USA,Resi,Mortage,Loan,Linear,2/14/2045,2/13/2051,USD,85000,80750,680,76729.5,0.04,fixed,,,,fixed,,2/23/2015,2/13/2051,,,0.03,0.005,0.0075,7/26/2019,377.7777778,377.7777778,32.47,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,90,3
100727290,Branch,2/23/2013,USA,Resi,Mortage,Loan,Linear,2/15/2045,2/14/2050,USD,85000,80750,663.5714286,76925,0.04,fixed,,,,fixed,,2/24/2015,2/14/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,368.6507937,30.02660714,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3583.285714,0.04,0.005,0.01,non-performing,91,3
100727291,Branch,2/24/2013,USA,Resi,Mortage,Loan,Linear,2/16/2045,2/15/2050,USD,85000,76500,323.5714286,76925,0.04,fixed,,,,fixed,,2/25/2015,2/15/2050,,,0.03,0.005,0.0075,7/26/2019,359.5238095,359.5238095,31.79089286,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3805.2,0.04,0.005,0.01,non-performing,95,3
100727292,Branch,2/25/2013,USA,Resi,Mortage,Loan,Linear,2/17/2045,2/16/2050,USD,85000,76500,340.5857143,76925,0.04,fixed,,,,fixed,,2/26/2015,2/16/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,350.3968254,30.044075,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,97,3
100727293,Branch,2/26/2013,USA,Resi,Mortage,Loan,Linear,2/18/2045,2/17/2050,USD,85000,76500,710.1142857,76925,0.04,fixed,,,,fixed,,2/27/2015,2/17/2050,,,0.03,0.005,0.0075,7/26/2019,341.2698413,341.2698413,29.3561,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,non-performing,93,3
100727294,Branch,2/27/2013,USA,Resi,Mortage,Loan,Linear,2/19/2045,2/18/2050,USD,85000,80750,597.8571429,76991.3,0.04,fixed,,,,fixed,,2/28/2015,2/18/2050,,,0.03,0.005,0.0075,7/26/2019,332.1428571,332.1428571,28.54767857,8/30/2019,8/30/2019,monthly,monthly,1992.857143,6815.571429,0.04,0.005,0.01,non-performing,90,3
100727295,Branch,2/28/2013,USA,Resi,Mortage,Loan,Linear,2/20/2045,2/18/2053,USD,85000,83300,19.76857143,76991.3,0.0375,mixed,5 years fixed then variable,,,fixed,,3/1/2015,2/18/2053,,,0.03,0.005,0.0075,7/23/2019,323.015873,323.015873,27.62279929,8/30/2019,8/30/2019,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,non-performing,92,3
100727296,Branch,3/1/2013,USA,Resi,Mortage,Loan,Linear,2/21/2045,2/26/2045,USD,85000,83300,1000,80764.45,0.04,fixed,,,,fixed,,3/2/2015,2/26/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,45.25,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5400,0.04,0.005,0.01,non-performing,180,6
100727297,Branch,3/2/2013,USA,Resi,Mortage,Loan,Linear,2/22/2045,2/27/2045,USD,85000,80750,750,80764.45,0.04,fixed,,,,fixed,,3/3/2015,2/27/2045,,,0.03,0.005,0.0075,7/26/2019,250,416.6666667,36.9375,8/30/2019,8/30/2019,monthly,monthly,1250,4410,0.04,0.005,0.01,non-performing,90,3
100727298,Branch,3/3/2013,USA,Resi,Mortage,Loan,Linear,2/23/2045,2/28/2045,USD,85000,80750,250,80764.45,0.04,fixed,,,,fixed,,3/4/2015,2/28/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,277.7777778,23.8125,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,91,3
100727299,Branch,3/4/2013,USA,Resi,Mortage,Loan,Linear,2/24/2045,3/1/2045,USD,85000,80750,229.5,80764.45,0.035,mixed,5 years fixed then variable,,,fixed,,3/5/2015,3/1/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,236.1111111,19.182375,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,non-performing,95,3
