Principal Balance,UPB,Loan ID,Origination Channel,MARP Status,Origination Date,MARP Entry,Last Payment Amount,Origination Country,Asset Class,Loan Purpose,Prod Type,Amort Type,Org Mat Date,Cur Mat Date,Currency,Org Amount,Accrued Interest Balance (On book),Original Interest Rate,Original Rate Type,Rate Description,Original Interest Rate Reference,Current Rate,Current Rate Type,Current Rate Ref,Start Date of Current Fixed Interest Period,End Date of Current Fixed Interest Period,Interest Cap Rate,Interest Floor Rate,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Last Payment Date,Next Principal Scheduled Repayment Amount,Next Interest Scheduled Repayment Amount,Next Principal Scheduled Repayment Date,Next Interest Scheduled Repayment Date,Interest Payment Frequency,Principal Payment Frequency,Past-Due Principal Amount,Past-Due Interest Amount,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Loan Status,Days in Past-Due,Time in Past-Due,Covenant Waiver,MARP Applicable
190000,76514.45,ZLP27283,Web,ARA,2/16/2013,11/8/2013,555.5555556,Ireland,Resi,Mortage,Loan,Linear,2/8/2045,2/13/2045,EUR,132714.2857,1000,0.04,fixed,,,,fixed,,2/17/2015,2/13/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,90,3,0,0
135000,76514.45,ZLP27284,Broker,ARA,2/17/2013,11/9/2013,416.6666667,Ireland,CRE,Mortage,Loan,Linear,2/9/2045,2/14/2045,EUR,129428.5714,375,0.035,mixed,5 years fixed then variable,,,fixed,,2/18/2015,2/14/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,33.84375,8/30/2019,8/30/2019,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,91,3,0,0
98000,76712.5,ZLP27285,Branch,Exited MARP,2/18/2013,11/10/2013,277.7777778,Ireland,Resi,Mortage,Loan,Linear,2/10/2045,2/15/2045,EUR,126142.8571,270,0.04,variable,,LIBOR,3,fixed,LIBOR,2/19/2015,2/15/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,24.5675,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,95,3,0,0
80750,76712.5,ZLP27286,Branch,Not in MARP,2/19/2013,11/11/2013,236.1111111,Ireland,Resi,Mortage,Loan,Linear,2/11/2045,2/16/2045,EUR,122857.1429,491.3,0.04,fixed,,,,fixed,,2/20/2015,2/16/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,20.310325,8/30/2019,8/30/2019,monthly,monthly,1416.666667,4845,0.04,0.005,0.01,non-performing,97,3,0,0
190000,76729.5,ZLP27287,Web,ARA,2/20/2013,11/12/2013,555.5555556,Ireland,Resi,Mortage,Loan,Linear,2/12/2045,2/17/2045,EUR,119571.4286,1000,0.04,fixed,,,,fixed,,2/21/2015,2/17/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,3333.333333,11400,0.04,0.005,0.01,non-performing,93,3,0,0
150030,76729.5,ZLP27288,Broker,ARA,2/21/2013,11/13/2013,0,Ireland,Resi,Mortage,Loan,Linear,2/13/2045,2/18/2045,EUR,116285.7143,25.5,0.0375,mixed,5 years fixed then variable,,,fixed,,2/22/2015,2/18/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,37.513875,8/30/2019,8/30/2019,monthly,monthly,1250,4500.9,0.04,0.005,0.01,non-performing,360,9,0,0
129200,76729.5,ZLP27289,Branch,ARA,2/22/2013,11/14/2013,377.7777778,Ireland,Resi,Mortage,Loan,Linear,2/14/2045,2/13/2051,EUR,132714.2857,680,0.04,fixed,,,,fixed,,2/23/2015,2/13/2051,,,0.03,0.005,0.0075,7/26/2019,377.7777778,32.47,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,90,3,0,0
119442.8571,76729.5,ZLP27290,Web,Not in MARP,2/23/2013,11/15/2013,368.6507937,Ireland,Resi,Mortage,Loan,Linear,2/15/2045,2/14/2050,EUR,129428.5714,663.5714286,0.04,fixed,,,,fixed,,2/24/2015,2/14/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,30.02660714,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3583.285714,0.04,0.005,0.01,non-performing,91,3,0,0
126840,76729.5,ZLP27291,Broker,Not in MARP,2/24/2013,11/16/2013,359.5238095,Ireland,Resi,Mortage,Loan,Linear,2/16/2045,2/15/2050,EUR,126142.8571,323.5714286,0.04,fixed,,,,fixed,,2/25/2015,2/15/2050,,,0.03,0.005,0.0075,7/26/2019,359.5238095,31.79089286,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3805.2,0.04,0.005,0.01,non-performing,95,3,0,0
119835.7143,76729.5,ZLP27292,Branch,Not in MARP,2/25/2013,11/17/2013,350.3968254,Ireland,Resi,Mortage,Loan,Linear,2/17/2045,2/16/2050,EUR,122857.1429,340.5857143,0.04,fixed,,,,fixed,,2/26/2015,2/16/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,30.044075,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,97,3,0,0
116714.2857,76729.5,ZLP27293,Branch,Not in MARP,2/26/2013,11/18/2013,341.2698413,Ireland,Resi,Mortage,Loan,Linear,2/18/2045,2/17/2050,EUR,119571.4286,710.1142857,0.04,fixed,,,,fixed,,2/27/2015,2/17/2050,,,0.03,0.005,0.0075,7/26/2019,341.2698413,29.3561,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,non-performing,93,3,0,0
113592.8571,76729.5,ZLP27294,Web,Not in MARP,2/27/2013,11/19/2013,332.1428571,Ireland,Resi,Mortage,Loan,Linear,2/19/2045,2/18/2050,EUR,116285.7143,597.8571429,0.04,fixed,,,,fixed,,2/28/2015,2/18/2050,,,0.03,0.005,0.0075,7/26/2019,332.1428571,28.54767857,8/30/2019,8/30/2019,monthly,monthly,1992.857143,6815.571429,0.04,0.005,0.01,non-performing,90,3,0,0
110471.4286,76729.5,ZLP27295,Broker,Not in MARP,2/28/2013,11/20/2013,323.015873,Ireland,Resi,Mortage,Loan,Linear,2/20/2045,2/18/2053,EUR,132714.2857,19.76857143,0.0375,mixed,5 years fixed then variable,,,fixed,,3/1/2015,2/18/2053,,,0.03,0.005,0.0075,7/23/2019,323.015873,27.62279929,8/30/2019,8/30/2019,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,non-performing,92,3,0,0
180000,76729.5,ZLP27296,Branch,Not in MARP,3/1/2013,11/21/2013,555.5555556,Ireland,Resi,Mortage,Loan,Linear,2/21/2045,2/26/2045,EUR,129428.5714,1000,0.04,fixed,,,,fixed,,3/2/2015,2/26/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,45.25,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5400,0.04,0.005,0.01,non-performing,180,6,0,0
147000,76925,ZLP27297,Web,Not in MARP,3/2/2013,11/22/2013,250,Ireland,Resi,Mortage,Loan,Linear,2/22/2045,2/27/2045,EUR,126142.8571,750,0.04,fixed,,,,fixed,,3/3/2015,2/27/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,36.9375,8/30/2019,8/30/2019,monthly,monthly,1250,4410,0.04,0.005,0.01,non-performing,90,3,0,1
95000,76925,ZLP27298,Broker,Not in MARP,3/3/2013,11/23/2013,277.7777778,Ireland,Resi,Mortage,Loan,Linear,2/23/2045,2/28/2045,EUR,122857.1429,250,0.04,fixed,,,,fixed,,3/4/2015,2/28/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,23.8125,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,91,3,1,0
76500,76925,ZLP27299,Branch,Not in MARP,3/4/2013,11/24/2013,236.1111111,Ireland,Resi,Mortage,Loan,Linear,2/24/2045,3/1/2045,EUR,119571.4286,229.5,0.035,mixed,5 years fixed then variable,,,fixed,,3/5/2015,3/1/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,19.182375,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,non-performing,95,3,0,0
196000,76925,ZLP27300,Branch,Not in MARP,3/5/2013,11/25/2013,555.5555556,Ireland,CRE,Mortage,Loan,Linear,2/25/2045,3/2/2045,EUR,116285.7143,1156,0.04,fixed,,,,fixed,,3/6/2015,3/2/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,49.289,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,97,3,0,0
142500,76925,ZLP27301,Web,Not in MARP,3/6/2013,11/26/2013,416.6666667,Ireland,Resi,Mortage,Loan,Linear,2/26/2045,3/3/2045,EUR,132714.2857,750,0.04,fixed,,,,fixed,,3/7/2015,3/3/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3,0,0
129200,76925,ZLP27302,Broker,Not in MARP,3/7/2013,11/27/2013,0,Ireland,Resi,Mortage,Loan,Linear,2/27/2045,2/26/2051,EUR,129428.5714,23.12,0.04,fixed,,,,fixed,,3/8/2015,2/26/2051,,,0.03,0.005,0.0075,7/26/2019,377.7777778,32.30578,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,270,6,0,0
132740.8286,76925,ZLP27303,Branch,Not in MARP,3/8/2013,11/28/2013,368.6507937,Ireland,Resi,Mortage,Loan,Linear,2/28/2045,2/27/2050,EUR,126142.8571,22.56142857,0.04,fixed,,,,fixed,,3/9/2015,2/27/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,33.1908475,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3982.224857,0.04,0.005,0.01,non-performing,90,3,0,1
122957.1429,76925,ZLP27304,Web,ARA,3/9/2013,11/29/2013,359.5238095,Ireland,Resi,Mortage,Loan,Linear,3/1/2045,2/28/2050,EUR,122857.1429,22.00285714,0.04,fixed,,,,fixed,,3/10/2015,2/28/2050,,,0.03,0.005,0.0075,7/26/2019,359.5238095,30.74478643,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,non-performing,91,3,1,0
113528.5714,76991.3,ZLP27305,Broker,Exited MARP,3/10/2013,11/30/2013,350.3968254,Ireland,Resi,Mortage,Loan,Linear,3/2/2045,3/1/2050,EUR,119571.4286,21.44428571,0.04,fixed,,,,fixed,,3/11/2015,3/1/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,28.38750393,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3405.857143,0.04,0.005,0.01,non-performing,95,3,0,0
120400,76991.3,ZLP27306,Branch,Not in MARP,3/11/2013,12/1/2013,472.5274725,Ireland,Resi,Mortage,Loan,Linear,3/3/2045,3/2/2050,EUR,116285.7143,20.88571429,0.04,fixed,,,,fixed,,3/12/2015,3/2/2050,,,0.03,0.005,0.0075,7/26/2019,341.2698413,30.10522143,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3612,0.04,0.005,0.01,non-performing,97,3,0,0
113592.8571,76991.3,ZLP27307,Branch,ARA,3/12/2013,12/2/2013,332.1428571,Ireland,Resi,Mortage,Loan,Linear,3/4/2045,3/3/2050,EUR,119571.4286,20.32714286,0.04,fixed,,,,fixed,,3/13/2015,3/3/2050,,,0.03,0.005,0.0075,7/26/2019,332.1428571,28.40329607,8/30/2019,8/30/2019,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,93,3,0,0
110471.4286,76991.3,ZLP27308,Web,ARA,3/13/2013,12/3/2013,323.015873,Ireland,Resi,Mortage,Loan,Linear,3/5/2045,3/3/2053,EUR,116285.7143,19.76857143,0.04,fixed,,,,fixed,,3/14/2015,3/3/2053,,,0.03,0.005,0.0075,7/29/2019,323.015873,27.62279929,8/30/2019,8/30/2019,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,non-performing,75,6,0,0
142500,80764.45,ZLP27309,Broker,ARA,3/14/2013,12/4/2013,416.6666667,Ireland,Resi,Mortage,Loan,Linear,3/6/2045,3/11/2045,EUR,200000,25.5,0.04,fixed,,,,fixed,,3/15/2015,3/11/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.631375,8/30/2019,8/30/2019,monthly,monthly,2500,8550,0.04,0.005,0.01,non-performing,90,3,0,1
