Contract Identifier,Instrument Identifier,Channel of Origination,Date of Origination,Country of Origination,Asset Class,Loan Purpose,Product Type,Amortisation Type,Original Maturity Date,Current Maturity Date,Loan Currency,Origination Amount,Principal Balance,Accrued Interest Balance (On book),Total Balance,Original Interest Rate,Original Interest Rate Type,Description of Original Interest Rate Type,Original Interest Rate Reference,Current Interest Rate,Current Interest Rate Type,Current Interest Rate Reference,Start Date of Current Fixed Interest Period,End Date of Current Fixed Interest Period,Interest Cap Rate,Interest Floor Rate,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Last Payment Date,Last Payment Amount,Next Principal Scheduled Repayment Amount,Next Interest Scheduled Repayment Amount,Next Principal Scheduled Repayment Date,Next Interest Scheduled Repayment Date,Interest Payment Frequency,Principal Payment Frequency,Past-Due Principal Amount,Past-Due Interest Amount,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Loan Status,Days in Past-Due,Time in Past-Due
A00019346,LP19283,Web,42051,USA,Resi,Mortage,Loan,Linear,53001,53006,USD,200000,190000,1000,191000,0.04,fixed,,,,fixed,,42052,53006,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.75,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,,90,3
A00019347,LP19284,Broker,42052,USA,CRE,Mortage,Loan,Balloon,53002,53007,USD,150000,135000,375,135375,0.035,mixed,5 years fixed then variable,,,fixed,,42053,53007,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,33.84375,43707,43707,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,92,3
A00019348,LP19285,Branch,42053,USA,Resi,Mortage,Loan,Linear,53003,53008,USD,100000,98000,270,98270,0.04,variable,,LIBOR,3,fixed,LIBOR,42054,53008,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,24.5675,43707,43707,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,180,6
A00019349,LP19286,Branch,42054,USA,Resi,Mortage,Loan,Linear,53004,53009,USD,85000,80750,491.3,81241.3,0.04,fixed,,,,fixed,,42055,53009,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,20.310325,43707,43707,monthly,monthly,1416.666667,4845,0.04,0.005,0.01,non-performing,170,6
A00019350,LP19287,Web,42055,USA,Resi,Mortage,Loan,Linear,53005,53010,USD,200000,190000,1000,191000,0.04,fixed,,,,fixed,,42056,53010,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.75,43707,43707,monthly,monthly,3333.333333,11400,0.04,0.005,0.01,non-performing,213,6
A00019351,LP19288,Broker,42056,USA,Resi,Mortage,Loan,Linear,53006,53011,USD,150000,150030,25.5,150055.5,0.0375,mixed,5 years fixed then variable,,,fixed,,42057,53011,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,37.513875,43707,43707,monthly,monthly,1250,4500.9,0.04,0.005,0.01,,20,3
A00019352,LP19289,Branch,42057,USA,Resi,Mortage,Loan,Linear,53007,55197,USD,136000,129200,680,129880,0.04,fixed,,,,fixed,,42058,55197,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,32.47,43707,43707,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,,90,3
A00019353,LP19290,Web,42058,USA,Resi,Mortage,Loan,Linear,53008,54833,USD,132714.2857,119442.8571,663.5714286,120106.4286,0.04,fixed,,,,fixed,,42059,54833,,,0.03,0.005,0.0075,43672,368.6507937,368.6507937,30.02660714,43707,43707,monthly,monthly,1105.952381,3583.285714,0.04,0.005,0.01,non-performing,91,3
A00019354,LP19291,Broker,42059,USA,Resi,Mortage,Loan,Linear,53009,54834,USD,129428.5714,126840,323.5714286,127163.5714,0.04,fixed,,,,fixed,,42060,54834,,,0.03,0.005,0.0075,43672,359.5238095,359.5238095,31.79089286,43707,43707,monthly,monthly,1078.571429,3805.2,0.04,0.005,0.01,non-performing,95,3
A00019355,LP19292,Branch,42060,USA,Resi,Mortage,Loan,Linear,53010,54835,USD,126142.8571,119835.7143,340.5857143,120176.3,0.04,fixed,,,,fixed,,42061,54835,,,0.03,0.005,0.0075,43672,350.3968254,350.3968254,30.044075,43707,43707,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,97,3
A00019356,LP19293,Branch,42061,USA,Resi,Mortage,Loan,Linear,53011,54836,USD,122857.1429,116714.2857,710.1142857,117424.4,0.04,fixed,,,,fixed,,42062,54836,,,0.03,0.005,0.0075,43672,341.2698413,341.2698413,29.3561,43707,43707,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,non-performing,93,3
A00019357,LP19294,Web,42062,USA,Resi,Mortage,Loan,Linear,53012,54837,USD,119571.4286,113592.8571,597.8571429,114190.7143,0.04,fixed,,,,fixed,,42063,54837,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,28.54767857,43707,43707,monthly,monthly,1992.857143,6815.571429,0.04,0.005,0.01,non-performing,213,6
A00019358,LP19295,Broker,42063,USA,Resi,Mortage,Loan,Linear,53013,55933,USD,116285.7143,110471.4286,19.76857143,110491.1971,0.0375,mixed,5 years fixed then variable,,,fixed,,42064,55933,,,0.03,0.005,0.0075,43669,323.015873,323.015873,27.62279929,43707,43707,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,,20,3
A00019359,LP19296,Branch,42064,USA,Resi,Mortage,Loan,Linear,53014,53019,USD,200000,180000,1000,181000,0.04,fixed,,,,fixed,,42065,53019,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,45.25,43707,43707,monthly,monthly,1666.666667,5400,0.04,0.005,0.01,,90,3
A00019360,LP19297,Web,42065,USA,Resi,Mortage,Loan,Linear,53015,53020,USD,150000,147000,750,147750,0.04,fixed,,,,fixed,,42066,53020,,,0.03,0.005,0.0075,43672,250,416.6666667,36.9375,43707,43707,monthly,monthly,1250,4410,0.04,0.005,0.01,non-performing,91,3
A00019361,LP19298,Broker,42066,USA,Resi,Mortage,Loan,Linear,53016,53021,USD,100000,95000,250,95250,0.04,fixed,,,,fixed,,42067,53021,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,23.8125,43707,43707,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,95,3
A00019362,LP19299,Branch,42067,USA,Resi,Mortage,Loan,Linear,53017,53022,USD,85000,76500,229.5,76729.5,0.035,mixed,5 years fixed then variable,,,fixed,,42068,53022,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,19.182375,43707,43707,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,non-performing,97,3
