Principal Balance,UPB,Loan ID,Origination Channel,MARP Status,Origination Date,MARP Entry,Last Payment Amount,Origination Country,Asset Class,Loan Purpose,Prod Type,Amort Type,Org Mat Date,Cur Mat Date,Currency,Org Amount,Accrued Interest Balance (On book),Original Interest Rate,Original Rate Type,Rate Description,Original Interest Rate Reference,Current Rate,Current Rate Type,Current Rate Ref,Start Date of Current Fixed Interest Period,End Date of Current Fixed Interest Period,Interest Cap Rate,Interest Floor Rate,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Last Payment Date,Next Principal Scheduled Repayment Amount,Next Interest Scheduled Repayment Amount,Next Principal Scheduled Repayment Date,Next Interest Scheduled Repayment Date,Interest Payment Frequency,Principal Payment Frequency,Past-Due Principal Amount,Past-Due Interest Amount,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Loan Status,Days in Past-Due,Time in Past-Due,Covenant Waiver,MARP Applicable
190000,191000,ZLP27283,Web,ARA,2/16/2013,11/8/2013,555.5555556,Ireland,Resi,Mortage,Loan,Linear,2/8/2045,2/13/2045,EUR,132714.2857,1000,0.04,fixed,,,,fixed,,2/17/2015,2/13/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,90,3,0,0
135000,135375,ZLP27284,Broker,ARA,2/17/2013,11/9/2013,416.6666667,Ireland,CRE,Mortage,Loan,Linear,2/9/2045,2/14/2045,EUR,129428.5714,375,0.035,mixed,5 years fixed then variable,,,fixed,,2/18/2015,2/14/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,33.84375,8/30/2019,8/30/2019,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,91,3,0,0
98000,98270,ZLP27285,Branch,Exited MARP,2/18/2013,11/10/2013,277.7777778,Ireland,Resi,Mortage,Loan,Linear,2/10/2045,2/15/2045,EUR,126142.8571,270,0.04,variable,,LIBOR,3,fixed,LIBOR,2/19/2015,2/15/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,24.5675,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,95,3,0,0
80750,81241.3,ZLP27286,Branch,Not in MARP,2/19/2013,11/11/2013,236.1111111,Ireland,Resi,Mortage,Loan,Linear,2/11/2045,2/16/2045,EUR,122857.1429,491.3,0.04,fixed,,,,fixed,,2/20/2015,2/16/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,20.310325,8/30/2019,8/30/2019,monthly,monthly,1416.666667,4845,0.04,0.005,0.01,non-performing,97,3,0,0
190000,191000,ZLP27287,Web,ARA,2/20/2013,11/12/2013,555.5555556,Ireland,Resi,Mortage,Loan,Linear,2/12/2045,2/17/2045,EUR,119571.4286,1000,0.04,fixed,,,,fixed,,2/21/2015,2/17/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,3333.333333,11400,0.04,0.005,0.01,non-performing,93,3,0,0
150030,150055.5,ZLP27288,Broker,ARA,2/21/2013,11/13/2013,0,Ireland,Resi,Mortage,Loan,Linear,2/13/2045,2/18/2045,EUR,116285.7143,25.5,0.0375,mixed,5 years fixed then variable,,,fixed,,2/22/2015,2/18/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,37.513875,8/30/2019,8/30/2019,monthly,monthly,1250,4500.9,0.04,0.005,0.01,non-performing,360,9,0,0
129200,129880,ZLP27289,Branch,ARA,2/22/2013,11/14/2013,377.7777778,Ireland,Resi,Mortage,Loan,Linear,2/14/2045,2/13/2051,EUR,132714.2857,680,0.04,fixed,,,,fixed,,2/23/2015,2/13/2051,,,0.03,0.005,0.0075,7/26/2019,377.7777778,32.47,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,90,3,0,0
119442.8571,120106.4286,ZLP27290,Web,Not in MARP,2/23/2013,11/15/2013,368.6507937,Ireland,Resi,Mortage,Loan,Linear,2/15/2045,2/14/2050,EUR,129428.5714,663.5714286,0.04,fixed,,,,fixed,,2/24/2015,2/14/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,30.02660714,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3583.285714,0.04,0.005,0.01,non-performing,91,3,0,0
126840,127163.5714,ZLP27291,Broker,Not in MARP,2/24/2013,11/16/2013,359.5238095,Ireland,Resi,Mortage,Loan,Linear,2/16/2045,2/15/2050,EUR,126142.8571,323.5714286,0.04,fixed,,,,fixed,,2/25/2015,2/15/2050,,,0.03,0.005,0.0075,7/26/2019,359.5238095,31.79089286,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3805.2,0.04,0.005,0.01,non-performing,95,3,0,0
119835.7143,120176.3,ZLP27292,Branch,Not in MARP,2/25/2013,11/17/2013,350.3968254,Ireland,Resi,Mortage,Loan,Linear,2/17/2045,2/16/2050,EUR,122857.1429,340.5857143,0.04,fixed,,,,fixed,,2/26/2015,2/16/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,30.044075,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,97,3,0,0
