Loan_ID,Origination_Channel,Origination_Date,Origination_Country,Asset_Class,Loan_Purpose,Prod_Type,Amort_Type,Org_Mat_Date,Cur_Mat_Date,Currency,Org_Amount,Principal_Bal,Accrued_Interest_Bal,UPB,Original_Interest_Rate,Original_Rate_Type,Rate_Description,Original_Interest_Rate_Reference,Current_Rate,Current_Rate_Type,Current_Rate_Ref,Start_Date_of_Current_Fixed_Interest_Period,End_Date_of_Current_Fixed_Interest_Period,Interest_Cap_Rate,Interest_Floor_Rate,Early_Redemption_Penalty,Past-Due_Penalty_Interest-Margin,Default_Penalty_Interest_Margin,Last_Payment_Date,Last_Payment_Amount,Next_Principal_Scheduled_Repayment_Amount,Next_Interest_Scheduled_Repayment_Amount,Next_Principal_Scheduled_Repayment_Date,Next_Interest_Scheduled_Repayment_Date,Interest_Payment_Frequency,Principal_Payment_Frequency,Past-Due_Principal_Amount,Past-Due_Interest_Amount,Early_Redemption_Penalty,Past-Due_Penalty_Interest_Margin,Default_Penalty_Interest_Margin,Loan_Status,Days_Past-Due,Time_in_Past-Due
100727782,Branch,2/16/2013,UK,Resi,Mortage,Loan,Linear,2/8/2045,2/13/2045,GBP,85000,190000,1000,191000,0.04,fixed,,,,fixed,,2/17/2015,2/13/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,90,3
100727781,Branch,2/17/2013,UK,CRE,Mortage,Loan,Linear,2/8/2045,2/14/2045,GBP,85000,135000,375,135375,0.035,mixed,5 years fixed then variable,,,fixed,,2/18/2015,2/14/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,33.84375,8/30/2019,8/30/2019,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,91,3
100727780,Branch,2/18/2013,UK,Resi,Mortage,Loan,Linear,2/8/2045,2/15/2045,GBP,85000,98000,270,98270,0.04,variable,,LIBOR,3,fixed,LIBOR,2/19/2015,2/15/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,277.7777778,24.5675,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,95,3
100727779,Branch,2/19/2013,UK,Resi,Mortage,Loan,Linear,2/8/2045,2/16/2045,GBP,85000,80750,491.3,81241.3,0.04,fixed,,,,fixed,,2/20/2015,2/16/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,236.1111111,20.310325,8/30/2019,8/30/2019,monthly,monthly,1416.666667,4845,0.04,0.005,0.01,non-performing,97,3
100727778,Branch,2/20/2013,UK,Resi,Mortage,Loan,Linear,2/9/2045,2/17/2045,GBP,85000,190000,1000,191000,0.04,fixed,,,,fixed,,2/21/2015,2/17/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,3333.333333,11400,0.04,0.005,0.01,non-performing,93,3
100727777,Branch,2/21/2013,UK,Resi,Mortage,Loan,Linear,2/9/2045,2/18/2045,GBP,85000,150030,25.5,150055.5,0.0375,mixed,5 years fixed then variable,,,fixed,,2/22/2015,2/18/2045,,,0.03,0.005,0.0075,7/26/2019,0,416.6666667,37.513875,8/30/2019,8/30/2019,monthly,monthly,1250,4500.9,0.04,0.005,0.01,non-performing,360,9
100727776,Branch,2/22/2013,UK,Resi,Mortage,Loan,Linear,2/9/2045,2/13/2051,GBP,85000,129200,680,129880,0.04,fixed,,,,fixed,,2/23/2015,2/13/2051,,,0.03,0.005,0.0075,7/26/2019,377.7777778,377.7777778,32.47,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,90,3
100727775,Branch,2/23/2013,UK,Resi,Mortage,Loan,Linear,2/9/2045,2/14/2050,GBP,85000,119442.8571,663.5714286,120106.4286,0.04,fixed,,,,fixed,,2/24/2015,2/14/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,368.6507937,30.02660714,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3583.285714,0.04,0.005,0.01,non-performing,91,3
100727774,Branch,2/24/2013,UK,Resi,Mortage,Loan,Linear,2/10/2045,2/15/2050,GBP,85000,126840,323.5714286,127163.5714,0.04,fixed,,,,fixed,,2/25/2015,2/15/2050,,,0.03,0.005,0.0075,7/26/2019,359.5238095,359.5238095,31.79089286,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3805.2,0.04,0.005,0.01,non-performing,95,3
100727773,Branch,2/25/2013,UK,Resi,Mortage,Loan,Linear,2/10/2045,2/16/2050,GBP,85000,119835.7143,340.5857143,120176.3,0.04,fixed,,,,fixed,,2/26/2015,2/16/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,350.3968254,30.044075,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,97,3
100727772,Branch,2/26/2013,UK,Resi,Mortage,Loan,Linear,2/10/2045,2/17/2050,GBP,85000,116714.2857,710.1142857,117424.4,0.04,fixed,,,,fixed,,2/27/2015,2/17/2050,,,0.03,0.005,0.0075,7/26/2019,341.2698413,341.2698413,29.3561,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,non-performing,93,3
100727771,Branch,2/27/2013,UK,Resi,Mortage,Loan,Linear,2/10/2045,2/18/2050,GBP,85000,113592.8571,597.8571429,114190.7143,0.04,fixed,,,,fixed,,2/28/2015,2/18/2050,,,0.03,0.005,0.0075,7/26/2019,332.1428571,332.1428571,28.54767857,8/30/2019,8/30/2019,monthly,monthly,1992.857143,6815.571429,0.04,0.005,0.01,non-performing,90,3
100727770,Branch,2/28/2013,UK,Resi,Mortage,Loan,Linear,2/11/2045,2/18/2053,GBP,85000,110471.4286,19.76857143,110491.1971,0.0375,mixed,5 years fixed then variable,,,fixed,,3/1/2015,2/18/2053,,,0.03,0.005,0.0075,7/23/2019,323.015873,323.015873,27.62279929,8/30/2019,8/30/2019,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,non-performing,92,3
100727769,Branch,3/1/2013,UK,Resi,Mortage,Loan,Linear,2/11/2045,2/26/2045,GBP,85000,180000,1000,181000,0.04,fixed,,,,fixed,,3/2/2015,2/26/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,45.25,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5400,0.04,0.005,0.01,non-performing,180,6
100727768,Branch,3/2/2013,UK,Resi,Mortage,Loan,Linear,2/11/2045,2/27/2045,GBP,85000,147000,750,147750,0.04,fixed,,,,fixed,,3/3/2015,2/27/2045,,,0.03,0.005,0.0075,7/26/2019,250,416.6666667,36.9375,8/30/2019,8/30/2019,monthly,monthly,1250,4410,0.04,0.005,0.01,non-performing,90,3
100727767,Branch,3/3/2013,UK,Resi,Mortage,Loan,Linear,2/12/2045,2/28/2045,GBP,85000,95000,250,95250,0.04,fixed,,,,fixed,,3/4/2015,2/28/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,277.7777778,23.8125,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,91,3
100727766,Branch,3/4/2013,UK,Resi,Mortage,Loan,Linear,2/12/2045,3/1/2045,GBP,85000,76500,229.5,76729.5,0.035,mixed,5 years fixed then variable,,,fixed,,3/5/2015,3/1/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,236.1111111,19.182375,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,non-performing,95,3
100727765,Branch,3/5/2013,UK,CRE,Mortage,Loan,Linear,2/12/2045,3/2/2045,GBP,85000,196000,1156,197156,0.04,fixed,,,,fixed,,3/6/2015,3/2/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,49.289,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,97,3
100727764,Branch,3/6/2013,UK,Resi,Mortage,Loan,Linear,2/13/2045,3/3/2045,GBP,100000,142500,750,143250,0.04,fixed,,,,fixed,,3/7/2015,3/3/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3
100727763,Branch,3/7/2013,UK,Resi,Mortage,Loan,Linear,2/13/2045,2/26/2051,GBP,100000,129200,23.12,129223.12,0.04,fixed,,,,fixed,,3/8/2015,2/26/2051,,,0.03,0.005,0.0075,7/26/2019,0,377.7777778,32.30578,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,270,6
100727762,Branch,3/8/2013,UK,Resi,Mortage,Loan,Linear,2/13/2045,2/27/2050,GBP,100000,132740.8286,22.56142857,132763.39,0.04,fixed,,,,fixed,,3/9/2015,2/27/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,368.6507937,33.1908475,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3982.224857,0.04,0.005,0.01,non-performing,90,3
100727761,Branch,3/9/2013,UK,Resi,Mortage,Loan,Linear,2/14/2045,2/28/2050,GBP,100000,122957.1429,22.00285714,122979.1457,0.04,fixed,,,,fixed,,3/10/2015,2/28/2050,,,0.03,0.005,0.0075,7/26/2019,359.5238095,359.5238095,30.74478643,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,non-performing,91,3
100727760,Branch,3/10/2013,UK,Resi,Mortage,Loan,Linear,2/14/2045,3/1/2050,GBP,100000,113528.5714,21.44428571,113550.0157,0.04,fixed,,,,fixed,,3/11/2015,3/1/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,350.3968254,28.38750393,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3405.857143,0.04,0.005,0.01,non-performing,95,3
100727759,Branch,3/11/2013,UK,Resi,Mortage,Loan,Linear,2/14/2045,3/2/2050,GBP,100000,120400,20.88571429,120420.8857,0.04,fixed,,,,fixed,,3/12/2015,3/2/2050,,,0.03,0.005,0.0075,7/26/2019,472.5274725,341.2698413,30.10522143,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3612,0.04,0.005,0.01,non-performing,97,3
