,rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
0,Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,DEBENTURES,075887AN9,7.0,2027-08-01,200.0,True,A3,2012-10-03,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
1,Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,DEBENTURES,075887AN9,7.0,2027-08-01,200.0,False,A2,2012-06-15,HS,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
2,Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,DEBENTURES,075887AN9,7.0,2027-08-01,200.0,True,Baa2,2015-03-17,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
3,Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,SR DEBENTURES,075887AQ2,6.7,2028-08-01,200.0,False,A2,2012-06-15,HS,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
4,Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,SR DEBENTURES,075887AQ2,6.7,2028-08-01,200.0,True,A3,2012-10-03,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
5,Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,SR DEBENTURES,075887AQ2,6.7,2028-08-01,200.0,True,Baa2,2015-03-17,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
6,Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,NOTES,075887AT6,4.9,2018-04-15,200.0,False,A2,2012-06-15,HS,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
7,Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,NOTES,075887AT6,4.9,2018-04-15,200.0,True,Baa2,2015-03-17,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
8,Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,NOTES,075887AT6,4.9,2018-04-15,200.0,True,A3,2012-10-03,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
9,Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,SR GLOBAL NOTES,075887AU3,5.0,2019-05-15,500.0,False,A2,2012-06-15,HS,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
