rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
"Morningstar Credit Ratings, LLC.",2018-04-26,,,,,,,,,,false,WO,2014-05-29,WO,,,,,,,,,,,0000842180,,,,Corporate,,Banco Bilbao Vizcaya Argentaria SA
"Morningstar Credit Ratings, LLC.",2018-04-26,,,,,,,,,,false,BB+,2012-06-13,DG,,,,,,,,,,,0000842180,,,,Corporate,,Banco Bilbao Vizcaya Argentaria SA
"Morningstar Credit Ratings, LLC.",2018-04-26,,,,,,,,,,false,BBB+,2011-10-07,HS,,,,,,,,,,,0000842180,,,,Corporate,,Banco Bilbao Vizcaya Argentaria SA
"Morningstar Credit Ratings, LLC.",2018-04-26,,,,,,,,,,false,WO,2015-09-18,WO,,,,,,,,,,,0001160330,,,,Corporate,,Bank Bradesco SA
"Morningstar Credit Ratings, LLC.",2018-04-26,,,,,,,,,,false,BBB+,2011-10-07,HS,,,,,,,,,,,0001160330,,,,Corporate,,Bank Bradesco SA
"Morningstar Credit Ratings, LLC.",2018-04-26,,,,,,,,,,false,WO,2015-09-18,WO,,,,,,,,,,,0001132597,,,,Corporate,,Itau Unibanco Holding SA
"Morningstar Credit Ratings, LLC.",2018-04-26,,,,,,,,,,false,BBB+,2011-10-07,HS,,,,,,,,,,,0001132597,,,,Corporate,,Itau Unibanco Holding SA
"Morningstar Credit Ratings, LLC.",2018-04-26,,,,,,,,,,false,WO,2016-01-15,WO,,,,,,,,,,,0000891478,,,,Corporate,,Banco Santander SA
"Morningstar Credit Ratings, LLC.",2018-04-26,,,,,,,,,,false,BBB,2012-06-13,DG,,,,,,,,,,,0000891478,,,,Corporate,,Banco Santander SA
"Morningstar Credit Ratings, LLC.",2018-04-26,,,,,,,,,,false,BBB+,2011-10-07,HS,,,,,,,,,,,0000891478,,,,Corporate,,Banco Santander SA
