,rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
0,Fitch Ratings,2019-01-01,Corporate,"""Universal Corporation""",,Instrument,"""Universal Corporation senior unsecured term loan""",,,,,True,BBB-,2013-10-31,NW,Long Term Rating,,,,,,92639294.0,NRSRO,93214998,NRSRO,,,,,,,
1,Fitch Ratings,2019-01-01,Corporate,"""Universal Corporation""",,Instrument,"""Universal Corporation senior unsecured term loan""",,,,,True,WD,2015-07-29,WE,Long Term Rating,,,,,,92639294.0,NRSRO,93214998,NRSRO,,,,,,,
2,Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,True,BBB,2012-06-15,HS,Long Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
3,Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,True,BBB-,2012-11-27,DG,Long Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
4,Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,True,BBB,2017-10-05,UP,Long Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
5,Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,True,F2,2012-06-15,HS,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
6,Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,True,F3,2012-11-27,DG,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
7,Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,True,F2,2017-10-05,UP,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
8,Fitch Ratings,2019-01-01,Corporate,"""WPP plc""",,Instrument,"""WPP plc senior unsecured revolving credit facility""",,,,,False,BBB+,2012-06-15,HS,Long Term Rating,,,,,,80370417.0,NRSRO,89167262,NRSRO,,,,,,,
9,Fitch Ratings,2019-01-01,Corporate,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V.""",,Instrument,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V. USD 1 bln 4.25% bond 31-Oct-2026""",,,,,True,BBB+,2016-10-24,NW,Long Term Rating,,,,,,96287944.0,NRSRO,USP6629MAA01,ISIN,,,,,,,
10,Fitch Ratings,2019-01-01,Corporate,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V.""",,Instrument,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V. USD 1 bln 5.5% bond 31-Oct-2046""",,,,,True,BBB+,2016-10-24,NW,Long Term Rating,,,,,,96287944.0,NRSRO,USP6629MAB83,ISIN,,,,,,,
11,Fitch Ratings,2019-01-01,Corporate,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V.""",,Instrument,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V. Bond""",,,,,True,BBB+,2016-10-24,NW,Long Term Rating,,,,,,96287944.0,NRSRO,96227679,NRSRO,,,,,,,
12,Fitch Ratings,2019-01-01,Corporate,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V.""",,Instrument,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V. Bond""",,,,,True,WD,2017-09-07,WE,Long Term Rating,,,,,,96287944.0,NRSRO,96227679,NRSRO,,,,,,,
13,Fitch Ratings,2019-01-01,Corporate,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V.""",,Instrument,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V. USD 1 bln 3.875% bond/note 30-APR-2028""",,,,,True,BBB+,2017-09-29,NW,Long Term Rating,,,,,,96287944.0,NRSRO,USP6629MAC66,ISIN,,,,,,,
14,Fitch Ratings,2019-01-01,Corporate,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V.""",,Instrument,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V. USD 3 bln 5.5% bond/note 31-Jul-2047""",,,,,True,BBB+,2017-09-29,NW,Long Term Rating,,,,,,96287944.0,NRSRO,USP6629MAD40,ISIN,,,,,,,
15,Fitch Ratings,2019-01-01,,,213800YOEO5OQ72G2R82,,,,,,,False,A-,2012-06-15,HS,Long Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Rio Tinto Plc"""
16,Fitch Ratings,2019-01-01,,,213800YOEO5OQ72G2R82,,,,,,,False,F2,2012-06-15,HS,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Rio Tinto Plc"""
17,Fitch Ratings,2019-01-01,,,,,,,,,,True,BB+,2017-05-15,NW,Long Term Issuer Default Rating,,,,,,,,,,1101891.0,,,,Corporate,,"""Tenneco Automotive Operating Company, Inc."""
18,Fitch Ratings,2019-01-01,Corporate,"""Hutchison Whampoa International (10) Limited""",,Instrument,"""Hutchison Whampoa International (10) Limited USD 2 bln Callable Variable Rate Perpetual Notes ser 144A (Guarantee: CK Hutchison Holdings Limited)""",44841YAA4,,,,True,BBB,2012-06-15,HS,Long Term Rating,,,,,,96176716.0,NRSRO,,,,,,,,,
19,Fitch Ratings,2019-01-01,Corporate,"""Hutchison Whampoa International (10) Limited""",,Instrument,"""Hutchison Whampoa International (10) Limited USD 2 bln Callable Variable Rate Perpetual Notes ser 144A (Guarantee: CK Hutchison Holdings Limited)""",44841YAA4,,,,True,WD,2017-07-09,WE,Long Term Rating,,,,,,96176716.0,NRSRO,,,,,,,,,
20,Fitch Ratings,2019-01-01,Corporate,"""Hutchison Whampoa International (10) Limited""",,Instrument,"""Hutchison Whampoa International (10) Limited USD 2 bln Callable Variable Rate Perpetual Notes ser RegS (Guarantee: CK Hutchison Holdings Limited)""",G4672JAA8,,,,True,BBB,2012-06-15,HS,Long Term Rating,,,,,,96176716.0,NRSRO,,,,,,,,,
21,Fitch Ratings,2019-01-01,Corporate,"""Hutchison Whampoa International (10) Limited""",,Instrument,"""Hutchison Whampoa International (10) Limited USD 2 bln Callable Variable Rate Perpetual Notes ser RegS (Guarantee: CK Hutchison Holdings Limited)""",G4672JAA8,,,,True,WD,2017-07-09,WE,Long Term Rating,,,,,,96176716.0,NRSRO,,,,,,,,,
22,Fitch Ratings,2019-01-01,Corporate,"""Corning Inc.""",,Instrument,"""Corning Inc. senior unsecured commercial paper""",,,,,True,F2,2014-05-14,NW,Short Term Rating,,,,,,80097196.0,NRSRO,94220694,NRSRO,,,,,,,
23,Fitch Ratings,2019-01-01,Corporate,"""Corning Inc.""",,Instrument,"""Corning Inc. senior unsecured commercial paper""",,,,,True,WD,2017-06-07,WO,Short Term Rating,,,,,,80097196.0,NRSRO,94220694,NRSRO,,,,,,,
24,Fitch Ratings,2019-01-01,,,,,,,,,,True,BBB,2012-06-15,HS,Long Term Issuer Default Rating,,,,,,,,,,1042701.0,,,,Corporate,,"""Grupo Mexico, S.A.B. de C.V."""
25,Fitch Ratings,2019-01-01,,,,,,,,,,True,BBB+,2012-12-03,UP,Long Term Issuer Default Rating,,,,,,,,,,1042701.0,,,,Corporate,,"""Grupo Mexico, S.A.B. de C.V."""
26,Fitch Ratings,2019-01-01,,,,,,,,,,True,BBB,2012-06-15,HS,Local Currency Long Term Issuer Default Rating,,,,,,,,,,1042701.0,,,,Corporate,,"""Grupo Mexico, S.A.B. de C.V."""
27,Fitch Ratings,2019-01-01,,,,,,,,,,True,BBB+,2012-12-03,UP,Local Currency Long Term Issuer Default Rating,,,,,,,,,,1042701.0,,,,Corporate,,"""Grupo Mexico, S.A.B. de C.V."""
28,Fitch Ratings,2019-01-01,,,,,,,,,,True,BB-,2014-06-26,NW,Long Term Issuer Default Rating,,,,,,,,,,,94301090.0,NRSRO,,Corporate,,"""Radio e Televisao Bandeirantes Ltda."""
29,Fitch Ratings,2019-01-01,,,,,,,,,,True,B,2016-12-07,DG,Long Term Issuer Default Rating,,,,,,,,,,,94301090.0,NRSRO,,Corporate,,"""Radio e Televisao Bandeirantes Ltda."""
30,Fitch Ratings,2019-01-01,,,,,,,,,,True,CCC,2017-04-07,DG,Long Term Issuer Default Rating,,,,,,,,,,,94301090.0,NRSRO,,Corporate,,"""Radio e Televisao Bandeirantes Ltda."""
31,Fitch Ratings,2019-01-01,,,,,,,,,,True,BB-,2014-06-26,NW,Local Currency Long Term Issuer Default Rating,,,,,,,,,,,94301090.0,NRSRO,,Corporate,,"""Radio e Televisao Bandeirantes Ltda."""
32,Fitch Ratings,2019-01-01,,,,,,,,,,True,B,2016-12-07,DG,Local Currency Long Term Issuer Default Rating,,,,,,,,,,,94301090.0,NRSRO,,Corporate,,"""Radio e Televisao Bandeirantes Ltda."""
33,Fitch Ratings,2019-01-01,,,,,,,,,,True,CCC,2017-04-07,DG,Local Currency Long Term Issuer Default Rating,,,,,,,,,,,94301090.0,NRSRO,,Corporate,,"""Radio e Televisao Bandeirantes Ltda."""
34,Fitch Ratings,2019-01-01,,,21TPXMRRHFKOBHDC8J74,,,,,,,True,BBB,2012-06-15,HS,Long Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""CenterPoint Energy, Inc."""
35,Fitch Ratings,2019-01-01,,,21TPXMRRHFKOBHDC8J74,,,,,,,True,F3,2012-06-15,HS,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""CenterPoint Energy, Inc."""
36,Fitch Ratings,2019-01-01,,,21TPXMRRHFKOBHDC8J74,,,,,,,True,F2,2013-03-18,UP,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""CenterPoint Energy, Inc."""
37,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 750 mln 8.5% Callable Notes 15 Jul 2015 ser RegS""",,,,,True,BB,2012-06-15,HS,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1AY2A0,ISIN,,,,,,,
