rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,Corporate,"""Universal Corporation""",,Instrument,"""Universal Corporation senior unsecured term loan""",,,,,TRUE,BBB-,2013-10-31,NW,Long Term Rating,,,,,,92639294,NRSRO,93214998,NRSRO,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,Corporate,"""Universal Corporation""",,Instrument,"""Universal Corporation senior unsecured term loan""",,,,,TRUE,WD,2015-07-29,WE,Long Term Rating,,,,,,92639294,NRSRO,93214998,NRSRO,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,TRUE,BBB,2012-06-15,HS,Long Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,TRUE,BBB-,2012-11-27,DG,Long Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,TRUE,BBB,2017-10-05,UP,Long Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,TRUE,F2,2012-06-15,HS,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,TRUE,F3,2012-11-27,DG,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,,,54930035UDEIH090K650,,,,,,,TRUE,F2,2017-10-05,UP,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Conagra Brands, Inc."""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,Corporate,"""WPP plc""",,Instrument,"""WPP plc senior unsecured revolving credit facility""",,,,,FALSE,BBB+,2012-06-15,HS,Long Term Rating,,,,,,80370417,NRSRO,89167262,NRSRO,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,Corporate,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V.""",,Instrument,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V. USD 1 bln 4.25% bond 31-Oct-2026""",,,,,TRUE,BBB+,2016-10-24,NW,Long Term Rating,,,,,,96287944,NRSRO,USP6629MAA01,ISIN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,Corporate,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V.""",,Instrument,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V. USD 1 bln 5.5% bond 31-Oct-2046""",,,,,TRUE,BBB+,2016-10-24,NW,Long Term Rating,,,,,,96287944,NRSRO,USP6629MAB83,ISIN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,Corporate,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V.""",,Instrument,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V. Bond""",,,,,TRUE,BBB+,2016-10-24,NW,Long Term Rating,,,,,,96287944,NRSRO,96227679,NRSRO,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch Ratings,2019-01-01,Corporate,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V.""",,Instrument,"""Grupo Aeroportuario de la Ciudad de Mexico, S.A. de C.V. Bond""",,,,,TRUE,WD,2017-09-07,WE,Long Term Rating,,,,,,96287944,NRSRO,96227679,NRSRO,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
