,LOAN IDENTIFIER,CURRENT DQ STATUS,ORIGINATION CHANNEL,SELLER NAME,ORIGINAL INTEREST RATE,ORIGINAL UPB,ORIGINAL LOAN TERM,ORIGINATION DATE,FIRST PAYMENT DATE,ORIGINAL LOAN-TO-VALUE (LTV),ORIGINAL COMBINED LOAN-TO-VALUE (CLTV),NUMBER OF BORROWERS,ORIGINAL DEBT TO INCOME RATIO,BORROWER CREDIT SCORE AT ORIGINATION,FIRST TIME HOME BUYER INDICATOR,LOAN PURPOSE,PROPERTY TYPE,NUMBER OF UNITS,OCCUPANCY TYPE,PROPERTY STATE,ZIP CODE SHORT,PRIMARY MORTGAGE INSURANCE PERCENT,PRODUCT TYPE,CO-BORROWER CREDIT SCORE AT ORIGINATION,MORTGAGE INSURANCE TYPE,RELOCATION MORTGAGE INDICATOR
7211179,526903355721,0,C,SUNTRUST MORTGAGE INC.,4.0,328000,360,01/2015,03/2015,80,80,1,35.0,751.0,N,P,SF,1,P,GA,300,,FRM,,,N
6667358,494672746892,0,R,OTHER,3.75,160000,360,03/2015,05/2015,80,80,2,14.0,810.0,Y,P,SF,1,P,OK,741,,FRM,794.0,,N
9475802,658602261952,0,R,OTHER,3.5,129000,180,01/2015,03/2015,47,47,1,31.0,721.0,N,C,SF,1,P,VA,234,,FRM,,,N
7400052,537837259667,0,R,OTHER,4.625,118000,360,12/2014,02/2015,80,80,2,27.0,785.0,N,P,SF,1,I,TX,751,,FRM,780.0,,N
1272375,175597146030,0,R,QUICKEN LOANS INC.,3.75,85000,180,01/2015,03/2015,41,41,1,27.0,627.0,N,R,SF,1,P,SC,296,,FRM,,,N
13347411,886315823265,0,C,OTHER,4.125,90000,360,10/2014,12/2014,95,95,1,32.0,765.0,Y,P,SF,1,P,OK,731,30.0,FRM,,1.0,N
7096784,520211693353,0,C,"WELLS FARGO BANK, N.A.",3.75,182000,360,01/2015,03/2015,52,52,1,34.0,758.0,N,C,PU,1,P,CA,928,,FRM,,,N
10687370,729703071537,0,R,OTHER,2.75,150000,180,03/2015,05/2015,38,38,2,11.0,804.0,N,R,SF,1,P,WI,530,,FRM,814.0,,N
9245577,645136364888,0,R,OTHER,3.5,417000,240,02/2015,04/2015,63,70,2,38.0,760.0,N,R,SF,1,P,WA,981,,FRM,782.0,,N
7111825,521067426308,0,C,OTHER,3.125,120000,120,12/2014,02/2015,20,20,1,32.0,811.0,N,C,SF,1,P,PA,184,,FRM,,,N
7762190,558655757259,0,R,OTHER,3.625,274000,240,03/2015,05/2015,80,80,1,15.0,682.0,N,P,SF,1,S,OR,972,,FRM,,,N
5835032,445537192079,0,R,OTHER,3.125,414000,180,01/2015,03/2015,63,82,1,33.0,776.0,N,R,SF,1,P,NC,282,,FRM,,,N
4820821,385284617301,0,R,OTHER,4.375,495000,360,03/2015,05/2015,90,90,2,41.0,675.0,Y,P,CO,1,P,HI,968,25.0,FRM,686.0,1.0,N
10415479,713659651036,0,R,OTHER,3.75,379000,360,03/2015,05/2015,75,75,1,29.0,756.0,N,R,CO,1,P,CA,934,,FRM,,,N
9482955,659001221798,0,C,"WELLS FARGO BANK, N.A.",3.875,113000,360,01/2015,03/2015,75,75,1,36.0,761.0,N,P,CO,1,I,NC,282,,FRM,,,N
9070585,634942812715,0,R,OTHER,4.25,66000,360,03/2015,05/2015,80,80,2,11.0,806.0,N,P,SF,1,I,AL,356,,FRM,808.0,,N
10495928,718523955552,0,R,OTHER,3.875,124000,360,02/2015,04/2015,95,95,2,37.0,783.0,N,P,SF,1,P,OH,453,30.0,FRM,783.0,1.0,N
14994230,983313845270,0,R,OTHER,3.875,285000,360,03/2015,05/2015,95,95,2,41.0,748.0,N,P,PU,1,P,OK,730,30.0,FRM,800.0,1.0,N
1039517,161593537883,0,C,OTHER,4.25,337000,360,12/2014,02/2015,69,69,2,27.0,696.0,N,R,SF,1,P,CA,954,,FRM,723.0,,N
6028172,457055730656,0,R,OTHER,3.75,99000,360,11/2014,01/2015,38,38,2,41.0,765.0,N,P,SF,1,P,OR,973,,FRM,782.0,,N
5160098,405426468840,0,R,OTHER,3.875,142000,360,03/2015,05/2015,80,80,2,11.0,813.0,N,P,SF,1,S,FL,346,,FRM,806.0,,N
13470653,893656222051,4,R,OTHER,4.0,223000,360,12/2014,02/2015,95,95,2,44.0,740.0,N,P,PU,1,P,TX,775,30.0,FRM,747.0,1.0,N
1693311,200410506518,0,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.0,233000,360,12/2014,02/2015,85,85,2,38.0,712.0,N,R,SF,1,P,MS,391,12.0,FRM,741.0,1.0,N
5781915,442330197735,0,C,"WELLS FARGO BANK, N.A.",4.25,394000,360,12/2014,02/2015,95,95,1,36.0,699.0,N,P,SF,1,P,PA,193,30.0,FRM,,1.0,N
5931105,451258291283,0,R,OTHER,4.125,379000,360,12/2014,03/2015,73,73,1,25.0,713.0,N,C,SF,1,P,VA,201,,FRM,,,N
708855,142300066991,0,R,OTHER,4.125,250000,360,02/2015,04/2015,80,80,1,35.0,708.0,N,P,CO,1,S,SC,295,,FRM,,,N
9320391,649525638302,0,C,OTHER,3.5,192000,360,02/2015,04/2015,70,70,2,45.0,823.0,N,C,PU,1,P,NC,287,,FRM,823.0,,N
5714037,438354554356,0,R,OTHER,3.875,398000,360,02/2015,04/2015,62,83,1,42.0,705.0,N,R,PU,1,P,CA,927,,FRM,,,N
9504544,660271976674,0,R,OTHER,3.875,178000,360,03/2015,05/2015,95,95,1,44.0,754.0,Y,P,PU,1,P,CO,805,30.0,FRM,,1.0,N
10932152,744136303680,0,R,"WELLS FARGO BANK, N.A.",3.875,239000,360,12/2014,02/2015,86,86,1,31.0,755.0,Y,P,PU,1,P,GA,306,25.0,FRM,,1.0,N
13909776,919290955863,0,R,"LOANDEPOT.COM, LLC",5.0,105000,360,12/2014,02/2015,60,60,2,41.0,716.0,N,C,SF,1,I,CO,809,,FRM,683.0,,N
15195259,995365068596,0,B,OTHER,4.125,160000,360,01/2015,02/2015,68,68,1,21.0,720.0,N,R,PU,1,P,MD,210,,FRM,,,N
7692622,554728954749,0,R,OTHER,4.0,206000,360,12/2014,02/2015,95,95,1,33.0,810.0,Y,P,PU,1,P,CA,956,16.0,FRM,,1.0,N
3744111,321679006136,0,R,"WELLS FARGO BANK, N.A.",3.75,171000,240,01/2015,03/2015,64,64,1,38.0,747.0,N,R,CO,1,P,HI,967,,FRM,,,N
3430115,303117378602,1,B,OTHER,4.75,307000,300,01/2015,03/2015,90,90,2,27.0,701.0,N,R,SF,1,P,OH,435,25.0,FRM,690.0,2.0,N
7423389,539263441457,0,B,OTHER,2.875,150000,180,03/2015,05/2015,66,66,1,39.0,779.0,N,C,PU,1,P,TX,786,,FRM,,,N
10830516,738148320147,0,C,IMPAC MORTGAGE CORP.,3.625,417000,360,02/2015,04/2015,50,50,1,41.0,734.0,N,R,SF,1,P,CA,914,,FRM,,,N
12616718,843865988999,0,C,OTHER,4.375,71000,360,11/2014,01/2015,76,76,1,23.0,713.0,N,R,SF,1,P,KY,411,,FRM,,,N
