rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
Standard & Poor's Ratings Services,2017-11-01,,,213800JFIBCR4LGUA242,,,,,,,true,B,2014-07-11,NW,Foreign Currency LT,Issuer Credit Rating,,,,Negative,,,,,,,,,Corporate,,Johnston Press PLC
Standard & Poor's Ratings Services,2017-11-01,,,213800JFIBCR4LGUA242,,,,,,,true,B,2015-07-24,,Foreign Currency LT,Issuer Credit Rating,,Affirmation,,Negative,,,,,,,,,Corporate,,Johnston Press PLC
Standard & Poor's Ratings Services,2017-11-01,,,213800JFIBCR4LGUA242,,,,,,,true,CCC+,2016-03-24,DG,Foreign Currency LT,Issuer Credit Rating,,,,Stable,,,,,,,,,Corporate,,Johnston Press PLC
Standard & Poor's Ratings Services,2017-11-01,,,213800JFIBCR4LGUA242,,,,,,,true,Bprelim,2014-05-09,NW,Foreign Currency Preliminary LT,Issuer Credit Rating,,,,Negative,,,,,,,,,Corporate,,Johnston Press PLC
Standard & Poor's Ratings Services,2017-11-01,,,213800JFIBCR4LGUA242,,,,,,,true,NRprelim,2014-07-11,WO,Foreign Currency Preliminary LT,Issuer Credit Rating,,,,NR,,,,,,,,,Corporate,,Johnston Press PLC
Standard & Poor's Ratings Services,2017-11-01,,,213800JFIBCR4LGUA242,,,,,,,true,B,2014-07-11,NW,Local Currency LT,Issuer Credit Rating,,,,Negative,,,,,,,,,Corporate,,Johnston Press PLC
Standard & Poor's Ratings Services,2017-11-01,,,213800JFIBCR4LGUA242,,,,,,,true,B,2015-07-24,,Local Currency LT,Issuer Credit Rating,,Affirmation,,Negative,,,,,,,,,Corporate,,Johnston Press PLC
Standard & Poor's Ratings Services,2017-11-01,,,213800JFIBCR4LGUA242,,,,,,,true,CCC+,2016-03-24,DG,Local Currency LT,Issuer Credit Rating,,,,Stable,,,,,,,,,Corporate,,Johnston Press PLC
Standard & Poor's Ratings Services,2017-11-01,,,213800JFIBCR4LGUA242,,,,,,,true,Bprelim,2014-05-09,NW,Local Currency Preliminary LT,Issuer Credit Rating,,,,Negative,,,,,,,,,Corporate,,Johnston Press PLC
Standard & Poor's Ratings Services,2017-11-01,,,213800JFIBCR4LGUA242,,,,,,,true,NRprelim,2014-07-11,WO,Local Currency Preliminary LT,Issuer Credit Rating,,,,NR,,,,,,,,,Corporate,,Johnston Press PLC
Standard & Poor's Ratings Services,2017-11-01,Corporate,Saudi Electricity Global SUKUK Co. 3,,Instrument,US$1 bil 5.50% sukuk trust cert nts due 04/08/2044,,,,,true,AA-,2014-04-07,NW,Foreign Currency LT,Senior Unsecured,,,,,YY283604069,NRSRO,YYY272128574,NRSRO,,,,,,,
