Generic Data: Boolean,Generic Data: Numbers between 0-1,Generic Data: Numbers between 1-100,Generic Data: Float between 0-100,"Generic Data: Numbers between 100-100,000","Generic Data: Numbers between 100,000 - 1,000,000",Generic Data: Date,Generic Data: Timestamp,Generic Data: Epoch Time,Generic Data: Time,Generic Data: Frequency,Generic Data: SHA1,Generic Data: SHA256,Generic Data: encrypt,Generic Data: GUID
false,0.93,16,71.53,97074,4955528,9/13/1960,2017-05-28 08:53:14,1432062270,11:42 AM,Once,a0468b426aff2007db51cd0dfe31fe062ff0eb63,220aa09652cfd9a63623546d015ac4d2e4a63a4c78dac08bf00a5f695f7b80f3,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,967187e4-0eb5-4295-9002-d1fc91e9eae4
true,0.59,44,74.09,12689,4414360,7/28/1986,2014-02-12 22:53:24,1101502943,11:43 AM,Once,b69a35eb23a77c97ba6c7d74b70fcd2881b6a617,38723800104eb6625bdc4255077770e68e60a8d700c774efca902e3d9b195781,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,7c974636-025f-4bde-88f1-9e6c295bde49
false,0.05,4,43.2,82508,9113894,8/29/2010,1972-01-10 12:07:59,-303943145,9:17 PM,Once,9a63579047c2b98df0a3d69ac0cb2bc449291f1b,2c11addaee1df75cd090973aa20547cd3f47d1ecce9c1bd4118290305cb14f5b,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,193c1490-e1e8-4651-93c7-9a6351625a4a
false,0.89,20,45.1,68856,7160973,4/7/1992,1979-06-12 12:52:30,-546565064,2:30 AM,Often,b6ff933a0ff21bb5606e91cf3e6cc51f52ca6e1c,9ceb88c9f4701992a2d5ca03a4bf841031e67df84cd71f7fe66db4912fce4ce0,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,f19b19e6-af63-4d0d-9a34-6d6eaa765575
true,0.75,96,47.16,47754,8670300,12/13/1996,1982-11-07 05:08:39,1272721688,3:58 PM,Monthly,d9cf5ff6e4b40a7393b8f327ce0362b1fb6749d9,78e667cacd04fb9cc944f535faa17de47e1450d42f43456c07ece2ac60891494,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,3bff00b5-58ab-4bf8-ad6b-adc318574456
,,,,,,,,,,,,,,
false,0.06,5,62.94,75357,6194459,6/29/1983,1972-02-24 19:26:17,-174181045,8:51 AM,Never,31b7c4b9cee89ef227b7d35062fb01c789693b6d,34bfe07782aecf6b88795481ab3719cb68c3c709d37a9f159449d621cd292876,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,d5152840-f614-4ed2-8447-c80ef360c1a1
false,0.01,84,56.42,93642,9340311,3/4/2010,1976-11-21 23:09:06,-327847282,9:43 AM,Yearly,686f215b2779c17e113e4a409dbad786c9dd9927,5aa6309e628091165132a5ead8a34e6cc2536ac0bf0a0da2ba01ee603e1c74e7,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,212bd753-c32d-408c-9b07-69baa1cf8db1
false,0.65,1,47.88,76363,3263379,9/26/2018,2008-03-15 13:48:47,-602368332,12:54 AM,Daily,641f8da740ae86fac7286175d74f5b65fb94ed14,278d5c205a3e6a65a33cd8d2087e0a1bd7d84d3a4cac427a0424388af9801959,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,2899131a-02d6-447c-852e-dcf22a781311
true,0.19,83,96.5,88829,9231178,6/18/1981,1955-04-02 12:06:54,1032694959,3:58 AM,Yearly,08d4c0dc03d795d310600cc3df9950482abfd5b9,f26267e1d05724398f26137278215aeb11a8ae69063f556a1b8e6619d23c9603,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,360f2dad-1c39-44a8-aad8-5f82db29001f
