Company: Company Name,Company: Company Name (Fake),Company: Industry,Company: Company Number,Company: Stock Name,Company: Stock Symbol,Company: Stock Sector,Company: IBAN
Oba,"Klein, Hackett and Hayes",Business Services,91-555-6299,Stellar Acquisition III Inc.,STLRU,Finance,VG45 CFSV 6777 0437 5691 3106
Thoughtbridge,"O'Kon, Murphy and Monahan",Broadcasting,96-051-9733,"Gray Television, Inc.",GTN,Consumer Services,KW93 EBSZ TNDD EC7H FUYD GFK0 8CIO NC
Skiba,"Monahan, Donnelly and Keeling",Auto Parts:O.E.M.,90-951-6504,"Standard Motor Products, Inc.",SMP,Capital Goods,NO56 3460 0732 165
Skyvu,Morar-Dietrich,n/a,67-687-1514,"Templeton Global Income Fund, Inc.",GIM,n/a,IS35 0409 0672 8499 5372 2371 64
Linkbuzz,"Sipes, Cronin and Konopelski",n/a,12-817-4547,"Blackrock MuniEnhanced Fund, Inc.",MEN,n/a,FR91 2871 5239 03VM VKLS 29W9 M34
Yozio,Heathcote-Hermiston,Military/Government/Technical,34-567-0711,Grana y Montero S.A.A.,GRAM,Basic Industries,MU38 LXQP 6752 3865 7632 0130 643Z EU
Wikizz,"Stamm, Abernathy and Hagenes",Property-Casualty Insurers,37-561-0393,"Baldwin & Lyons, Inc.",BWINA,Finance,FR09 3445 3712 312N SKZN RNYK R82
Minyx,Jacobi-Rutherford,n/a,67-177-2568,Vanguard Russell 2000 Growth ETF,VTWG,n/a,AZ78 RWCC WW9P ACK0 AGSF TQS2 HJ9O
Blogtag,"Runolfsdottir, Moen and Fritsch",Property-Casualty Insurers,89-638-8898,Kemper Corporation,KMPA,Finance,BE39 2250 2808 4208
Meejo,Lebsack-Hauck,Property-Casualty Insurers,99-533-6470,"Ambac Financial Group, Inc.",AMBC,Finance,MU79 AFIX 7097 6309 6786 7435 536Z NZ
Voolith,Stokes LLC,Medical/Dental Instruments,46-850-9981,Stryker Corporation,SYK,Health Care,GB73 TVTK 9264 4509 0016 71
Innojam,Rodriguez-Bednar,Specialty Chemicals,70-254-8346,"China Jo-Jo Drugstores, Inc.",CJJD,Consumer Durables,DO48 ZPJD 6636 8735 6570 0895 4999
Jabbersphere,Langworth and Sons,Medical/Dental Instruments,28-657-0259,"Surmodics, Inc.",SRDX,Health Care,LU46 217V Q9RN 1YHJ IFLD
Brightbean,Flatley-Nicolas,Life Insurance,66-020-6975,Atlantic American Corporation,AAME,Finance,VG33 DGYR 2551 1962 0808 8269
Roodel,"Altenwerth, Zemlak and Lynch",Semiconductors,15-289-4261,"FormFactor, Inc.",FORM,Technology,BE39 5928 0672 8366
Bluejam,Heaney-Berge,n/a,83-421-0517,"Banco Santander, S.A.",SAN^C,n/a,FR51 6716 2872 44UG AKCE GDCD T70
Twinte,"Marks, Spinka and Bartoletti",Major Banks,56-783-4992,Hancock Holding Company,HBHCL,Finance,IE93 UIUS 4682 0881 5501 01
Kazio,Kessler-Hyatt,Military/Government/Technical,72-363-8503,"LMI Aerospace, Inc.",LMIA,Capital Goods,FR30 7734 0155 23GF HKMI JYX0 511
Voolia,"Wilderman, Stoltenberg and Sipes",n/a,70-299-6793,Ivy NextShares,IVFVC,n/a,CR70 6880 8959 0018 9081 5
Trunyx,Osinski LLC,Real Estate Investment Trusts,15-109-0425,Equity Commonwealth,EQCO,Consumer Services,LU82 510G RVWN 97KA L8PM
Roodel,Zulauf Inc,Major Banks,24-778-0892,Marlin Business Services Corp.,MRLN,Finance,ME36 0919 7509 7100 0347 59
Edgetag,Brekke-Witting,n/a,30-097-5436,"MVC Capital, Inc.",MVC,n/a,NL36 HKKG 3711 9883 58
Skiptube,Ondricka LLC,Food Distributors,64-591-1629,US Foods Holding Corp.,USFD,Consumer Non-Durables,BA51 6517 0887 9372 9045
Yakijo,Bahringer-Toy,Business Services,25-440-8247,Vantage Energy Acquisition Corp.,VEACU,Finance,BG58 XEZE 3660 80JJ OQ3J H4
Jaxworks,Gottlieb-Casper,Marine Transportation,13-266-5168,Marine Products Corporation,MPX,Capital Goods,IL44 0840 7738 2305 5458 843
