Telemetry: ip_addressv4,Telemetry: ip_addressv4CIDR,Telemetry: ip_addressv6,Telemetry: ip_addressv6CIDR,Telemetry: mac
147.208.9.233,147.25.185.164/19,ac32:a5a:12be:e0bf:e152:bc19:980f:13dc,7d77:1150:dd1a:b1cc:834b:bf59:9016:81b4/37,19-AC-33-5B-96-5A
112.121.25.184,120.244.186.105/30,c1b6:eb25:5f49:8fcf:fa72:25aa:3f05:c4c6,7731:828e:f407:d25e:8416:6354:392f:f098/30,3F-E9-0A-9A-3F-D8
80.104.156.33,67.97.207.103/8,e85f:a782:77b5:3311:9f55:dca2:a56b:3b20,7249:6509:fc5c:db17:8cde:420a:a9ab:e272/70,E4-25-73-7C-80-B6
197.67.72.9,190.19.105.160/20,f8e1:2842:6ed7:f6b8:3567:a300:ad76:a8f6,f505:8b8c:efad:c4c:2a59:897b:908e:795c/63,43-EC-9A-DE-A0-19
43.69.19.5,2.81.123.73/3,e32:697a:a590:535f:1fe4:9da4:ea4e:e338,ca1f:3ea5:4122:90a4:9d79:eb17:1643:7a4d/31,EC-BF-B9-78-E7-10
141.241.60.180,156.56.78.33/31,22a3:503f:ecf1:5c8a:156:4ab3:f638:a887,4836:a6ab:5bcb:5a9e:865:2ab6:d447:83be/9,5A-F7-31-DA-7F-96
221.23.113.220,31.33.213.192/21,91e:f8cd:8295:4c2b:aa11:228c:1cfb:6d43,ac47:5517:77f2:6c52:c3e4:2070:ece2:22f8/36,B8-37-E9-81-66-14
68.20.147.146,46.40.43.62/22,cd6d:28b0:d63e:4dcf:4a2a:488e:a67f:ae8b,5a3c:8e1b:a53e:dacf:26f0:dc71:8577:b640/101,44-D1-0D-0F-FD-7C
159.22.158.83,204.151.235.37/30,a9d1:4f5a:424e:23c9:56bd:d65b:e486:1664,1343:a6bb:ab89:a45b:cadd:11af:f269:8e78/4,0A-94-78-00-4C-47
1.145.217.97,246.124.226.114/15,6a6c:545f:4ec8:bf51:ea3a:20b3:d036:28a4,db2c:8254:f502:c887:8fa7:a399:6b8a:cf25/3,28-80-E0-5A-98-92
59.187.209.91,38.195.168.41/17,4919:ee4e:3edc:dda8:3806:3cdd:c8d:6592,51c0:d2ad:ac4b:504f:1f7f:eab8:4788:7303/36,44-D9-BB-9D-EA-0C
42.67.24.139,169.95.27.107/14,e4f7:401d:c58d:8dfd:9266:3425:d2a7:b026,d4e1:b2a2:1d36:f5a9:a78c:2a80:2900:1f18/1,1F-C5-2A-22-97-A4
140.71.206.238,10.73.230.181/18,6dd3:8d22:351f:7707:e9aa:a819:9761:ceac,8f59:1b2f:ad88:310e:d704:5e65:9928:f1a2/109,67-FA-F5-CB-EF-94
207.252.35.58,203.51.29.161/25,ffda:6bcb:ae01:e9:d131:537f:4193:9dd9,8589:5636:897:8e00:80e1:8a88:860c:5260/56,82-9F-B4-A1-B3-32
251.96.162.91,221.18.90.98/19,722:11e:bd9d:4d30:7d0c:7544:c2e5:52ca,b8b9:f27:2a8:be9d:4589:eb5b:e2af:8428/49,EA-D0-EA-98-94-58
69.195.245.176,220.183.139.190/27,f808:8e52:8921:80a5:9041:c068:8685:e8bb,ce7c:9007:2e2f:45ef:56a2:2e65:3ec0:17bd/39,FA-16-E8-80-50-85
116.143.73.132,94.184.227.143/4,b0e2:c39e:5147:6b80:53d8:a683:4b5:be2c,b2:a3e:7271:5ffc:2df:86f9:809f:a403/120,7B-0A-A1-E3-CB-48
193.173.109.2,44.38.6.50/30,2a76:50e9:7adc:ca3f:bf32:6bff:a08d:426c,9cd7:2559:91fc:7a10:71f9:1781:a6e5:43c/56,22-9C-AB-E9-81-47
243.15.47.38,84.78.122.64/18,305a:4904:55b4:194a:3a3f:5dd8:d0c2:9cee,a74f:e2f1:aa6f:cd4e:6b17:a48e:2097:3fb/21,22-A2-FF-EF-EF-84
121.47.26.248,204.21.141.146/4,f58b:956d:8ca8:c42d:f311:41bc:cf7a:960a,9fe4:8d3e:bef1:c693:79f4:6234:34b1:ccce/1,70-C0-5C-79-AC-0D
