Principal Balance,UPB,Loan ID,Origination Channel,MARP Status,Origination Date,Last Payment Amount,Origination Country,Loan Purpose,Prod Type,Amort Type,Org Mat Date,Cur Mat Date,Currency,Org Amount,Accrued Interest Balance (On book),Original Rate Type,Rate Description,Original Interest Rate Reference,Current Rate Type,Current Rate Ref,Early Redemption Penalty,Last Payment Date,Next Principal Scheduled Repayment Date,Early Redemption Penalty,Loan Status,Days in Past-Due
190000,191000,ZLP27283,Web,ARA,2/16/2013,555.5555556,Ireland,Mortage,Loan,Linear,2/8/2045,2/13/2045,EUR,132714.2857,1000,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
135000,135375,ZLP27284,Broker,ARA,2/17/2013,416.6666667,Ireland,Mortage,Loan,Linear,2/9/2045,2/14/2045,EUR,129428.5714,375,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
98000,98270,ZLP27285,Branch,Exited MARP,2/18/2013,277.7777778,Ireland,Mortage,Loan,Linear,2/10/2045,2/15/2045,EUR,126142.8571,270,variable,,LIBOR,fixed,LIBOR,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
80750,81241.3,ZLP27286,Branch,Not in MARP,2/19/2013,236.1111111,Ireland,Mortage,Loan,Linear,2/11/2045,2/16/2045,EUR,122857.1429,491.3,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
190000,191000,ZLP27287,Web,ARA,2/20/2013,555.5555556,Ireland,Mortage,Loan,Linear,2/12/2045,2/17/2045,EUR,119571.4286,1000,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
150030,150055.5,ZLP27288,Broker,ARA,2/21/2013,0,Ireland,Mortage,Loan,Linear,2/13/2045,2/18/2045,EUR,116285.7143,25.5,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,360
129200,129880,ZLP27289,Branch,ARA,2/22/2013,377.7777778,Ireland,Mortage,Loan,Linear,2/14/2045,2/13/2051,EUR,132714.2857,680,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
119442.8571,120106.4286,ZLP27290,Web,Not in MARP,2/23/2013,368.6507937,Ireland,Mortage,Loan,Linear,2/15/2045,2/14/2050,EUR,129428.5714,663.5714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
126840,127163.5714,ZLP27291,Broker,Not in MARP,2/24/2013,359.5238095,Ireland,Mortage,Loan,Linear,2/16/2045,2/15/2050,EUR,126142.8571,323.5714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
119835.7143,120176.3,ZLP27292,Branch,Not in MARP,2/25/2013,350.3968254,Ireland,Mortage,Loan,Linear,2/17/2045,2/16/2050,EUR,122857.1429,340.5857143,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
