LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-118.8727374,55.1265419,710078,RGE RD  64,,,,,,,e38aa34b7c5a4945
-118.8101637,55.3154874,61045,HWY  672,,,,,,,928674fb2c621be4
-118.3601969,55.2166744,721010,RGE RD  32,,,,,,,e5982bfbc600699e
-118.3064932,55.1845794,714081,RGE RD  30,,,,,,,4418a7e119ddad38
-118.8666815,55.0722859,703022,RGE RD  64,,,,,,,b8b0ecf8c8e0b3f5
-118.7842264,55.2422203,8301,ST 98,,,,,,,f945ff562c994ee5
-118.7944627,55.2612723,9921,AVE 104,,,,,,,ddea4d6e177cb531
-118.8028249,55.2171558,14945,ST 102A,,,,,,,949a6637d4b88b80
-118.6268042,55.4303803,6 50027,TWP RD  744,,,,,,,d2ae2a4cf4b60908
-119.6869632,55.3745343,115064,TWP RD  740,,,,,,,e2b029595e0d62c1
-118.8729505,55.0768243,39 64009,TWP RD  704,,,,,,,185030b82de69bcd
-118.8451179,55.2573558,723079,RGE RD  63,,,,,,,251505f69fe48781
-118.8512626,55.1046992,705035,RGE RD  63A,,,,,,,2396f36dcdb1615b
-118.7267828,55.132362,5705,LANE POPLAR,,,,,,,ecf649f48f496cb9
-118.6390738,55.3131541,731067,RGE RD  51,,,,,,,33dc3388b839f04f
-118.8868352,55.2877473,64048,TWP RD  730,,,,,,,7b7d80164a9e38c4
-119.6191613,55.1574856,713010,RGE RD  113,,,,,,,d5f7cc4db9803c40
-119.4866668,55.2062657,720033,RGE RD  104,,,,,,,de7133cdcc65ee6c
-118.802816,55.243996,10226,AVE 84,,,,,,,ec3f9b95ece587ce
-119.2542389,55.1643801,713045,RGE RD  91,,,,,,,df3753e8d53506ed
-118.7863698,55.2722673,9532,AVE 113,,,,,,,388afd9d8e02dca0
-118.77865,55.2257798,15801,ST 95,,,,,,,f82c79e79760fa8a
-118.9681078,55.0913688,72004,TWP RD  704A,,,,,,,0b2e2b0d1e889a9e
-118.8030364,55.2148373,14809,ST 102A,,,,,,,2b130dd8c9d7c6fc
-118.7104134,55.3890783,741001,RGE RD  54,,,,,,,66c1fae6beaf077f
-119.3327106,55.2985465,730063,RGE RD  94,,,,,,,b7e385959ef76269
-118.4863958,55.1592303,2 713021,RGE RD  41,,,,,,,dc264e92b10a1233
-118.6142907,55.3568,734065,RGE RD  50,,,,,,,014a8d8249df5fb5
-118.7293136,55.1402594,6602,ST 79,,,,,,,d7288674b4c6a260
-119.2805638,55.1935439,715049,RGE RD  92,,,,,,,60022e6ed76a56a0
-119.0825395,55.1720149,714004,RGE RD  80,,,,,,,1be5ae6c045dc300
-118.7514879,55.1237644,45 710082,RGE RD  55,,,,,,,95c3b0cf8ca9fd45
-118.8247539,55.1203117,21 710072,HWY  40,,,,,,,842aaa7e41535960
-118.7189657,55.3375213,733040,RGE RD  54,,,,,,,c430f1161d0d8ac4
-118.662799,55.4328048,51068,TWP RD  744,,,,,,,0009685653d6f9de
-118.6223471,55.3455044,50022,TWP RD  734,,,,,,,2aab06a8bf1fb517
-118.9752516,55.0912307,1 72030,TWP RD  704A,,,,,,,01b1a517ad8a029c
-118.8850982,55.1591232,651,CLOSE CARLEY,,,,,,,5c5b12a3844e85a6
-118.6436008,55.3521496,734040,RGE RD  51,,,,,,,da8cca40bce8866d
-119.4765773,55.1046299,705040,RGE RD  104,,,,,,,c24a998ce018f9df
-118.7744069,55.0920293,6 60031,TWP RD  704A,,,,,,,b5b7640459869a00
-118.6943129,55.1531742,712066,RGE RD  53,,,,,,,a931a41c90ae9e77
-118.9992029,55.3515584,734035,RGE RD  73,,,,,,,b9f9105ec9f35dfa
-119.1531433,55.4602845,745077,RGE RD  83,,,,,,,46e5874f35d10e5e
-119.2331055,55.4328873,90008,TWP RD  744,,,,,,,8486374e33a4bbb7
-118.6200554,55.1421017,47 50001,TWP RD  713,,,,,,,93ad3256e76057c0
-118.7751355,55.1117174,17 60051,HWY  668,,,,,,,594f39255149200d
-118.7192828,55.1829935,11301,ST LEXINGTON,,,,,,,2a806cfd74c44af7
-118.7923108,55.2590134,9904,AVE 101,,,,,,,3fccec4bfa1990f7
-118.7802692,55.2242157,9501,AVE 158,,,,,,,77af7bc89fa5f81c
-118.6514861,55.1692754,73 51037,TWP RD  714,,,,,,,23704cf633b9341e
-119.0141653,55.4337286,73044,TWP RD  744,,,,,,,c24e2ba68179e376
-119.531995,55.0930122,704060,HWY  722,,,,,,,491bcb7291056634
-119.1022593,55.4023654,80079,HWY  59,,,,,,,cb50b8e7fa2c666e
-118.8996434,55.2633322,724034,RGE RD  65,,,,,,,2adfaebc35b76592
-118.876286,55.1441194,64015,TWP RD  712A,,,,,,,d456fbe6bb67a179
-118.7769758,55.2159661,100 14902,ST 94,,,,,,,bdd4498ce69a2469
-118.8018397,55.3083383,45 61027,HWY  672,,,,,,,9c016d3eb74eeb31
-118.7904722,55.2599339,9814,AVE 102,,,,,,,bc1b4e789c4ce7fa
-118.7262491,55.1806537,7825,RD OXFORD,,,,,,,cc12fce5ad9f0532
-118.792934,55.2612718,9909,AVE 104,,,,,,,777121ecb3ef2a28
-119.0022801,55.0827823,73033,TWP RD  704,,,,,,,5995edc77b0b2b52
-119.2476866,55.2008544,90058,TWP RD  720,,,,,,,038633721aff4812
-118.8456348,55.3733296,735077,RGE RD  63,,,,,,,b81c0d80f42fafc0
-119.462443,55.171029,103002,TWP RD  714,,,,,,,cc32da27c37700e5
-118.8323445,55.431238,62035,TWP RD  744,,,,,,,95531773bff1d8e2
-118.7840453,55.2396726,8001,ST 98,,,,,,,44949d16b618a193
-118.3603624,55.2062843,720036,RGE RD  32,,,,,,,abce4940c5a35144
-118.7909328,55.252636,9401,ST 99,,,,,,,90700bcc0eaac09d
-119.0279027,55.1902735,715024,RGE RD  74,,,,,,,85b59c0b9f2cb681
-119.0289848,55.4181343,743004,RGE RD  74,,,,,,,2856851263712e71
-118.7235817,55.1721513,10010,WAY COVINGTON,,,,,,,9e46061a73021123
-119.2957305,55.0851086,704009,RGE RD  93,,,,,,,168d1025c4add94d
-118.8920246,55.1624654,177,LANE SCOTT,,,,,,,48a75c5dd59b023a
-118.7798034,55.2117666,14513,ST 95,,,,,,,702f4d710cbe1045
-118.9397944,55.140828,70057,TWP RD  712,,,,,,,3cdc63aacd74335c
-118.7780581,55.124598,9438,DR WEDGEWOOD S,,,,,,,8388bc921edf3437
-118.8131528,55.2242911,10514,AVE 158,,,,,,,4f1f98771e568fef
-118.7839919,55.2694638,9502,AVE 110,,,,,,,a48e948121f143d9
-118.7697622,55.0921659,1703 60017,TWP RD  704A,,,,,,,6ec7d1ecc6992eff
-118.7200394,55.1786846,7617,LANE PARK,,,,,,,e86e63d77d5df62f
-119.001617,55.1922213,2 715034,RGE RD  73,,,,,,,cee72895e37deed3
-118.7898711,55.093118,704058,RGE RD  61,,,,,,,97dd781056cdd394
-118.3376665,55.2839093,725062,RGE RD  31,,,,,,,2f04b0e645ff6c94
-118.7272366,55.1340236,7942,WAY WILLOW GROVE,,,,,,,9fa9fa9a4deceb79
-118.7419231,55.1141287,710009,RGE RD  55,,,,,,,edc4cf930617ae55
-118.8873776,55.1631028,338,LANE SCOTT,,,,,,,78b63ad3d0e9ff12
-119.4408221,55.2261645,721064,RGE RD  102,,,,,,,007daae8c6594483
-118.8154416,55.1058548,705048,RGE RD  62,,,,,,,638f8097be96bddf
-118.4067636,55.4204916,743015,RGE RD  34,,,,,,,11f8a2bf1fe9f326
-119.3512574,55.2116369,53 720075,RGE RD  95,,,,,,,01851fbc2ada16b1
-118.6523881,55.1438824,10B 51034,TWP RD  712,,,,,,,6b9730172aaa96c6
-119.6137677,55.1787338,714047,RGE RD  113,,,,,,,4b89d2ea1047e995
-118.78666,55.2613405,9703,AVE 104,,,,,,,65043cd14ac05843
-119.3837313,55.2439071,723001,HWY  723,,,,,,,ecf2ea4bb92f2ddd
-118.6835142,55.2281949,7 721071,RGE RD  53,,,,,,,5193b90c8cde7185
-119.1086064,55.1992405,81021,TWP RD  720,,,,,,,b4e7d887820f22ce
-119.501997,55.0778619,704002,RGE RD  105,,,,,,,9c251be2f96927da
-118.8053641,55.2186455,15210,ST 103,,,,,,,7b11d56d61d27ad6
-118.7155911,55.2806092,725043,RGE RD  54,,,,,,,262d62b946074969
-118.4091183,55.4027039,33077,TWP RD  742,,,,,,,803eb00987602849
-118.8110563,55.2187892,10421,AVE 154,,,,,,,055ee764829c411e
-118.7930328,55.3217797,9 732019,RGE RD  61,,,,,,,31c6ed43134b5e69
-118.5062503,55.3731442,41061,HWY  674,,,,,,,41adfd9f6c743996
-118.8350714,55.1000391,2102,ST 112,,,,,,,ec9b99b4e293f37d
-118.7170865,55.437738,3 744033,RGE RD  54,,,,,,,289329588ed0d40d
-118.6965738,55.4600085,53011,TWP RD  750,,,,,,,5298786155e4b21c
-119.3826757,55.3878944,740079,HWY  723,,,,,,,e0391d7cb417ea19
-118.7796023,55.2371054,9501,AVE 78,,,,,,,2fd5bc65a88eb603
-118.7864212,55.2608849,9702,AVE 103,,,,,,,acb5e3659134587a
-118.8098404,55.2173229,15106,ST 104A,,,,,,,bd3479ff2994867f
-118.6168168,55.2584452,50004,TWP RD  724,,,,,,,4828e10dd2d7a313
-118.7366504,55.1316956,8126,TRAIL TAMARACK,,,,,,,ac664b8583f87caf
-118.8661989,55.0820315,5 64009,TWP RD  704,,,,,,,c77194a629ad3d1f
-119.0378311,55.1380155,14 74041,TWP RD  712,,,,,,,753681afe1675a84
-119.3924377,55.2309422,100024,TWP RD  722,,,,,,,099e1c2cd299e59a
-118.7173927,55.1314649,711025,RGE RD  54,,,,,,,c05d496bf6201aef
-118.7274922,55.181138,7849,RD OXFORD,,,,,,,34df9de23df4e64d
-119.4984913,55.2881797,104042,TWP RD  730,,,,,,,62be2034fc19387d
-119.6142178,55.3184246,732005,RGE RD  113,,,,,,,9dfc9add79b3e58a
-118.6936198,55.4526183,745036,RGE RD  53,,,,,,,5e40cc1a5eec9d87
-118.8199807,55.223189,15720,ST 107A,,,,,,,cf0129037f509eef
-119.6225425,55.4039838,113022,HWY  59,,,,,,,d943c392b90f236f
-118.7886557,55.2635431,10601,ST 98A,,,,,,,90f0eb2d93fba8ac
-119.7279539,54.9886794,693041,RGE RD  122,,,,,,,575df2a98d0c9871
-119.6139653,55.3386697,733043,RGE RD  113,,,,,,,f1878f98826235a3
-118.6566735,55.2342805,58 722040,RGE RD  51,,,,,,,44cd00fdce874351
-119.5039531,55.255226,6 104051,HWY  671,,,,,,,9cfbd0fd4a88b300
