LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
152.9448258,-26.6926159,5,Ridge Vista Ct,,PALMWOODS,,,4555,,99b34d82944a316e
152.9231645,-26.7295569,411,Highlands Rd,,EUDLO,,,4554,,63e9a0b1c58583a1
153.093866,-26.5451618,36,Donegal Dr,,YAROOMBA,,,4573,,ef21fd2a283aa45b
153.0845262,-26.5411927,15,Lorien Ave,,COOLUM BEACH,,,4573,,e47cf76097bd9d11
153.1108214,-26.8354523,22,Harbourlights Way,,PELICAN WATERS,,,4551,,032f6f164718dd00
153.0843288,-26.5411078,13,Lorien Ave,,COOLUM BEACH,,,4573,,e5af47f2163095e1
152.9536071,-26.8521485,6,Mellumview Dr,,BEERWAH,,,4519,,108617d9baa3c469
153.0848977,-26.5414081,19,Lorien Ave,,COOLUM BEACH,,,4573,,b870663e6c1f4f81
152.9436438,-26.4698312,186,Memorial Dr,,EUMUNDI,,,4562,,d5c51cddc8a8754b
152.9530074,-26.8519847,3,Mellumview Dr,,BEERWAH,,,4519,,d1e2ca4377c6ee28
153.1206128,-26.8175891,,Esplanade,,GOLDEN BEACH,,,4551,,10c617c1e2f554ea
153.1263645,-26.782991,,Beerburrum St,,BATTERY HILL,,,4551,,bbdeefc16aa45147
153.1316204,-26.8055614,,Leeding Tce,,CALOUNDRA,,,4551,,4afbaefbce37b9a1
153.0604165,-26.7215461,,Scholars Dr,,SIPPY DOWNS,,,4556,,24ce58ba0d669afd
153.0646703,-26.6824443,83,Mill Rd,,BUDERIM,,,4556,,da2cc7d2a1340202
152.9369202,-26.6222391,27,Norman Ave,,NAMBOUR,,,4560,,66ce1e0149c2053f
153.1212754,-26.7487752,4,Tomkins Esp,,BIRTINYA,,,4575,,7f3da65421d452d7
152.9382607,-26.621923,18,Norman Ave,,NAMBOUR,,,4560,,c68b071b68993248
152.943852,-26.8773801,97,Pikes Rd,,GLASS HOUSE MOUNTAINS,,,4518,,e943a193dc3aec34
153.127736,-26.7743293,4,Culla Culla St,,BATTERY HILL,,,4551,,33bcd1eafcf5f355
152.8915112,-26.8450096,3,Taroona Ct,,PEACHESTER,,,4519,,8798c6a7627829ef
153.0704664,-26.6915664,37,Lauren Dr,,BUDERIM,,,4556,,9023ddf0f99caf74
153.1310655,-26.7863724,,Lyon St,,DICKY BEACH,,,4551,,1aecc9d418d7b03e
153.1341143,-26.8021287,,Bingera Tce,,CALOUNDRA,,,4551,,d8b1f2b2d4c0ba2b
153.090288,-26.7827932,43,Bellevue Dr,,LITTLE MOUNTAIN,,,4551,,a25ab33de3e7c54f
153.118829,-26.7704087,5,Tibouchina Pl,,CURRIMUNDI,,,4551,,0415b919ad69480c
153.0840796,-26.800528,34,Crater St,,CALOUNDRA WEST,,,4551,,4f2588a3b722b42e
153.1205654,-26.817862,58,Esplanade,,GOLDEN BEACH,,,4551,,af4cd8c0edee08d4
153.1202337,-26.822539,,Landsborough Pde,,GOLDEN BEACH,,,4551,,faf52131b20840ed
152.9520302,-26.7513794,207,Neill Rd,,MOOLOOLAH VALLEY,,,4553,,f7cdb3c71f255b39
153.1284572,-26.7409526,394,Nicklin Way,,BOKARINA,,,4575,,80f13eca9838d65a
153.1270068,-26.7501845,1,Bosun Pl,,WURTULLA,,,4575,,e8db03e1af5c96de
152.9509739,-26.8671261,35,Lapwing Cct,,BEERWAH,,,4519,,fed523d46edf75f9
153.09771,-26.7072974,17,Honeymyrtle Ct,,MOUNTAIN CREEK,,,4557,,ae1b5b244740dc0a
152.971308,-26.6024342,15,Hibiscus St,,PARKLANDS,,,4560,,5eb8f4853d166999
153.0803157,-26.6578644,2,Waterbird St,,MAROOCHYDORE,,,4558,,1682ae5b60cdb167
153.0888201,-26.5689863,,Suncoast Beach Dr,,MOUNT COOLUM,,,4573,,11df35a4f7dd929f
153.0805793,-26.6582556,8,Dulin St,,MAROOCHYDORE,,,4558,,71603fc12e845e4a
153.0120004,-26.6626009,69,Malones Rd,,KIELS MOUNTAIN,,,4559,,57cf720a563e4d1e
153.0748729,-26.6558337,9,Ellendale St,,MAROOCHYDORE,,,4558,,7cfb981bec68b393
153.0979533,-26.7073763,21,Honeymyrtle Ct,,MOUNTAIN CREEK,,,4557,,42c2b6003f0d7de4
152.8849881,-26.7801818,49,Mary Cairncross Ave,,MALENY,,,4552,,a2ff4d539c21c417
