State,State Code,Region,Division
Alaska,AK,West,Pacific
Alabama,AL,South,East South Central
Arkansas,AR,South,West South Central
Arizona,AZ,West,Mountain
California,CA,West,Pacific
Colorado,CO,West,Mountain
Connecticut,CT,North East,New England
District of Columbia,DC,South,South Atlantic
Delaware,DE,South,South Atlantic
Florida,FL,South,South Atlantic
Georgia,GA,South,South Atlantic
Hawaii,HI,West,Pacific
Iowa,IA,Midwest,West North Central
Idaho,ID,West,Mountain
Illinois,IL,Midwest,East North Central
Indiana,IN,Midwest,East North Central
Kansas,KS,Midwest,West North Central
Kentucky,KY,South,East South Central
Louisiana,LA,South,West South Central
Massachusetts,MA,North East,New England
Maryland,MD,South,South Atlantic
Maine,ME,North East,New England
Michigan,MI,Midwest,East North Central
Minnesota,MN,Midwest,West North Central
Missouri,MO,Midwest,West North Central
Mississippi,MS,South,East South Central
Montana,MT,West,Mountain
North Carolina,NC,South,South Atlantic
North Dakota,ND,Midwest,West North Central
Nebraska,NE,Midwest,West North Central
New Hampshire,NH,North East,New England
New Jersey,NJ,North East,Middle Atlantic
New Mexico,NM,West,Mountain
Nevada,NV,West,Mountain
New York,NY,North East,Middle Atlantic
Ohio,OH,Midwest,East North Central
Oklahoma,OK,South,West South Central
Oregon,OR,West,Pacific
Pennsylvania,PA,North East,Middle Atlantic
Rhode Island,RI,North East,New England
South Carolina,SC,South,South Atlantic
South Dakota,SD,Midwest,West North Central
Tennessee,TN,South,East South Central
Texas,TX,South,West South Central
Utah,UT,West,Mountain
Virginia,VA,South,South Atlantic
Vermont,VT,North East,New England
Washington,WA,West,Pacific
Wisconsin,WI,Midwest,East North Central
West Virginia,WV,South,South Atlantic
Wyoming,WY,West,Mountain
