COMPANY NAME,INDUSTRY,ADDRESS,CITY,STATE,ZIP,P,WEBSITE URL,CEO,CONTACT TITLE,EMPLOYEES,SALES,SALES RANGE,SIC CODE,SIC DESCRIPTION,NAICS CODE,LATITUDE,LONGITUDE
"Agilent Technologies, Inc. Common Stock",Professional Services,1140 Scenic Drive # 100,Modesto,CA,95350,214-808-1234,athertoncpas.com,Francoise Rautenstrauch,,22,3806000,,8721,"Accounting, Auditing, and Bookkeeping Services",541211,37.648247,120.97759
Alcoa Inc. Common Stock,Warehousing & Storage,1845 South 4th St,Dallas,TX,75025,214-808-1235,elcentrointerstate.com,Kendra Loud,Owner,,,"$100,000 - $500,000",4225,General Warehousing and Storage,531130,32.77682,115.55223
Alcoa Inc. $3.75 Preferred Stock,Legal,688 North Arrowhead Avenue,Norman,OK,73076,214-808-1236,robertgrantlaw.com,Lourdes Bauswell,Owner,,,"$100,000 - $500,000",8111,Legal Services,541110,34.11173,117.2897
Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1,Other Business Services,1401 E. Juana,Le Mars,IA,51031,918-354-8895,ghaspwaterdamagerestoration.com/mold-testing/ca/mold-inspection-in-san-leandro-ca/,Hannah Edmison,,,,Unknown,,"Business Services, NEC",,37.72969,122.13375
"AAC Holdings, Inc. Common Stock",Legal,427 Yale Avenue,Sioux Falls,SD,65140,918-354-8896,paulbrisson.com,Tom Loeza,,,,Unknown,,Legal Services,,34.09795,117.71788
WCM BNY Mellon Focused Growth ADR ETF,Professional Services,2834 North Naomi St,Burbank,CA,91504,918-354-8897,aetlab.com,Queenie Kramarczyk,Executive Director,35,5005000,,8734,Testing Laboratories,541380,34.20341,118.33993
Altisource Asset Management Corp Com,Professional Services,31977 Hilltop Boulevard # D,Kansas City ,MO,65214,214-808-1240,brsltd.org,Hui Portaro,CEO,,,Unknown,8734,Testing Laboratories,541380,34.2055,117.10594
"Aaron's, Inc. Common Stock",Advertising & Marketing,2830 F St,Eureka,CA,95501,214-808-1241,coxrasmussen.com,Josefa Opitz,Owner,5,1045000,,7311,Advertising Agencies,541810,40.7823,124.16364
Advance Auto Parts Inc Advance Auto Parts Inc W/I,Professional Services,5303 Betsy Ross Drive,Manhattan,NY,81100,214-808-1242,promo-line.com,Lea Steinhaus,Owner,50,10500000,,8743,Public Relations Services,237130,37.407364,121.981933
"American Assets Trust, Inc. Common Stock",Insurance,655 University Avenue,Modesto,CA,95350,214-808-1243,perryfn.com,Paola Vielma,President,10,1960000,,6411,"Insurance Agents, Brokers, and Service",524210,38.567118,121.419366
