TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom,Census 2010 Tracts,Neighborhoods,Zip Codes,Counties
363277,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,141MFE,2011,HONDA,CRV,BROWN,,04172019,1456,,,,,
363393,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2003,KIA,OPTIMA,BLACK,,04202019,2048,,,,,
363392,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,CO61063,2006,DODGE,RAM 1500,BLUE,,04202019,2048,,,,,
363943,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AR92476,2011,HONDA,ACCORD,WHITE,,05052019,0902,,,,,
363908,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,NJ,N12KDW,2007,NISSAN,MAXIMA,SILVER,,05042019,1546,,,,,
363909,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AA87224,2014,TOYOTA,SIENNA,GRAY,,05042019,1546,,,,,
363747,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AM78280,2011,NISSAN,MAXIMA,BLACK,,04302019,1404,,,,,
363615,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AE69723,2003,HONDA,PILOT,GRAY,,04262019,1323,,,,,
363873,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,7AHVH4,2003,HONDA,ACCORD,GOLD,,05032019,1440,,,,,
363481,,,860-296-2826,,,1995,BMW,740,WHITE,,04232019,1538,"(41.7566368683756, -72.7061758590837)",36,8,15052,1041
364245,,,860-246-7616,,,2002,LEXUS,300,BLACK,,05142019,1856,"(41.7566418389583, -72.6821882164613)",8,6,15052,1041
364297,,,860-246-7616,,,2004,CHEVY,TRAILBLAZE,BLACK,,05152019,2148,"(41.7924283075236, -72.6762819536087)",4,16,18498,1041
363512,,,860-296-8588,CT,AT86725,2005,NISSAN,ALTIMA,WHITE,,04242019,0841,"(41.7483656084438, -72.7150006992644)",36,8,15052,1041
364146,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AP63617,1998,HONDA,ACCORD,SILVER,,05112019,1541,,,,,
363925,,,860-296-2826,MD,3AG4794,2011,HONDA,ACCORD,SILVER,,05052019,0018,"(41.765864655394, -72.7076804635541)",35,14,15051,1041
364236,,,860-296-1518,CT,AH86022,2013,KIA,RIO,WHITE,,05142019,1238,"(41.7414915553552, -72.6785860409895)",21,2,18494,1041
364322,,,860-949-4444,CT,837ZPX,2011,BMW,550,BLUE,,05162019,1026,"(41.7582036026925, -72.6817162219209)",19,6,15052,1041
363679,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AT53796,2002,AUDI,A4,BLUE,,04282019,1533,"(41.7790635078942, -72.6887630592833)",15,13,18493,1041
