ACCOUNT NAME,ACTIVE,VEHICLE INFORMATION COMPLETE,BIC NUMBER,BIC PLATE NUMBER,DMV PLATE NUMBER,VEHICLE VIN,VEHICLE BODY TYPE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE YEAR,VEHICLE ENGINE MAKE,VEHICLE ENGINE HORSEPOWER,VEHICLE FUEL TYPE,VEHICLE GROSS VEHICLE WEIGHT,VEHICLE GROSS VEHICLE WEIGHT RATING (GVWR),VEHICLE HAS SIDE GUARD,VEHICLE OWNERSHIP TYPE,VEHICLE ANNUAL MILES TRAVELED IN LAST YEAR,EXPORT DATE
# 1 WASTE & RECYCLER INC.,true,true,BIC-476276,L11177,13837MK,1M2AU04C78M001336,Dump Truck,Mack,leu613,2008,MACK,345,Diesel,"33,001 lbs. or greater","Class 8 (33,001 lbs. or greater)",No,Owned,,
# 1 WASTE & RECYCLER INC.,true,false,BIC-476276,L11926,32196MM,1M2AU04C38M001074,Dump Truck,Mack,,2008,,,Diesel,"33,001 lbs. or greater",,,,,12/13/2018
# 1 WASTE & RECYCLER INC.,true,true,BIC-476276,L11140,88327MG,1M2AU04C18M001302,Dump Truck,Mack,leu613,2008,MACK,345,Diesel,"33,001 lbs. or greater","Class 8 (33,001 lbs. or greater)",No,Owned,,
# 1 WASTE & RECYCLER INC.,true,true,BIC-476276,L11211,72113ME,1M2AU04C28M001101,Dump Truck,Mack,leu613,2008,MACK,345,Diesel,"33,001 lbs. or greater","Class 8 (33,001 lbs. or greater)",No,Owned,,
# 1 WASTE & RECYCLER INC.,true,true,BIC-476276,L11028,42017MK,1M2AU04CX8M001217,Dump Truck,Mack,Leu613,2008,MACK,345,Diesel,"33,001 lbs. or greater","Class 8 (33,001 lbs. or greater)",No,Owned,,
"116 ROSEVIEW APTS., INC.",true,true,BIC-489972,R05995,91459MD,JALE5J14647901111,Box Truck,Isuzu,DUMP,2004,ISUZU,175,Diesel,"19,501 - 26,000 lbs.","Class 5: (16,001- 19,500 lbs.)",No,Owned,,
"1ST CLASS CONTRACTING OF N.Y., CORP.",true,true,BIC-490304,R 06458,43967MG,1GDGG31V171903473,Box Truck,GMC,Savanna 3500,2007,GMC,300,Gas,"6,001 - 10,000 lbs.","Class 2: (6,001-10,000 lbs)",No,Owned,,
"1ST CLASS CONTRACTING OF N.Y., CORP.",true,true,BIC-490304,R 06457,38594MJ,1GDY72CA3C1900660,Box Truck,GMC,Savanna 3500,2012,GMC,300,Gas,"6,001 - 10,000 lbs.","Class 2: (6,001-10,000 lbs)",No,Owned,,
"1ST CLASS CONTRACTING OF N.Y., CORP.",true,true,BIC-490304,R06090,17919MH,1FTSS3EL7BDA21415,Van,Ford,E350,2011,FORD,255,Gas,"< 6,000 lbs.","Class 2: (6,001-10,000 lbs)",No,Owned,,
"1ST CLASS CONTRACTING OF N.Y., CORP.",true,true,BIC-490304,R06089,17900MH,1FTSS3EL8CDA30934,Van,Ford,E350,2012,FORD,255,Gas,"6,001 - 10,000 lbs.","Class 2: (6,001-10,000 lbs)",No,Owned,,
"1ST CLASS CONTRACTING OF N.Y., CORP.",true,true,BIC-490304,R06088,80769MH,1HTSCABM5YH217873,Roll-off Truck,International,4700,2000,INTERNATIONAL,195,Diesel,"10,001 - 14,000 lbs.","Class 6: (19,501- 26,000 lbs.)",No,Owned,,
"1ST CLASS CONTRACTING OF N.Y., CORP.",true,true,BIC-490304,R07209,56724MB,1FTNS2EW6EDA24442,Van,Ford,E250,2014,FORD,2,Gas,"6,001 - 10,000 lbs.","Class 2: (6,001-10,000 lbs)",No,Owned,,
"1ST CLASS CONTRACTING OF N.Y., CORP.",true,true,BIC-490304,R 06456,82161MG,1FTNE2EW5ADA68644,Van,Ford,E250,2010,FORD,225,Gas,"6,001 - 10,000 lbs.","Class 2: (6,001-10,000 lbs)",No,Owned,,
24 SEVEN PLUMBING INC.,true,true,BIC-4117,R07447,85411MH,JALE5J162G7900365,Dump Truck,Isuzu,NRR,2016,ISUZU,215,Diesel,"16,001 - 19,500 lbs.","Class 5: (16,001- 19,500 lbs.)",No,Leased,,
