Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Location
Cayuga Regional Digester,7389 County House Road,,Auburn,NY,13021,Cayuga,7,3152827045,CH4 Energy - Generate Capital,Private,Anaerobic digestion - permit,[06PP0007],Yes,374125,4759384,,Manure;Non-recognizable Food Processing Waste,Permit,?,2018-07-17T00:00:00,2026-09-11T00:00:00,"{'human_address': '{""address"":""7389 County House Road"",""city"":""Auburn"",""state"":""NY"",""zip"":""13021""}', 'latitude': '42.975187', 'longitude': '-76.545702', 'needs_recoding': False}"
Patterson Farm Inc,1131 Aurelius-Springport Townline Rd.,,Auburn,NY,13021,Cayuga,7,3157290438,Connie Patterson,Private,Anaerobic digestion - permit,[06Z01],Yes,364061,4750722,3.1 - Sportsman Hand-Held Unit (w/ Selective Availability on),,Permit,?7-0554-00133/00003,2009-04-13T00:00:00,2018-06-02T00:00:00,"{'human_address': '{""address"":""1131 Aurelius-Springport Townline Rd."",""city"":""Auburn"",""state"":""NY"",""zip"":""13021""}', 'latitude': '42.896535', 'longitude': '-76.664663', 'needs_recoding': False}"
Generate Buffalo Digester; LLC,2900 North America Drive,,West Seneca,NY,14224,Erie,9,7169704746,Generate Capital Inc.,Private,Anaerobic digestion - permit,[15Z12],Yes,195329,4750416,4.2 - Utilization of GIS and existing spatial data,,Permit,?9-1468-00224/00001,2018-04-05T00:00:00,2023-04-04T00:00:00,"{'human_address': '{""address"":""2900 North America Drive"",""city"":""West Seneca"",""state"":""NY"",""zip"":""14224""}', 'latitude': '42.845756', 'longitude': '-78.728676', 'needs_recoding': False}"
Generate Niagara Digester; LLC,2175 Liberty Drive,,Wheatfield,NY,14304,Niagara,9,7169704746,Generate Capital Inc.,Private,Anaerobic digestion - permit,[32Z06],Yes,179826,4776644,4.2 - Utilization of GIS and existing spatial data,,Permit,?9-2940-00191/00001,2018-04-05T00:00:00,2023-04-04T00:00:00,"{'human_address': '{""address"":""2175 Liberty Drive"",""city"":""Wheatfield"",""state"":""NY"",""zip"":""14304""}', 'latitude': '43.073728', 'longitude': '-78.932997', 'needs_recoding': False}"
Synergy Biogas Plant,6466 Lemley Road,,Covington,NY,14591,Wyoming,9,5854956995,CH4 Biogas; LLC,Private,Anaerobic digestion - permit,[61Z02],Yes,250375,4746257,4.2 - Utilization of GIS and existing spatial data,,Permit,?9-5628-00019/00001,2014-06-30T00:00:00,2019-10-31T00:00:00,"{'human_address': '{""address"":""6466 Lemley Road"",""city"":""Covington"",""state"":""NY"",""zip"":""14591""}', 'latitude': '42.829062', 'longitude': '-78.049274', 'needs_recoding': False}"
Matt Brewing Company,811 Edwards St.,,Utica,NY,13502,Oneida,6,3156242400,Matt Brewing Co.; Inc,Private,Anaerobic digestion - registration,[33Z04],Yes,0,0,1 - No accuracy stated,,Registration,?,,,"{'human_address': '{""address"":""811 Edwards St."",""city"":""Utica"",""state"":""NY"",""zip"":""13502""}', 'latitude': '43.104504', 'longitude': '-75.244668', 'needs_recoding': False}"
Daniel Finley Allen & Co Inc,114 Sylvester Street,,Westbury,NY,11590,Nassau,1,5163335711,Daniel C. Allen,Private,C&D processing - permit,[30M19],Yes,621400,4513000,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Wood (Pallets & Crates);Asphalt;Brick;Concrete;Wood (Clean);Wood (Unadulterated);Paper / Cardboard;Plastics,Permit,?1-2822-00479/00004,2015-08-12T00:00:00,2019-11-03T00:00:00,"{'human_address': '{""address"":""114 Sylvester Street"",""city"":""Westbury"",""state"":""NY"",""zip"":""11590""}', 'latitude': '40.759072', 'longitude': '-73.561696', 'needs_recoding': False}"
Framitz Inc,3631 Hampton Road,,Oceanside,NY,11572,Nassau,1,5167666696,Framitz Inc/Patriot Recycling LLC,Private,C&D processing - permit,[30W22],Yes,613908,4497674,1 - No accuracy stated,Construction & Demolition Debris;Paper / Cardboard;Commingled Containers;Commingled Paper;Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous);Metals (Non-Ferrous),SAPA,?1-2820-01539/00009,2006-11-02T00:00:00,2009-11-01T00:00:00,"{'human_address': '{""address"":""3631 Hampton Road"",""city"":""Oceanside"",""state"":""NY"",""zip"":""11572""}', 'latitude': '40.622417', 'longitude': '-73.653938', 'needs_recoding': False}"
Liotta Brothers Recycling Corp,4014 Daly Boulevard,,Oceanside,NY,11572,Nassau,1,5168550235,Victor Liotta; Jr.,Private,C&D processing - permit,[30W08],Yes,614027,4497512,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips);Wood (Unadulterated);Asphalt;Brick;Concrete;Soil (Clean);Street Sweepings;Roofing Shingles,None,?1-2820-04489/00001,2014-04-30T00:00:00,2019-04-29T00:00:00,"{'human_address': '{""address"":""4014 Daly Boulevard"",""city"":""Oceanside"",""state"":""NY"",""zip"":""11572""}', 'latitude': '40.620442', 'longitude': '-73.651216', 'needs_recoding': False}"
Omni Recycling of Westbury Inc,7 Portland Avenue,,Westbury,NY,11590,Nassau,1,5163335741,Anthony Core,Private,C&D processing - permit,[30M10],Yes,620156,4512755,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris,Permit,?1-2822-00487/00001,2012-06-13T00:00:00,2017-06-12T00:00:00,"{'human_address': '{""address"":""7 Portland Avenue"",""city"":""Westbury"",""state"":""NY"",""zip"":""11590""}', 'latitude': '40.756489', 'longitude': '-73.577475', 'needs_recoding': False}"
Sanitary District #1,2 Bay  Boulevard,,Lawrence,NY,11559,Nassau,1,5162395600,Sanitary District #1,Municipal,C&D processing - permit,[30T91],Yes,606300,4498200,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris,Permit,?1-2820-01335/00002,2014-08-01T00:00:00,2019-08-01T00:00:00,"{'human_address': '{""address"":""2 Bay Boulevard"",""city"":""Lawrence"",""state"":""NY"",""zip"":""11559""}', 'latitude': '40.628395', 'longitude': '-73.737276', 'needs_recoding': False}"
Stony Creek Services LLC / ERSC Galdon LLC,4001 Daly Blvd,,Oceanside,NY,11572,Nassau,1,5166785454,Mark Carroll,Private,C&D processing - permit,[30M35],Yes,614196,4497437,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Brick;Concrete;Soil (Clean),Permit,?1-2820-01606/00001,2016-01-05T00:00:00,2021-01-04T00:00:00,"{'human_address': '{""address"":""4001 Daly Blvd"",""city"":""Oceanside"",""state"":""NY"",""zip"":""11572""}', 'latitude': '40.620574', 'longitude': '-73.650224', 'needs_recoding': False}"
United Recycling System of LI,3550 Hampton Road,,Oceanside,NY,11572,Nassau,1,5166787865,Joseph Tarulli,Private,C&D processing - permit,[30M48],Yes,613700,4497800,,,None,?1-2820-01732/00005,2014-11-26T00:00:00,2019-11-25T00:00:00,"{'human_address': '{""address"":""3550 Hampton Road"",""city"":""Oceanside"",""state"":""NY"",""zip"":""11572""}', 'latitude': '40.62418', 'longitude': '-73.655235', 'needs_recoding': False}"
Westbury Recycling Inc,117  Magnolia Avenue,,Westbury,NY,11590,Nassau,1,5167439199,Westbury Recycling Inc,Private,C&D processing - permit,[30W34],Yes,620867,4512810,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Paper/Cardboard;Plastics,Permit,?1-2822-01362/00001,2015-11-01T00:00:00,2020-10-31T00:00:00,"{'human_address': '{""address"":""117 Magnolia Avenue"",""city"":""Westbury"",""state"":""NY"",""zip"":""11590""}', 'latitude': '40.757536', 'longitude': '-73.567834', 'needs_recoding': False}"
Winters Bros Hicksville,344 Duffy Avenue,,Hicksville,NY,11801,Nassau,1,5169370900,Winters Bros Hicksville; LLC,Private,C&D processing - permit,[30W55],Yes,622717,4513235,4.3 - Utilization of Digital Orthophoto Quads,,,?1-2824-02976/00001,2014-02-06T00:00:00,2019-02-05T00:00:00,"{'human_address': '{""address"":""344 Duffy Avenue"",""city"":""Hicksville"",""state"":""NY"",""zip"":""11801""}', 'latitude': '40.760758', 'longitude': '-73.546068', 'needs_recoding': False}"
