main_ServiceProvider,main_Device_Manufacturer,main_Device_Model,main_Device_OS,main_Device_DeviceLanguage,main_QOS_QOSDate,main_QOS_SignalStrength,main_QOS_Location_Latitude,main_QOS_Location_Longitude,main_QOS_DeltaTransmittedBytes,main_QOS_DeltaReceivedBytes,main_Country,main_Region,main_City,conn_Generation_Category
Boost Mobile,motorola,XT1031,ANDROID44,en,2017-06-06 18:22:07 UTC,-85,37.98616136,-121.321006,0,0,United States,California,Stockton,3G
Verizon Wireless,motorola,XT1080,ANDROID44,en,2017-06-16 22:58:46 UTC,null,41.5582666,-80.5026862,1624712,38406075,United States,Pennsylvania,null,4G
Verizon Wireless,LGE,LG-VS450PP,ANDROID44,en,2017-05-12 19:34:32 UTC,null,32.16325762,-81.21124252,2615,1564,United States,Georgia,Savannah,3G
,LGE,LGL41C,ANDROID44,en,2017-06-29 19:22:10 UTC,-97,42.09979649,-88.03126719,132,141,United States,Illinois,Rolling Meadows,3G
Verizon Wireless,LGE,VS500PP,ANDROID60,en,2017-05-18 06:10:36 UTC,null,39.9228293,-80.070744,0,0,United States,Pennsylvania,null,4G
null,zte,N9130,ANDROID44,en,2017-06-21 19:08:48 UTC,null,41.2436128,-77.0113522,547,1309,United States,Pennsylvania,Williamsport,UNKNOWN
Virgin Mobile,kyocera,C6725,ANDROID44,en,2017-05-26 20:51:33 UTC,null,42.59470193,-82.79145045,0,0,United States,Michigan,null,3G
null,SHARP,306SH,ANDROID44,en,2017-06-24 06:28:31 UTC,null,26.72384362,-80.10606474,0,0,United States,Florida,West Palm Beach,UNKNOWN
,samsung,SM-S903VL,ANDROID60,en,2017-07-22 15:53:14 UTC,-67,37.1189037,-81.4990686,0,0,United States,Virginia,null,4G
Verizon Wireless,samsung,SCH-I545,ANDROID50,en,2017-05-11 15:31:47 UTC,-82,27.62481769,-82.54185079,0,0,United States,Florida,null,4G
Verizon Wireless,Sony,D6708,ANDROID51,en,2017-06-21 21:32:43 UTC,null,41.5445047,-72.9244584,122347,294465,United States,Connecticut,null,4G
Boost Mobile,kyocera,C6730,ANDROID44,en,2017-07-06 12:40:54 UTC,null,29.7087829,-95.63918031,1906,1367,United States,Texas,null,3G
Sprint,LGE,LG-LS995,ANDROID44,en,2017-05-18 21:14:09 UTC,null,36.04348243,-95.88697563,3317,3780,United States,Oklahoma,Tulsa,3G
Boost Mobile,LGE,LGLS775,ANDROID70,en,2017-07-18 14:52:22 UTC,null,35.0882681,-81.4311604,0,0,United States,South Carolina,null,4G
null,kyocera,C6730,ANDROID44,en,2017-05-28 00:16:35 UTC,null,35.57961506,-97.53190033,0,0,United States,Oklahoma,Oklahoma City,UNKNOWN
Boost Mobile,LGE,LGLS775,ANDROID70,en,2017-06-27 00:01:12 UTC,null,47.03663897,-122.899077,0,0,United States,Washington,Olympia,3G
CLARO,samsung,SM-N910W8,ANDROID44,es,2017-05-13 10:05:38 UTC,-73,18.16531377,-66.19967371,0,0,United States,Puerto Rico,Cidra,3G
Cellcom,motorola,XT1564,ANDROID60,en,2017-07-24 23:35:26 UTC,null,44.51145725,-87.90896043,52,0,United States,Wisconsin,Green Bay,4G
Sprint,HTC,2PZC5,ANDROID71,en,2017-07-30 18:43:06 UTC,-77,39.3409204,-76.6416209,928,870,United States,Maryland,Baltimore,4G
null,Hisense,VH777,ANDROID44,es,2017-05-06 20:55:55 UTC,null,40.64555658,-74.010457,0,0,United States,New York,New York,UNKNOWN
Home,samsung,SM-G900R7,ANDROID44,en,2017-06-23 06:44:53 UTC,-83,30.89361291,-88.5332984,91599,124063,United States,Mississippi,null,4G
Extended Network,samsung,SM-G950U1,ANDROID70,en,2017-07-22 00:13:21 UTC,null,42.8465278,-71.4969647,654,0,United States,New Hampshire,Merrimack,3G
Verizon Wireless,samsung,SCH-I545,ANDROID50,en,2017-07-06 00:40:08 UTC,-58,39.9142845,-74.9706969,0,0,United States,New Jersey,null,4G
null,samsung,SPH-L720T,ANDROID44,en,2017-05-07 01:21:30 UTC,null,38.09607581,-84.47828452,134,0,United States,Kentucky,null,UNKNOWN
Verizon Wireless,motorola,XT1609,ANDROID60,en,2017-06-10 02:30:58 UTC,null,47.7912372,-95.078629,4688,2260,United States,Minnesota,null,4G
Verizon Wireless,LGE,VS415PP,ANDROID44,en,2017-05-11 18:49:53 UTC,null,41.53614772,-88.0875542,0,0,United States,Illinois,Joliet,3G
Boost Mobile,LGE,LGLS775,ANDROID70,en,2017-07-17 00:38:40 UTC,-120,35.0797468,-81.4402688,812,1038,United States,South Carolina,null,4G
Boost Mobile,LGE,LGLS450,ANDROID60,en,2017-07-19 06:11:30 UTC,null,39.0663831,-121.1361512,145499551,280277189,United States,California,null,4G
Virgin Mobile,LGE,LGLS676,ANDROID60,en,2017-06-29 12:24:11 UTC,null,33.130941,-94.1779676,1999,14869,United States,Texas,null,4G
Boost Mobile,LGE,LGLS755,ANDROID60,en,2017-06-25 22:09:33 UTC,null,38.9154762,-94.6396574,4270,32547,United States,Kansas,Leawood,4G
,samsung,SM-S903VL,ANDROID60,en,2017-06-17 20:26:12 UTC,null,41.8457703,-87.7050609,131,79,United States,Illinois,Chicago,4G
null,kyocera,C6725,ANDROID44,en,2017-06-05 00:43:41 UTC,null,44.9168618,-91.3964894,3072,3072,United States,Wisconsin,null,UNKNOWN
cricket,Apple,iPhone 6,IOS103,en,2017-05-15 23:50:11 UTC,null,42.571455,-83.064724,247704,4743583,United States,Michigan,Sterling Heights,UNKNOWN
Sprint,LGE,LG-LS997,ANDROID70,en,2017-06-15 03:34:40 UTC,-81,38.5419284,-90.3631118,2836,2358,United States,Missouri,null,4G
Verizon Wireless,motorola,XT1609,ANDROID60,en,2017-07-14 18:10:41 UTC,null,46.82891597,-95.87957153,14275,57982,United States,Minnesota,null,4G
U.S. Cellular,samsung,SCH-R890,ANDROID44,en,2017-05-07 11:25:59 UTC,null,41.69012188,-91.57660229,0,0,United States,Iowa,Coralville,4G
Boost Mobile,motorola,XT1031,ANDROID44,en,2017-06-06 07:09:06 UTC,-125,42.65514212,-85.52094791,0,0,United States,Michigan,null,3G
Sprint,LGE,LG-LS777,ANDROID70,en,2017-06-10 17:05:38 UTC,-80,38.6672188,-121.3766651,2253167,11143241,United States,California,null,4G
CLARO P.R.,samsung,SM-G935F,ANDROID60,es,2017-06-10 23:34:36 UTC,null,18.4433023,-66.0267285,13764,243831,United States,Puerto Rico,Carolina,4G
U.S. Cellular,motorola,Moto G Play,ANDROID60,en,2017-07-21 14:12:08 UTC,null,43.6010982,-89.787724,454,466,United States,Wisconsin,null,4G
Verizon Wireless,motorola,XT1030,ANDROID44,en,2017-07-27 21:01:20 UTC,null,42.5422528,-71.7599609,38684,27396,United States,Massachusetts,Leominster,4G
Verizon Wireless,HTC,HTC6545LVW,ANDROID70,en,2017-07-29 23:41:36 UTC,-86,47.5549019,-95.2274031,3618,24072,United States,Minnesota,null,4G
Sprint,kyocera,C6725,ANDROID44,en,2017-05-01 22:09:34 UTC,null,38.79108601,-90.57515835,0,0,United States,Missouri,null,3G
,samsung,SM-S903VL,ANDROID60,en,2017-06-12 23:09:14 UTC,null,43.8191715,-88.4947312,0,0,United States,Wisconsin,null,4G
ZTE,zte,N9130,ANDROID44,en,2017-05-05 08:34:42 UTC,-108,44.6219433,-73.14192,11531,25032,United States,Vermont,null,3G
Sprint,kyocera,E6715,ANDROID44,es,2017-05-31 20:52:53 UTC,-60,31.08800739,-97.79338863,0,0,United States,Texas,Killeen,4G
U.S. Cellular,samsung,SCH-R890,ANDROID44,en,2017-05-15 15:40:08 UTC,-69,43.0063762,-89.7284222,0,0,United States,Wisconsin,null,3G
