Fixed,,,,,,,,,,,,
,,,,,,,,,,,,
Table 1: Summary of network access & call revenues (£millions),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT2,Virgin Media,Other,,BT share2,,,,,,
,,,,,,,,,,,,
Access & calls1,,,,,,,,,,,,
2007,"10,420","6,257","1,236","2,927",,60.00%,,,,,,
2008,"10,166","5,825","1,205","3,136",,57.30%,,,,,,
2009,"9,660","5,308","1,152","3,200",,54.90%,,,,,,
2010,"9,340","4,751","1,164","3,425",,50.90%,,,,,,
2011,"8,971","4,382","1,073","3,516",,48.80%,,,,,,
2012,"8,725","4,041","1,066","3,618",,46.30%,,,,,,
2013,"8,661","3,903","1,021","3,738",,45.10%,,,,,,
2014,"8,431","3,798",898,"3,735",,45.10%,,,,,,
2015,"8,384","3,703",882,"3,799",,44.20%,,,,,,
2016,"8,518","3,753",831,"3,935",,44.10%,,,,,,
2017,"8,383","3,644",783,"3,955",,43.50%,,,,,,
,,,,,,,,,,,,
2007 Q1,"2,622","1,579",317,726,,60.20%,,,,,,
2007 Q2,"2,611","1,570",313,729,,60.10%,,,,,,
2007 Q3,"2,600","1,561",311,728,,60.00%,,,,,,
2007 Q4,"2,587","1,547",295,744,,59.80%,,,,,,
2008 Q1,"2,550","1,482",310,759,,58.10%,,,,,,
2008 Q2,"2,582","1,499",301,782,,58.10%,,,,,,
2008 Q3,"2,527","1,433",297,797,,56.70%,,,,,,
2008 Q4,"2,506","1,411",297,798,,56.30%,,,,,,
2009 Q1,"2,397","1,343",289,765,,56.00%,,,,,,
2009 Q2,"2,456","1,380",285,791,,56.20%,,,,,,
2009 Q3,"2,384","1,303",286,795,,54.70%,,,,,,
2009 Q4,"2,424","1,282",293,849,,52.90%,,,,,,
2010 Q1,"2,367","1,225",287,855,,51.80%,,,,,,
2010 Q2,"2,342","1,195",291,856,,51.00%,,,,,,
2010 Q3,"2,306","1,154",293,858,,50.10%,,,,,,
2010 Q4,"2,325","1,176",293,856,,50.60%,,,,,,
2011 Q1,"2,305","1,134",274,896,,49.20%,,,,,,
2011 Q2,"2,222","1,103",275,843,,49.70%,,,,,,
2011 Q3,"2,205","1,071",261,873,,48.60%,,,,,,
2011 Q4,"2,240","1,074",263,903,,48.00%,,,,,,
2012 Q1,"2,224","1,051",269,904,,47.20%,,,,,,
2012 Q2,"2,174","1,010",269,894,,46.50%,,,,,,
2012 Q3,"2,177","1,008",265,904,,46.30%,,,,,,
2012 Q4,"2,151",973,263,916,,45.20%,,,,,,
2013 Q1,"2,202",996,263,943,,45.20%,,,,,,
2013 Q2,"2,171",971,261,938,,44.80%,,,,,,
2013 Q3,"2,134",956,258,919,,44.80%,,,,,,
2013 Q4,"2,155",979,239,937,,45.40%,,,,,,
2014 Q1,"2,153",996,232,926,,46.20%,,,,,,
2014 Q2,"2,088",933,225,930,,44.70%,,,,,,
2014 Q3,"2,092",934,221,937,,44.60%,,,,,,
2014 Q4,"2,098",937,220,942,,44.60%,,,,,,
2015 Q1,"2,103",931,220,952,,44.30%,,,,,,
2015 Q2,"2,075",911,225,940,,43.90%,,,,,,
2015 Q3,"2,092",921,219,953,,44.00%,,,,,,
2015 Q4,"2,114",941,218,955,,44.50%,,,,,,
2016 Q1,"2,116",918,210,989,,43.40%,,,,,,
2016 Q2,"2,134",936,209,989,,43.90%,,,,,,
2016 Q3,"2,135",959,207,969,,44.90%,,,,,,
2016 Q4,"2,133",940,205,988,,44.10%,,,,,,
2017 Q1,"2,119",924,203,992,,43.60%,,,,,,
2017 Q2,"2,114",920,195,"1,000",,43.50%,,,,,,
2017 Q3,"2,098",909,195,995,,43.30%,,,,,,
2017 Q4,"2,051",891,191,968,,43.50%,,,,,,
2018 Q1,"2,018",880,189,948,,43.60%,,,,,,
,,,,,,,,,,,,
Access1,,,,,,,,,,,,
2007,"5,161","3,531",608,"1,021",,68.40%,,,,,,
2008,"5,245","3,433",601,"1,211",,65.50%,,,,,,
2009,"5,097","3,166",576,"1,356",,62.10%,,,,,,
2010,"5,053","2,874",602,"1,577",,56.90%,,,,,,
2011,"5,296","2,793",617,"1,886",,52.70%,,,,,,
2012,"5,487","2,639",677,"2,171",,48.10%,,,,,,
2013,"5,706","2,572",703,"2,431",,45.10%,,,,,,
2014,"5,794","2,519",632,"2,643",,43.50%,,,,,,
2015,"6,012","2,469",660,"2,884",,41.10%,,,,,,
2016,"6,356","2,542",650,"3,164",,40.00%,,,,,,
2017,"6,468","2,514",649,"3,306",,38.90%,,,,,,
,,,,,,,,,,,,
2007 Q1,"1,254",862,158,234,,68.80%,,,,,,
2007 Q2,"1,310",896,159,254,,68.40%,,,,,,
2007 Q3,"1,305",886,158,261,,67.90%,,,,,,
2007 Q4,"1,291",887,133,271,,68.70%,,,,,,
2008 Q1,"1,297",862,152,284,,66.40%,,,,,,
2008 Q2,"1,325",879,148,297,,66.40%,,,,,,
2008 Q3,"1,313",856,149,307,,65.20%,,,,,,
2008 Q4,"1,311",836,151,323,,63.80%,,,,,,
2009 Q1,"1,260",802,144,314,,63.60%,,,,,,
2009 Q2,"1,309",833,144,332,,63.60%,,,,,,
2009 Q3,"1,267",777,144,346,,61.40%,,,,,,
2009 Q4,"1,261",754,144,363,,59.80%,,,,,,
2010 Q1,"1,260",737,145,378,,58.50%,,,,,,
2010 Q2,"1,266",726,153,387,,57.40%,,,,,,
2010 Q3,"1,251",702,152,397,,56.10%,,,,,,
2010 Q4,"1,276",709,153,415,,55.50%,,,,,,
2011 Q1,"1,319",710,151,458,,53.80%,,,,,,
2011 Q2,"1,300",701,159,440,,53.90%,,,,,,
2011 Q3,"1,302",683,149,470,,52.40%,,,,,,
2011 Q4,"1,375",700,157,518,,50.90%,,,,,,
2012 Q1,"1,387",685,170,532,,49.40%,,,,,,
2012 Q2,"1,360",663,169,529,,48.70%,,,,,,
2012 Q3,"1,371",656,168,546,,47.90%,,,,,,
2012 Q4,"1,370",635,171,564,,46.40%,,,,,,
2013 Q1,"1,433",659,177,596,,46.00%,,,,,,
2013 Q2,"1,428",641,182,604,,44.90%,,,,,,
2013 Q3,"1,404",624,179,601,,44.40%,,,,,,
2013 Q4,"1,441",647,164,630,,44.90%,,,,,,
2014 Q1,"1,468",669,162,637,,45.60%,,,,,,
2014 Q2,"1,429",617,159,652,,43.20%,,,,,,
2014 Q3,"1,436",613,155,668,,42.70%,,,,,,
2014 Q4,"1,461",620,156,685,,42.40%,,,,,,
2015 Q1,"1,490",621,160,709,,41.70%,,,,,,
2015 Q2,"1,492",613,169,710,,41.10%,,,,,,
2015 Q3,"1,497",609,165,723,,40.70%,,,,,,
2015 Q4,"1,532",626,166,741,,40.80%,,,,,,
2016 Q1,"1,560",616,161,783,,39.50%,,,,,,
2016 Q2,"1,596",639,163,794,,40.00%,,,,,,
2016 Q3,"1,594",649,162,782,,40.70%,,,,,,
2016 Q4,"1,607",638,164,805,,39.70%,,,,,,
2017 Q1,"1,615",632,166,818,,39.10%,,,,,,
2017 Q2,"1,632",636,163,834,,38.90%,,,,,,
2017 Q3,"1,625",629,161,834,,38.70%,,,,,,
2017 Q4,"1,596",617,160,819,,38.70%,,,,,,
2018 Q1,"1,567",602,159,806,,38.40%,,,,,,
,,,,,,,,,,,,
Calls,,,,,,,,,,,,
2007,"5,260","2,726",628,"1,906",,51.80%,,,,,,
2008,"4,921","2,392",604,"1,925",,48.60%,,,,,,
2009,"4,562","2,142",576,"1,844",,47.00%,,,,,,
2010,"4,287","1,877",562,"1,848",,43.80%,,,,,,
2011,"3,676","1,589",456,"1,630",,43.20%,,,,,,
2012,"3,238","1,402",389,"1,447",,43.30%,,,,,,
2013,"2,955","1,331",318,"1,306",,45.00%,,,,,,
2014,"2,637","1,279",266,"1,092",,48.50%,,,,,,
2015,"2,372","1,234",222,915,,52.00%,,,,,,
2016,"2,163","1,211",180,771,,56.00%,,,,,,
2017,"1,914","1,130",135,650,,59.00%,,,,,,
,,,,,,,,,,,,
2007 Q1,"1,368",717,159,492,,52.40%,,,,,,
2007 Q2,"1,301",673,153,474,,51.80%,,,,,,
2007 Q3,"1,295",675,153,466,,52.10%,,,,,,
2007 Q4,"1,296",661,162,473,,51.00%,,,,,,
2008 Q1,"1,254",621,158,475,,49.50%,,,,,,
2008 Q2,"1,257",620,153,485,,49.30%,,,,,,
2008 Q3,"1,214",577,148,490,,47.50%,,,,,,
2008 Q4,"1,196",575,146,475,,48.10%,,,,,,
2009 Q1,"1,137",542,144,450,,47.70%,,,,,,
2009 Q2,"1,146",547,140,459,,47.70%,,,,,,
2009 Q3,"1,117",525,142,449,,47.00%,,,,,,
2009 Q4,"1,162",528,149,485,,45.40%,,,,,,
2010 Q1,"1,107",488,142,477,,44.10%,,,,,,
2010 Q2,"1,076",469,138,469,,43.60%,,,,,,
2010 Q3,"1,055",453,141,461,,42.90%,,,,,,
2010 Q4,"1,049",468,140,441,,44.60%,,,,,,
2011 Q1,986,424,123,438,,43.00%,,,,,,
2011 Q2,922,403,116,403,,43.70%,,,,,,
2011 Q3,903,388,112,403,,43.00%,,,,,,
2011 Q4,865,374,105,386,,43.30%,,,,,,
2012 Q1,837,366,99,372,,43.70%,,,,,,
2012 Q2,814,347,101,366,,42.70%,,,,,,
2012 Q3,806,351,97,358,,43.60%,,,,,,
2012 Q4,782,338,92,351,,43.20%,,,,,,
2013 Q1,769,336,85,347,,43.80%,,,,,,
2013 Q2,743,330,79,334,,44.50%,,,,,,
2013 Q3,730,332,79,318,,45.50%,,,,,,
2013 Q4,713,332,75,307,,46.50%,,,,,,
2014 Q1,686,327,70,290,,47.60%,,,,,,
2014 Q2,659,315,66,278,,47.80%,,,,,,
2014 Q3,655,320,67,268,,48.90%,,,,,,
2014 Q4,637,317,63,256,,49.80%,,,,,,
2015 Q1,613,310,60,242,,50.60%,,,,,,
2015 Q2,583,298,56,229,,51.10%,,,,,,
2015 Q3,595,311,54,230,,52.30%,,,,,,
2015 Q4,581,315,52,214,,54.20%,,,,,,
2016 Q1,557,302,49,206,,54.20%,,,,,,
2016 Q2,539,297,46,195,,55.20%,,,,,,
2016 Q3,541,309,45,187,,57.10%,,,,,,
2016 Q4,526,303,40,183,,57.50%,,,,,,
2017 Q1,504,292,37,174,,58.00%,,,,,,
