Device_SIMServiceProviderBrandName,Device_Manufacturer,Device_Model,Device_OS,Device_Language,QOS_Date,QOS_SignalStrength,Location_Latitude,Location_Longitude,QOS_DeltaTransmittedBytes,QOS_DeltaReceivedBytes,Location_Country,Location_Region,Location_City,Connection_GenerationCategory
Movistar,Sony,E6653,ANDROID51,es,2017-06-11 22:38:25 UTC,null,40.9711017,-5.6622182,14444,13166,Spain,Castile And LeÃ³n,Salamanca,4G
Movistar,samsung,GT-I9060,ANDROID42,es,2017-08-30 16:00:52 UTC,null,43.3061562,-1.9824948,293,0,Spain,Basque Country,San Sebastian,3G
Movistar,samsung,SM-G360F,ANDROID50,es,2017-08-18 19:56:19 UTC,-76,38.3562932,-0.4309585,974,572,Spain,Valenciana,Alicante,UNKNOWN
Movistar,bq,Aquaris M5,ANDROID60,es,2017-08-02 17:04:47 UTC,null,42.8344215,-2.7099115,40,83,Spain,Basque Country,Vitoria,4G
Movistar,HTC,HTC One,ANDROID50,it,2017-07-15 12:52:29 UTC,null,40.5005379,17.6437742,234,235,Italy,Apulia,Oria,3G
Movistar,Xiaomi,MI 5s,ANDROID60,es,2017-07-27 19:00:16 UTC,null,36.7095687,-6.1278248,2471,13677,Spain,AndalusÃ­a,Jerez de la Frontera,3G
Movistar,Wolder,WOLDER_WIAM_65,ANDROID70,es,2017-08-16 08:39:04 UTC,null,41.1120583,1.2426239,8772,6761,Spain,Catalonia,Tarragona,3G
Movistar,samsung,SM-G950F,ANDROID70,es,2017-09-02 11:05:00 UTC,-122,40.6567986,-4.69987,1440,16362,Spain,Castile And LeÃ³n,Ãvila,4G
Movistar,samsung,SM-N910F,ANDROID60,ca,2017-07-12 18:02:23 UTC,-102,41.4852736,1.9949604,82198,1828327,Spain,Catalonia,null,4G
Movistar,samsung,SM-A500FU,ANDROID60,es,2017-08-22 11:14:17 UTC,null,36.4579504,-5.0522598,0,0,Spain,AndalusÃ­a,Estepona,3G
Movistar,HUAWEI,MHA-L09,ANDROID70,es,2017-07-16 16:40:19 UTC,-72,40.4188115,-3.7038218,0,0,Spain,Madrid,Madrid,4G
Movistar,bq,Aquaris U Plus,ANDROID71,es,2017-08-04 10:44:10 UTC,-95,42.1384118,-0.4094164,0,0,Spain,Aragon,Huesca,3G
Movistar,ulefone,Future,ANDROID60,en,2017-08-05 04:17:51 UTC,-99,38.7905125,0.1674953,0,0,Spain,Valenciana,XÃ bia,UNKNOWN
Movistar,bq,Aquaris E5,ANDROID60,es,2017-08-09 21:00:50 UTC,-109,40.5496155,-3.647596,0,0,Spain,Madrid,Alcobendas,4G
Movistar,OnePlus,A0001,ANDROID60,es,2017-08-16 19:39:34 UTC,null,37.8971081,-4.7654154,9405,0,Spain,AndalusÃ­a,Cordova,UNKNOWN
Movistar,bq,Aquaris M5,ANDROID60,es,2017-08-21 10:49:55 UTC,null,40.4797106,-3.3623419,0,0,Spain,Madrid,AlcalÃ¡ de Henares,3G
Movistar,DOOGEE,Y6,ANDROID60,es,2017-08-21 12:59:03 UTC,-113,43.3561846,-5.8582693,0,0,Spain,Asturias,Oviedo,4G
Movistar,motorola,MotoG3,ANDROID60,es,2017-07-21 06:01:58 UTC,null,37.34380804,-6.63356157,52,129,Spain,AndalusÃ­a,null,4G
Movistar,NewBund,Apollo Lite,ANDROID60,es,2017-08-22 06:17:48 UTC,null,40.4665567,-3.572815,609,1125,Spain,Madrid,Madrid,3G
Movistar,OnePlus,ONEPLUS A5000,ANDROID71,es,2017-08-25 11:52:38 UTC,-91,47.506616,19.04761,0,0,Hungary,Budapest,null,4G
Movistar,samsung,SM-G930F,ANDROID70,es,2017-07-19 11:33:08 UTC,-107,41.5366878,2.2958245,4294,14742,Spain,Catalonia,null,4G
Movistar,bq,Aquaris M5,ANDROID60,es,2017-08-25 07:24:33 UTC,null,41.828672,-1.3009925,4750,2930,Spain,Aragon,null,3G
Movistar,motorola,XT1635-02,ANDROID70,es,2017-08-24 11:44:42 UTC,null,39.1651777,-0.4261738,104,170,Spain,Valenciana,Alzira,3G
Movistar,samsung,SM-P605,ANDROID51,es,2017-09-05 06:38:39 UTC,null,40.5056792,-4.2360589,35446,56661,Spain,Madrid,null,4G
Movistar,bq,Aquaris E5,ANDROID60,es,2017-08-25 12:44:16 UTC,null,28.3510064,-16.4020914,0,0,Spain,Canary Islands,Candelaria,3G
Movistar,samsung,GT-N7100,ANDROID44,es,2017-06-15 11:14:18 UTC,null,42.3403419,-7.8582198,8386,6000,Spain,Galicia,Orense,3G
Movistar,bq,Aquaris X Pro,ANDROID71,es,2017-07-22 15:08:48 UTC,null,42.2674487,2.8496945,0,0,Spain,Catalonia,null,3G
Movistar,NewBund,Apollo Lite,ANDROID60,es,2017-07-30 14:19:21 UTC,null,38.0636777,-0.7269166,2578,2340,Spain,Valenciana,Rojales,UNKNOWN
Movistar,samsung,SM-G530FZ,ANDROID50,ca,2017-08-06 14:08:03 UTC,null,41.3533482,2.0357061,339,299,Spain,Catalonia,Sant Boi de Llobregat,4G
Movistar,HUAWEI,G7-L01,ANDROID44,es,2017-09-14 16:55:14 UTC,-57,42.8899736,-8.526306,647,715,Spain,Galicia,Santiago de Compostela,3G
Movistar,bq,Aquaris X Pro,ANDROID71,es,2017-08-02 14:00:42 UTC,-71,50.9440728,6.9559458,38998,1067319,Germany,North Rhine-Westphalia,Cologne,3G
Movistar,samsung,SM-G930F,ANDROID70,es,2017-07-24 06:42:10 UTC,null,42.8639422,-8.5544517,2291,2810,Spain,Galicia,Santiago de Compostela,4G
Movistar,bq,Aquaris X5 Plus,ANDROID71,es,2017-08-22 20:03:23 UTC,null,39.5384495,2.4534321,41064,5627,Spain,Balearic Islands,CalviÃ ,UNKNOWN
Movistar,bq,Aquaris M5,ANDROID60,es,2017-07-31 02:10:05 UTC,-78,40.3549171,-3.8320458,1397,751,Spain,Madrid,AlcorcÃ³n,4G
Movistar,samsung,SM-G360F,ANDROID50,es,2017-07-12 10:09:54 UTC,null,40.4400409,-3.8022838,4730,0,Spain,Madrid,Pozuelo de AlarcÃ³n,3G
Movistar,samsung,SM-G955F,ANDROID70,es,2017-09-01 14:39:15 UTC,-106,38.6038539,-0.0474856,0,0,Spain,Valenciana,Altea,4G
Movistar,samsung,SM-G850F,ANDROID50,es,2017-07-13 18:33:13 UTC,-101,41.3830332,2.049815,5249,11573,Spain,Catalonia,Sant Feliu de Llobregat,3G
Movistar,samsung,SM-G928F,ANDROID70,es,2017-07-15 17:19:41 UTC,null,41.6307295,-4.7614311,0,0,Spain,Castile And LeÃ³n,Valladolid,4G
Movistar,samsung,GT-S7580,ANDROID42,es,2017-07-19 09:09:04 UTC,null,42.6341045,-8.9122893,1700,234,Spain,Galicia,null,3G
