Device_SIMServiceProviderBrandName,Device_Manufacturer,Device_Model,Device_OS,Device_Language,QOS_Date,QOS_SignalStrength,Location_Latitude,Location_Longitude,QOS_DeltaTransmittedBytes,QOS_DeltaReceivedBytes,Location_Country,Location_Region,Location_City,Connection_GenerationCategory
O2,OnePlus,ONEPLUS A3003,ANDROID71,en,2017-09-13 21:16:09 UTC,-98,51.1131454,-0.1866311,0,0,United Kingdom,England,Crawley,4G
O2,Xiaomi,Redmi Note 3,ANDROID60,en,2017-07-19 08:27:26 UTC,null,48.4693631,8.4763262,2634,1489,Germany,Baden-WÃ¼rttemberg,null,UNKNOWN
O2,motorola,MotoG3,ANDROID60,en,2017-09-03 15:31:29 UTC,-113,51.7335861,-3.4646263,0,0,United Kingdom,Wales,Rhondda Cynon Taf,3G
O2,samsung,SM-G925F,ANDROID70,de,2017-08-17 17:36:03 UTC,null,51.2551309,6.4847164,0,345,Germany,North Rhine-Westphalia,Willich,3G
O2,samsung,SM-N9005,ANDROID44,sk,2017-08-12 13:02:32 UTC,-81,48.94433767,20.54630463,528,680,Slovakia,KosiÄky,null,3G
O2,motorola,XT1562,ANDROID60,en,2017-09-08 05:27:31 UTC,-67,51.4379867,-1.0766507,60,0,United Kingdom,England,null,UNKNOWN
O2,samsung,SM-G930F,ANDROID70,de,2017-09-05 04:33:34 UTC,null,49.4475621,11.0716882,657,657,Germany,Bavaria,Nuremberg,UNKNOWN
O2,Sony,D5803,ANDROID60,en,2017-08-31 16:51:36 UTC,null,55.876093,-3.6464691,1704,0,United Kingdom,Scotland,West Lothian,3G
O2,OnePlus,ONEPLUS A3003,ANDROID71,en,2017-07-13 09:31:52 UTC,-109,52.3833875,-1.7935291,9860,27430,United Kingdom,England,Solihull,4G
O2,OnePlus,ONEPLUS A3003,ANDROID71,pl,2017-08-05 10:57:36 UTC,null,52.2301554,-1.0196681,2637,5874,United Kingdom,England,null,3G
O2,Sony,F8331,ANDROID71,de,2017-08-12 15:35:40 UTC,null,52.4871183,13.4238478,0,0,Germany,Berlin,Berlin,UNKNOWN
O2,samsung,SM-A310F,ANDROID70,de,2017-08-17 10:50:13 UTC,-51,48.3627667,9.1445736,8686,21909,Germany,Baden-WÃ¼rttemberg,null,UNKNOWN
