main_ServiceProvider,main_Device_Manufacturer,main_Device_Model,main_Device_OS,main_Device_DeviceLanguage,main_QOS_QOSDate,main_QOS_SignalStrength,main_QOS_Location_Latitude,main_QOS_Location_Longitude,main_QOS_DeltaTransmittedBytes,main_QOS_DeltaReceivedBytes,main_Country,main_Region,main_City,conn_Generation_Category
T-Mobile,LGE,LG-D373,ANDROID44,es,2017-06-22 03:34:48 UTC,-107,45.5215364,-122.3823644,535,260,United States,Oregon,Troutdale,3G
T-Mobile,samsung,SM-G928V,ANDROID60,en,2017-07-04 17:23:18 UTC,-53,30.2694758,-97.7517121,4694,14052,United States,Texas,Austin,4G
T-Mobile,samsung,SGH-I337M,ANDROID44,es,2017-05-13 13:18:26 UTC,null,18.3693658,-65.9350324,367,294,United States,Puerto Rico,Carolina,4G
T-Mobile,Apple,iPhone 6 Plus,IOS103,en,2017-05-04 20:55:55 UTC,null,33.903093,-118.056133,569356,2780837,United States,California,Norwalk,4G
T-Mobile,Apple,iPhone 6S,IOS102,en,2017-05-10 07:01:19 UTC,null,33.998813,-118.480685,3477139,7038470,United States,California,Santa Monica,UNKNOWN
T-Mobile USA,LGE,LG-D850,ANDROID44,es,2017-05-06 18:12:37 UTC,-85,32.69432783,-115.4963676,40,0,United States,California,Calexico,3G
T-Mobile,samsung,SM-G900M,ANDROID44,en,2017-05-04 21:14:10 UTC,null,43.6646151,-116.6913287,5463,25498,United States,Idaho,Caldwell,4G
T-Mobile,samsung,SAMSUNG-SGH-I337,ANDROID44,en,2017-06-12 23:51:12 UTC,null,40.58496035,-73.96508252,37765,50976,United States,New York,New York,4G
T-Mobile,LGE,LG-K428,ANDROID60,en,2017-06-07 23:50:20 UTC,-67,40.6803744,-73.9626164,2486318,27674550,United States,New York,New York,4G
T-Mobile,Sony,E2306,ANDROID60,es,2017-06-14 20:33:58 UTC,null,33.5803241,-112.1286186,1131,716,United States,Arizona,Phoenix,3G
T-Mobile,Sony,D6616,ANDROID44,en,2017-06-29 02:29:30 UTC,null,32.76214075,-96.62887069,412000,1790321,United States,Texas,null,4G
T-Mobile,LGE,LG-D851,ANDROID44,en,2017-07-02 11:47:09 UTC,null,40.58444862,-73.68545599,0,0,United States,New York,Long Beach,3G
T-Mobile,motorola,XT1575,ANDROID60,en,2017-06-16 12:51:34 UTC,-79,33.6536125,-81.706773,24164,46540,United States,South Carolina,null,4G
T-Mobile,LGE,LG-H830,ANDROID70,en,2017-06-26 12:46:13 UTC,-82,35.0684228,-107.5709376,12109634,12225574,United States,New Mexico,null,4G
T-Mobile,motorola,Moto G (5) Plus,ANDROID70,en,2017-07-20 19:12:49 UTC,null,29.777216,-95.6187824,0,0,United States,Texas,Houston,4G
T-Mobile,LGE,LG-D959,ANDROID44,en,2017-06-04 14:57:16 UTC,-113,36.22491813,-80.6744238,6424,14068,United States,North Carolina,null,3G
T-Mobile,HTC,HTC 10,ANDROID70,en,2017-06-19 14:11:07 UTC,-78,30.5926207,-96.3272078,0,0,United States,Texas,null,4G
