main_ServiceProvider,main_Device_Manufacturer,main_Device_Model,main_Device_OS,main_Device_DeviceLanguage,main_QOS_QOSDate,main_QOS_SignalStrength,main_QOS_Location_Latitude,main_QOS_Location_Longitude,main_QOS_DeltaTransmittedBytes,main_QOS_DeltaReceivedBytes,main_Country,main_Region,main_City,conn_Generation_Category
Verizon Wireless,motorola,XT1080,ANDROID44,en,2017-06-16 22:58:46 UTC,null,41.5582666,-80.5026862,1624712,38406075,United States,Pennsylvania,null,4G
Verizon Wireless,LGE,LG-VS450PP,ANDROID44,en,2017-05-12 19:34:32 UTC,null,32.16325762,-81.21124252,2615,1564,United States,Georgia,Savannah,3G
Verizon Wireless,LGE,VS500PP,ANDROID60,en,2017-05-18 06:10:36 UTC,null,39.9228293,-80.070744,0,0,United States,Pennsylvania,null,4G
Verizon Wireless,samsung,SCH-I545,ANDROID50,en,2017-05-11 15:31:47 UTC,-82,27.62481769,-82.54185079,0,0,United States,Florida,null,4G
Verizon Wireless,Sony,D6708,ANDROID51,en,2017-06-21 21:32:43 UTC,null,41.5445047,-72.9244584,122347,294465,United States,Connecticut,null,4G
Verizon Wireless,samsung,SCH-I545,ANDROID50,en,2017-07-06 00:40:08 UTC,-58,39.9142845,-74.9706969,0,0,United States,New Jersey,null,4G
Verizon Wireless,motorola,XT1609,ANDROID60,en,2017-06-10 02:30:58 UTC,null,47.7912372,-95.078629,4688,2260,United States,Minnesota,null,4G
Verizon Wireless,LGE,VS415PP,ANDROID44,en,2017-05-11 18:49:53 UTC,null,41.53614772,-88.0875542,0,0,United States,Illinois,Joliet,3G
Verizon Wireless,motorola,XT1609,ANDROID60,en,2017-07-14 18:10:41 UTC,null,46.82891597,-95.87957153,14275,57982,United States,Minnesota,null,4G
Verizon Wireless,motorola,XT1030,ANDROID44,en,2017-07-27 21:01:20 UTC,null,42.5422528,-71.7599609,38684,27396,United States,Massachusetts,Leominster,4G
Verizon Wireless,HTC,HTC6545LVW,ANDROID70,en,2017-07-29 23:41:36 UTC,-86,47.5549019,-95.2274031,3618,24072,United States,Minnesota,null,4G
Verizon Wireless,HTC,HTCD100LVW,ANDROID60,en,2017-07-27 14:39:39 UTC,-70,36.1132561,-115.1390172,0,0,United States,Nevada,Paradise,4G
Verizon Wireless,blackberry,STV100-2,ANDROID60,en,2017-06-13 12:32:07 UTC,null,42.3816665,-70.9955101,2166,7729,United States,Massachusetts,Boston,4G
Verizon Wireless,motorola,XT1096,ANDROID51,en,2017-07-24 11:23:44 UTC,-75,44.0157452,-69.921011,0,0,United States,Maine,null,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-18 22:11:06 UTC,null,44.8991293,-123.0392933,2393,963,United States,Oregon,Salem,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-08 23:35:14 UTC,null,42.3322113,-71.1343959,138,138,United States,Massachusetts,Brookline,3G
Verizon Wireless,motorola,Moto G (4),ANDROID70,en,2017-07-12 14:56:15 UTC,null,37.105566,-113.5573537,3890,18070,United States,Utah,Saint George,4G
Verizon Wireless,motorola,XT1565,ANDROID60,en,2017-07-28 17:46:33 UTC,null,38.7686446,-90.5098257,2596,356,United States,Missouri,null,UNKNOWN
Verizon Wireless,samsung,SCH-I545,ANDROID50,en,2017-07-28 16:42:36 UTC,-61,35.5165944,-97.51252,2108,4643,United States,Oklahoma,Oklahoma City,4G
Verizon Wireless,motorola,XT1060,ANDROID51,en,2017-07-24 16:25:12 UTC,-74,37.3604421,-79.2025565,3364,7158,United States,Virginia,Lynchburg,4G
Verizon Wireless,HTC,HTC6525LVW,ANDROID60,en,2017-07-21 12:45:14 UTC,null,37.2646597,-76.8745114,75270,229866,United States,Virginia,null,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-07 15:08:44 UTC,-80,32.6541695,-117.0649619,580,0,United States,California,National City,4G
Verizon Wireless,LGE,VS880PP,ANDROID51,en,2017-07-26 15:22:53 UTC,-120,35.4643204,-86.3643257,1359,6212,United States,Tennessee,null,4G
Verizon Wireless,HTC,HTCD100LVW,ANDROID60,en,2017-07-21 17:19:38 UTC,-68,36.1132613,-115.1389941,104,0,United States,Nevada,Paradise,4G
Verizon Wireless,motorola,XT1030,ANDROID44,en,2017-07-29 14:19:07 UTC,-83,35.8486711,-83.9983396,964,681,United States,Tennessee,null,4G
Verizon Wireless,motorola,XT1060,ANDROID51,en,2017-07-28 21:55:57 UTC,null,39.3101273,-76.639117,0,0,United States,Maryland,Baltimore,4G
Verizon Wireless,samsung,SM-J727V,ANDROID70,en,2017-07-17 19:07:02 UTC,-67,46.0980675,-122.9679048,0,0,United States,Oregon,null,4G
Verizon Wireless,motorola,XT1609,ANDROID60,en,2017-07-13 13:26:39 UTC,null,42.28633867,-89.32086006,972,2939,United States,Illinois,null,4G
Verizon Wireless,motorola,XT1528,ANDROID51,en,2017-07-27 15:01:13 UTC,null,40.8685555,-103.6970909,13460,11860,United States,Colorado,null,3G
Verizon Wireless,HTC,HTC6600LVW,ANDROID44,en,2017-07-24 12:52:49 UTC,null,34.7065637,-87.119254,0,0,United States,Alabama,null,3G
Verizon Wireless,samsung,SM-N915V,ANDROID60,en,2017-06-08 03:08:55 UTC,-62,41.501784,-74.0328746,15558,55503,United States,New York,Newburgh,4G
Verizon Wireless,motorola,XT1650,ANDROID70,en,2017-07-10 18:07:05 UTC,null,38.1991952,-122.714882,37399,95269,United States,California,null,4G
Verizon Wireless,HTC,HTC6525LVW,ANDROID60,en,2017-07-29 16:50:05 UTC,null,39.6108346,-75.9504152,0,0,United States,Maryland,null,4G
Verizon Wireless,motorola,XT1060,ANDROID51,en,2017-07-11 17:31:15 UTC,-72,37.3605602,-79.2028005,36656,165800,United States,Virginia,Lynchburg,4G
Verizon Wireless,motorola,Moto G Play,ANDROID60,en,2017-07-23 23:49:55 UTC,null,32.94107936,-103.3619882,0,0,United States,New Mexico,null,4G
Verizon Wireless,motorola,XT1575,ANDROID60,en,2017-07-08 15:55:55 UTC,null,42.19049127,-71.86723845,0,0,United States,Massachusetts,Auburn,4G
Verizon Wireless,HTC,HTCD200LVW,ANDROID60,en,2017-07-18 19:11:42 UTC,null,37.4752278,-77.5939881,1001,2149,United States,Virginia,null,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-16 17:44:38 UTC,null,33.5724855,-84.3519448,312,470,United States,Georgia,null,4G
Verizon Wireless,LGE,VS980 4G,ANDROID44,en,2017-05-20 20:40:15 UTC,-80,32.41639827,-89.50212667,270994,521726,United States,Mississippi,null,4G
Verizon Wireless,kyocera,E6782,ANDROID44,en,2017-07-26 21:37:56 UTC,-102,44.49037191,-71.68888841,580,580,United States,Vermont,null,3G
Verizon Wireless,motorola,Moto G (5) Plus,ANDROID70,en,2017-07-26 20:38:04 UTC,-72,40.026653,-75.0246633,1205,1268,United States,Pennsylvania,Philadelphia,4G
Verizon Wireless,motorola,XT1030,ANDROID44,en,2017-07-16 22:14:42 UTC,null,39.4118791,-77.4059131,228,1633,United States,Maryland,Frederick,4G
Verizon Wireless,motorola,Moto G Play,ANDROID60,en,2017-07-22 16:53:36 UTC,-80,36.261031,-86.5308705,650,384,United States,Tennessee,null,4G
Verizon Wireless,LGE,VS986,ANDROID60,en,2017-07-25 20:23:24 UTC,-75,40.06901712,-74.12693935,1945,1925,United States,New Jersey,null,4G
Verizon Wireless,samsung,SM-J320V,ANDROID60,en,2017-07-30 07:47:53 UTC,-88,31.4316689,-85.6395729,580,580,United States,Alabama,null,4G
Verizon Wireless,motorola,XT1650,ANDROID70,en,2017-07-23 19:17:44 UTC,null,36.1461291,-115.2252328,2002,3211,United States,Nevada,Las Vegas,4G
Verizon Wireless,motorola,Moto G (5) Plus,ANDROID70,en,2017-07-08 20:45:50 UTC,null,45.04868904,-93.11262636,0,0,United States,Minnesota,Shoreview,4G
Verizon Wireless,motorola,XT1080,ANDROID44,en,2017-07-19 17:12:45 UTC,null,42.9395569,-78.8543771,868,811,United States,New York,Buffalo,3G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-31 00:11:00 UTC,null,41.0232551,-81.0160212,7090,18691,United States,Ohio,null,4G
Verizon Wireless,samsung,SCH-I545,ANDROID50,en,2017-07-21 02:00:02 UTC,null,42.3769381,-87.9645053,290,145,United States,Illinois,Gurnee,4G
Verizon Wireless,HTC,HTC6535LVW,ANDROID60,en,2017-07-27 00:47:25 UTC,null,37.2821329,-80.0515713,0,0,United States,Virginia,Salem,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-24 18:51:23 UTC,null,44.007642,-97.1066564,7686,26058,United States,South Dakota,null,4G
Verizon Wireless,motorola,XT1635-01,ANDROID70,en,2017-07-24 23:59:25 UTC,null,42.1779608,-87.8219878,4975,47290,United States,Illinois,Highland Park,4G
Verizon Wireless,motorola,XT1609,ANDROID60,en,2017-07-30 11:17:34 UTC,-80,36.807813,-77.7624911,683,348,United States,Virginia,null,4G
Verizon Wireless,motorola,XT1096,ANDROID51,en,2017-07-24 21:23:20 UTC,null,30.1185975,-95.6518043,3675056,78634760,United States,Texas,null,4G
Verizon Wireless,motorola,XT1609,ANDROID60,en,2017-07-19 09:38:42 UTC,-58,40.54762618,-75.66647721,0,0,United States,Pennsylvania,null,4G
Verizon Wireless,motorola,XT1080,ANDROID44,en,2017-06-14 03:38:51 UTC,null,29.4910959,-95.1175779,14540,15792,United States,Texas,League City,4G
Verizon Wireless,motorola,XT1096,ANDROID51,es,2017-07-22 23:58:14 UTC,null,32.7308913,-117.1508205,3229,2070,United States,California,San Diego,4G
Verizon Wireless,motorola,XT1575,ANDROID60,en,2017-07-17 18:14:24 UTC,null,37.23071873,-77.316311,11351,26385,United States,Virginia,null,4G
Verizon Wireless,motorola,XT1650,ANDROID70,en,2017-07-12 17:52:00 UTC,null,37.6282069,-110.7248814,5540,25947,United States,Utah,null,4G
Verizon Wireless,motorola,XT1096,ANDROID51,en,2017-07-13 19:21:39 UTC,-86,26.8929643,-82.0255578,440,0,United States,Florida,Punta Gorda,4G
Verizon Wireless,motorola,Moto G (5) Plus,ANDROID70,en,2017-07-16 06:20:19 UTC,null,35.60154063,-105.9128656,7100,6171255,United States,New Mexico,null,4G
Verizon Wireless,motorola,XT1650,ANDROID70,en,2017-07-22 23:34:02 UTC,null,45.793984,-87.1197744,1603,49719,United States,Michigan,null,4G
Verizon Wireless,HTC,HTC6525LVW,ANDROID60,en,2017-07-22 15:56:47 UTC,-79,35.6530462,-109.1096548,118648,1912552,United States,Arizona,null,4G
Verizon Wireless,motorola,XT1096,ANDROID51,en,2017-07-22 18:29:18 UTC,-64,41.7559377,-124.1956168,184080,365600,United States,California,null,4G
Verizon Wireless,motorola,XT1030,ANDROID44,en,2017-07-24 16:24:24 UTC,-48,38.8984958,-77.0295984,4020,1156,United States,District of Columbia,District of Columbia,4G
Verizon Wireless,motorola,XT1609,ANDROID60,en,2017-07-13 18:55:41 UTC,null,33.4899925,-81.9473321,72,488,United States,South Carolina,North Augusta,4G
Verizon Wireless,kyocera,E6782,ANDROID44,en,2017-07-25 02:42:44 UTC,null,33.84310601,-82.51210921,4088,7758,United States,Georgia,null,4G
Verizon Wireless,motorola,XT1528,ANDROID51,en,2017-07-10 18:27:08 UTC,null,42.2547847,-77.2164219,56465,99613,United States,New York,null,4G
Verizon Wireless,motorola,Moto G Play,ANDROID60,en,2017-07-08 22:04:22 UTC,-74,34.48969053,-118.6182202,29926,95549,United States,California,null,4G
